date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-06-04,SC,Arroio Trinta,2,0,32,3586,4201604,25.0,50,32,18,,,,,,,,,,,,,,0.0,0.0,13943.11,0.0,8923.59,8923.59,5019.52
2020-06-05,SC,Arroio Trinta,2,0,32,3586,4201604,25.0,50,32,18,,,,,,,,,,,,,,0.0,0.0,13943.11,0.0,8923.59,8923.59,5019.52
2020-06-06,SC,Arroio Trinta,2,0,32,3586,4201604,25.0,50,32,18,,,,,,,,,,,,,,0.0,0.0,13943.11,0.0,8923.59,8923.59,5019.52
2020-06-07,SC,Arroio Trinta,2,0,33,3586,4201604,25.0,50,33,17,4.17,3.0,,,,,,,,,,,,0.0,0.0,13943.11,0.0,9202.45,9202.45,4740.66
2020-06-08,SC,Arroio Trinta,2,0,33,3586,4201604,25.0,50,33,17,4.17,3.0,,,,,,,,,,,,0.0,0.0,13943.11,0.0,9202.45,9202.45,4740.66
2020-06-09,SC,Arroio Trinta,3,0,50,3586,4201604,25.0,75,50,25,4.17,3.17,,,,,,,,,,,,0.0,0.0,20914.67,0.0,13943.11,13943.11,6971.56
2020-06-10,SC,Arroio Trinta,3,0,50,3586,4201604,25.0,75,50,25,4.17,3.17,,,,0.694,0.583,,,,,,,0.0,0.0,20914.67,0.0,13943.11,13943.11,6971.56
2020-06-11,SC,Arroio Trinta,3,0,50,3586,4201604,25.0,75,50,25,8.33,6.17,,,,1.39,1.08,,,,,,,0.0,0.0,20914.67,0.0,13943.11,13943.11,6971.56
2020-06-12,SC,Arroio Trinta,3,0,51,3586,4201604,25.0,75,51,24,4.17,3.5,,,,1.39,1.06,,,,0.347,,,0.0,0.0,20914.67,0.0,14221.97,14221.97,6692.69
2020-06-13,SC,Arroio Trinta,3,0,52,3586,4201604,25.0,75,52,23,8.33,6.5,,,,2.78,1.94,,,,0.694,,,0.0,0.0,20914.67,0.0,14500.84,14500.84,6413.83
2020-06-14,SC,Arroio Trinta,4,0,70,3586,4201604,25.0,100,70,30,12.5,9.5,,,,2.08,1.44,,,,0.694,,,0.0,0.0,27886.22,0.0,19520.36,19520.36,8365.87
2020-06-15,SC,Arroio Trinta,4,0,71,3586,4201604,25.0,100,71,29,12.5,9.5,,,,4.17,2.97,,,,0.0,,,0.0,0.0,27886.22,0.0,19799.22,19799.22,8087.01
2020-06-16,SC,Arroio Trinta,5,0,89,3586,4201604,25.0,125,89,36,20.83,14.83,,,,4.17,3.06,,,,,,,0.0,0.0,34857.78,0.0,24818.74,24818.74,10039.04
2020-06-17,SC,Arroio Trinta,6,0,107,3586,4201604,25.0,150,107,43,20.83,14.83,,,,2.78,2.03,,,,,,,0.0,0.0,41829.34,0.0,29838.26,29838.26,11991.08
2020-06-18,SC,Arroio Trinta,6,0,108,3586,4201604,25.0,150,108,42,29.17,21.33,,,,,,,,,,,,0.0,0.0,41829.34,0.0,30117.12,30117.12,11712.21
2020-06-19,SC,Arroio Trinta,8,0,141,3586,4201604,25.0,200,141,59,33.33,24.83,,,,,,,,,,,,0.0,0.0,55772.45,0.0,39319.58,39319.58,16452.87
2020-06-20,SC,Arroio Trinta,9,0,159,3586,4201604,25.0,225,159,66,29.17,21.67,,,,,,,,,,,,0.0,0.0,62744.0,0.0,44339.1,44339.1,18404.91
2020-06-21,SC,Arroio Trinta,11,0,199,3586,4201604,25.0,275,199,76,,,,,,,,,,,,,,0.0,0.0,76687.12,0.0,55493.59,55493.59,21193.53
2020-06-22,SC,Arroio Trinta,13,0,238,3586,4201604,25.0,325,238,87,,,,,,,,,,,,,,0.0,0.0,90630.23,0.0,66369.21,66369.21,24261.02
2020-06-23,SC,Arroio Trinta,13,0,237,3586,4201604,25.0,325,237,88,,,,,,,,,,,,,,0.0,0.0,90630.23,0.0,66090.35,66090.35,24539.88
