Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-07,BA,Boa Vista do Tupim,1,0,4,1,18762,2903805,6.8,7,4,3,,,,,,,,,,,,,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-08,BA,Boa Vista do Tupim,1,0,4,2,18762,2903805,6.8,7,4,3,,,,,,,,,,,,,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-09,BA,Boa Vista do Tupim,1,0,4,3,18762,2903805,6.8,7,4,3,,,,,,,,,,,,,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-10,BA,Boa Vista do Tupim,1,0,4,4,18762,2903805,6.8,7,4,3,,,,,,,,,,,,,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-11,BA,Boa Vista do Tupim,1,0,4,5,18762,2903805,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-12,BA,Boa Vista do Tupim,1,0,4,6,18762,2903805,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-13,BA,Boa Vista do Tupim,1,0,4,7,18762,2903805,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-14,BA,Boa Vista do Tupim,1,0,4,8,18762,2903805,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-15,BA,Boa Vista do Tupim,1,0,4,9,18762,2903805,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-16,BA,Boa Vista do Tupim,1,0,4,10,18762,2903805,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-17,BA,Boa Vista do Tupim,1,0,4,11,18762,2903805,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-18,BA,Boa Vista do Tupim,1,0,4,12,18762,2903805,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.114,0.0,0.114,0.0857,0.0743,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-19,BA,Boa Vista do Tupim,1,0,4,13,18762,2903805,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.229,0.0,0.229,0.143,0.0743,,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-20,BA,Boa Vista do Tupim,1,0,4,14,18762,2903805,6.8,7,4,3,0.143,1.0,0.571,0.0,0.571,0.429,0.371,0.229,0.0,0.229,0.143,0.0743,-0.0217,,0.0,373.09,0.0,213.2,213.2,159.9
2020-05-21,BA,Boa Vista do Tupim,1,0,4,15,18762,2903805,6.8,7,4,3,0.286,1.86,1.14,0.0,1.14,0.714,0.371,0.229,0.0,0.229,0.143,-0.0057,-0.0297,,0.0,373.09,0.0,213.2,213.2,159.9
