Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-15,CE,Camocim,1,0,3,1,63661,64546,2302602,6.8,7,3,4,,,,,,,,,,,,,,,0.0,108.45,0.0,46.48,46.48,61.97
2020-04-16,CE,Camocim,1,0,3,2,63661,64546,2302602,6.8,7,3,4,,,,,,,,,,,,,,,0.0,108.45,0.0,46.48,46.48,61.97
2020-04-17,CE,Camocim,1,0,3,3,63661,64546,2302602,6.8,7,3,4,,,,,,,,,,,,,,,0.0,108.45,0.0,46.48,46.48,61.97
2020-04-18,CE,Camocim,1,0,3,4,63661,64546,2302602,6.8,7,3,4,,,,,,,,,,,,,,,0.0,108.45,0.0,46.48,46.48,61.97
2020-04-19,CE,Camocim,1,0,3,5,63661,64546,2302602,6.8,7,3,4,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,108.45,0.0,46.48,46.48,61.97
2020-04-20,CE,Camocim,1,0,4,6,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,108.45,0.0,61.97,61.97,46.48
2020-04-21,CE,Camocim,1,0,4,7,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,108.45,0.0,61.97,61.97,46.48
2020-04-22,CE,Camocim,1,0,4,8,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,108.45,0.0,61.97,61.97,46.48
2020-04-23,CE,Camocim,1,0,4,9,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,108.45,0.0,61.97,61.97,46.48
2020-04-24,CE,Camocim,1,0,4,10,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,108.45,0.0,61.97,61.97,46.48
2020-04-25,CE,Camocim,1,0,4,11,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,,,0.0,108.45,0.0,61.97,61.97,46.48
2020-04-26,CE,Camocim,1,0,4,12,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,,,0.0,108.45,0.0,61.97,61.97,46.48
2020-04-27,CE,Camocim,1,0,4,13,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743,,,0.0,108.45,0.0,61.97,61.97,46.48
2020-04-28,CE,Camocim,1,0,4,14,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0743,0.0697,,0.0,108.45,0.0,61.97,61.97,46.48
2020-04-29,CE,Camocim,1,0,4,15,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.2,0.0,0.2,0.171,0.0743,0.0777,,0.0,108.45,0.0,61.97,61.97,46.48
2020-04-30,CE,Camocim,1,0,4,16,63661,64546,2302602,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.2,0.0,0.2,0.171,0.349,0.0331,,0.0,108.45,0.0,61.97,61.97,46.48
2020-05-01,CE,Camocim,1,0,4,17,63661,64546,2302602,6.8,7,4,3,0.286,1.86,1.0,0.0,1.0,0.857,0.371,0.2,0.0,0.2,0.171,0.389,0.08,-0.0247,0.0,108.45,0.0,61.97,61.97,46.48
2020-05-02,CE,Camocim,1,0,4,18,63661,64546,2302602,6.8,7,4,3,0.286,1.86,1.0,0.0,1.0,0.857,1.74,0.943,0.0,0.943,0.8,0.24,0.111,-0.0295,0.0,108.45,0.0,61.97,61.97,46.48
2020-05-03,CE,Camocim,1,0,4,19,63661,64546,2302602,6.8,7,4,3,0.286,1.86,1.0,0.0,1.0,0.857,1.94,1.06,0.0,1.06,0.886,0.474,-0.0537,-0.0071,0.0,108.45,0.0,61.97,61.97,46.48
2020-05-04,CE,Camocim,3,0,11,20,63661,64546,2302602,6.8,20,11,9,1.29,8.71,4.71,0.0,4.71,4.0,1.57,0.857,0.0,0.857,0.714,0.629,-0.0697,-0.0322,0.0,309.86,0.0,170.42,170.42,139.44
2020-05-05,CE,Camocim,3,0,11,21,63661,64546,2302602,6.8,20,11,9,1.43,9.71,5.29,0.0,5.29,4.43,2.74,1.54,0.0,1.54,1.2,0.08,-0.0023,-0.0475,0.0,309.86,0.0,170.42,170.42,139.44
2020-05-06,CE,Camocim,3,0,11,22,63661,64546,2302602,6.8,20,11,9,1.43,9.71,5.29,0.0,5.29,4.43,3.51,2.06,0.0,2.06,1.46,0.04,-0.0811,0.0121,0.0,309.86,0.0,170.42,170.42,139.44
2020-05-07,CE,Camocim,10,0,37,23,63661,64546,2302602,6.8,68,37,31,2.29,15.57,8.71,0.0,8.71,6.86,2.14,1.34,0.0,1.34,0.8,0.229,-0.1269,0.0091,0.0,1053.51,0.0,573.23,573.23,480.28
2020-05-08,CE,Camocim,11,0,41,24,63661,64546,2302602,6.8,75,41,34,2.86,19.43,11.29,0.0,11.29,8.14,2.14,1.34,0.0,1.34,0.8,0.0686,0.0069,-0.0224,0.0,1161.96,0.0,635.21,635.21,526.76
2020-05-09,CE,Camocim,11,0,41,25,63661,64546,2302602,6.8,75,41,34,2.86,19.43,11.43,0.0,11.43,8.0,2.71,1.71,0.0,1.71,1.0,-0.0057,-0.024,-0.0126,0.0,1161.96,0.0,635.21,635.21,526.76
2020-05-10,CE,Camocim,17,0,65,26,63661,64546,2302602,6.8,116,65,51,3.0,20.43,12.0,0.0,12.0,8.43,3.09,1.83,0.0286,1.86,1.23,0.114,-0.1143,-0.0286,0.0,1797.17,0.0,1007.03,1007.03,790.13
2020-05-11,CE,Camocim,23,0,90,27,63661,64546,2302602,6.8,156,90,66,3.43,23.29,13.86,0.0,13.86,9.43,3.49,2.0,0.0857,2.09,1.4,-0.08,-0.144,0.0206,0.0,2416.88,0.0,1394.35,1394.35,1022.53
2020-05-12,CE,Camocim,23,0,91,28,63661,64546,2302602,6.8,156,91,65,4.57,31.0,17.86,0.143,18.0,13.0,2.71,1.71,0.143,1.86,0.857,-0.3429,-0.2697,0.0407,0.0,2416.88,0.0,1409.85,1409.85,1007.03
2020-05-13,CE,Camocim,24,0,95,29,63661,64546,2302602,6.8,163,95,68,5.43,36.86,21.29,0.429,21.71,15.14,1.74,1.11,0.171,1.29,0.457,-0.6514,0.11,0.0718,0.0,2525.33,0.0,1471.82,1471.82,1053.51
2020-05-14,CE,Camocim,34,0,134,30,63661,64546,2302602,6.8,231,134,97,4.86,33.0,20.0,0.714,20.71,12.29,1.0,0.571,0.143,0.714,0.286,-1.3543,0.179,0.0999,0.0,3578.84,0.0,2076.04,2076.04,1502.8
2020-05-15,CE,Camocim,43,1,166,31,63661,64546,2302602,6.8,292,167,125,4.29,29.14,17.57,0.857,18.43,10.71,-0.1714,-0.0571,0.114,0.0571,-0.2286,0.663,0.245,0.195,0.006,4523.91,15.49,2571.81,2587.3,1936.6
2020-05-16,CE,Camocim,49,3,190,32,63661,64546,2302602,6.8,333,193,140,4.14,28.29,16.71,0.714,17.43,10.86,-3.2857,-1.8571,0.0571,-1.8,-1.4857,0.817,0.355,-0.109,0.0155,5159.11,46.48,2943.64,2990.12,2169.0
2020-05-17,CE,Camocim,51,5,205,33,63661,64546,2302602,6.8,347,210,137,4.43,30.14,17.57,0.714,18.29,11.86,6.03,3.4,-0.0286,3.37,2.66,0.88,0.705,-0.1136,0.0238,5376.01,77.46,3176.03,3253.49,2122.52
2020-05-18,CE,Camocim,53,6,213,34,63661,64546,2302602,6.8,360,219,141,3.0,20.43,12.0,0.714,12.71,7.71,5.83,3.49,-0.0857,3.4,2.43,1.13,-0.4354,-0.2032,0.0274,5577.42,92.96,3299.97,3392.93,2184.49
2020-05-19,CE,Camocim,52,5,208,35,63661,64546,2302602,6.8,354,213,141,9.29,63.14,37.0,0.571,37.57,25.57,5.4,3.31,-0.1143,3.2,2.2,2.17,-0.3886,-0.0635,0.0235,5484.46,77.46,3222.51,3299.97,2184.49
2020-05-20,CE,Camocim,55,5,218,36,63661,64546,2302602,6.8,374,223,151,8.57,58.29,35.0,0.429,35.43,22.86,5.46,3.74,-0.1429,3.6,1.86,-1.5143,-0.7714,-0.1842,0.0224,5794.32,77.46,3377.44,3454.9,2339.42
2020-05-21,CE,Camocim,55,5,218,37,63661,64546,2302602,6.8,374,223,151,8.14,55.29,33.29,0.143,33.43,21.86,7.57,5.14,-0.1143,5.03,2.54,-1.1257,0.0377,0.332,0.0224,5794.32,77.46,3377.44,3454.9,2339.42
2020-05-22,CE,Camocim,108,5,425,38,63661,64546,2302602,6.8,734,430,304,8.43,57.43,36.29,0.0,36.29,21.14,-1.5429,-0.1429,-0.0571,-0.2,-1.3429,-2.9771,-0.216,0.377,0.0116,11371.73,77.46,6584.45,6661.92,4709.82
2020-05-23,CE,Camocim,109,6,435,39,63661,64546,2302602,6.8,741,441,300,8.57,58.29,37.71,0.143,37.86,20.43,0.2,0.6,-0.0286,0.571,-0.3714,1.31,1.23,0.728,0.0136,11480.18,92.96,6739.38,6832.34,4647.85
2020-05-24,CE,Camocim,108,6,438,40,63661,64546,2302602,6.8,734,444,290,8.14,55.43,36.29,0.286,36.57,18.86,-9.4857,-5.0286,0.0286,-5.0,-4.4857,1.09,1.5,0.0597,0.0135,11371.73,92.96,6785.86,6878.82,4492.92
2020-05-25,CE,Camocim,112,6,467,41,63661,64546,2302602,6.8,762,473,289,8.71,59.29,38.0,0.286,38.29,21.0,12.03,7.2,0.0286,7.23,4.8,4.62,2.87,0.124,0.0127,11805.53,92.96,7235.15,7328.11,4477.43
2020-05-26,CE,Camocim,112,6,472,42,63661,64546,2302602,6.8,762,478,284,1.14,7.86,8.14,0.286,8.43,-0.5714,13.03,8.09,0.0,8.09,4.94,6.37,0.336,-0.5385,0.0126,11805.53,92.96,7312.61,7405.57,4399.96
