Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-27,PB,Campina Grande,1,0,2,1,413828,2504009,8.3,8,2,6,,,,,,,,,,,,,,,0.0,19.33,0.0,4.83,4.83,14.5
2020-03-28,PB,Campina Grande,2,0,5,2,413828,2504009,8.3,17,5,12,,,,,,,,,,,,,,,0.0,41.08,0.0,12.08,12.08,29.0
2020-03-29,PB,Campina Grande,2,0,6,3,413828,2504009,8.3,17,6,11,,,,,,,,,,,,,,,0.0,41.08,0.0,14.5,14.5,26.58
2020-03-30,PB,Campina Grande,2,0,6,4,413828,2504009,8.3,17,6,11,,,,,,,,,,,,,,,0.0,41.08,0.0,14.5,14.5,26.58
2020-03-31,PB,Campina Grande,2,0,6,5,413828,2504009,8.3,17,6,11,0.143,1.29,0.571,0.0,0.571,0.714,,,,,,,,,0.0,41.08,0.0,14.5,14.5,26.58
2020-04-01,PB,Campina Grande,2,0,6,6,413828,2504009,8.3,17,6,11,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,41.08,0.0,14.5,14.5,26.58
2020-04-02,PB,Campina Grande,2,0,6,7,413828,2504009,8.3,17,6,11,0.143,1.14,0.571,0.0,0.571,0.571,,,,,,,,,0.0,41.08,0.0,14.5,14.5,26.58
2020-04-03,PB,Campina Grande,2,0,6,8,413828,2504009,8.3,17,6,11,0.143,1.14,0.571,0.0,0.571,0.571,-0.0286,0.0,0.0,0.0,-0.0286,,,,0.0,41.08,0.0,14.5,14.5,26.58
2020-04-04,PB,Campina Grande,2,0,6,9,413828,2504009,8.3,17,6,11,0.143,1.14,0.571,0.0,0.571,0.571,0.229,0.0857,0.0,0.0857,0.143,,,,0.0,41.08,0.0,14.5,14.5,26.58
2020-04-05,PB,Campina Grande,3,0,10,10,413828,2504009,8.3,25,10,15,0.143,1.14,0.571,0.0,0.571,0.571,0.0,0.0,0.0,0.0,0.0,,,,0.0,60.41,0.0,24.16,24.16,36.25
