Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-06,MG,Campo Florido,1,0,4,1,8151,8352,3111408,6.8,7,4,3,,,,,,,,,,,,,,,0.0,838.12,0.0,478.93,478.93,359.2
2020-06-07,MG,Campo Florido,1,0,5,2,8151,8352,3111408,6.8,7,5,2,,,,,,,,,,,,,,,0.0,838.12,0.0,598.66,598.66,239.46
2020-06-08,MG,Campo Florido,1,0,5,3,8151,8352,3111408,6.8,7,5,2,,,,,,,,,,,,,,,0.0,838.12,0.0,598.66,598.66,239.46
2020-06-09,MG,Campo Florido,1,0,5,4,8151,8352,3111408,6.8,7,5,2,,,,,,,,,,,,,,,0.0,838.12,0.0,598.66,598.66,239.46
2020-06-10,MG,Campo Florido,1,0,5,5,8151,8352,3111408,6.8,7,5,2,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,838.12,0.0,598.66,598.66,239.46
2020-06-11,MG,Campo Florido,1,0,5,6,8151,8352,3111408,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,838.12,0.0,598.66,598.66,239.46
2020-06-12,MG,Campo Florido,1,0,5,7,8151,8352,3111408,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,838.12,0.0,598.66,598.66,239.46
2020-06-13,MG,Campo Florido,1,0,5,8,8151,8352,3111408,6.8,7,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.371,0.0,0.371,0.2,,,,0.0,838.12,0.0,598.66,598.66,239.46
2020-06-14,MG,Campo Florido,1,0,5,9,8151,8352,3111408,6.8,7,5,2,0.429,2.86,2.0,0.0,2.0,0.857,1.17,0.829,0.0,0.829,0.343,,,,0.0,838.12,0.0,598.66,598.66,239.46
2020-06-15,MG,Campo Florido,1,0,5,10,8151,8352,3111408,6.8,7,5,2,0.429,2.86,2.0,0.0,2.0,0.857,0.971,0.686,0.0,0.686,0.286,,,,0.0,838.12,0.0,598.66,598.66,239.46
2020-06-16,MG,Campo Florido,1,0,5,11,8151,8352,3111408,6.8,7,5,2,0.857,5.86,4.14,0.0,4.14,1.71,0.971,0.714,0.0,0.714,0.257,-0.0343,,,0.0,838.12,0.0,598.66,598.66,239.46
2020-06-17,MG,Campo Florido,4,0,19,12,8151,8352,3111408,6.8,27,19,8,0.714,4.86,3.43,0.0,3.43,1.43,0.4,0.314,0.0,0.314,0.0857,-0.3486,,,0.0,3232.76,0.0,2274.9,2274.9,957.85
2020-06-18,MG,Campo Florido,4,0,19,13,8151,8352,3111408,6.8,27,19,8,0.714,4.86,3.57,0.0,3.57,1.29,0.4,0.314,0.0,0.314,0.0857,-0.2686,,,0.0,3232.76,0.0,2274.9,2274.9,957.85
2020-06-19,MG,Campo Florido,7,0,34,14,8151,8352,3111408,6.8,48,34,14,0.714,4.86,3.57,0.0,3.57,1.29,-0.5714,-0.3714,0.0,-0.3714,-0.2,-0.3143,-0.0251,,0.0,5747.13,0.0,4070.88,4070.88,1676.25
2020-06-20,MG,Campo Florido,6,0,29,15,8151,8352,3111408,6.8,41,29,12,0.714,4.86,3.57,0.0,3.57,1.29,-0.3714,-0.2286,0.0,-0.2286,-0.1429,-0.16,0.0914,,0.0,4909.0,0.0,3472.22,3472.22,1436.78
2020-06-21,MG,Campo Florido,6,0,30,16,8151,8352,3111408,6.8,41,30,11,0.429,3.0,2.29,0.0,2.29,0.714,-0.6,-0.4286,0.0,-0.4286,-0.1714,-0.16,0.0674,,0.0,4909.0,0.0,3591.95,3591.95,1317.05
2020-06-22,MG,Campo Florido,6,0,30,17,8151,8352,3111408,6.8,41,30,11,0.429,3.0,2.29,0.0,2.29,0.714,-0.4,-0.2857,0.0,-0.2857,-0.1143,0.109,0.0949,0.0194,0.0,4909.0,0.0,3591.95,3591.95,1317.05
2020-06-23,MG,Campo Florido,6,0,30,18,8151,8352,3111408,6.8,41,30,11,0.286,1.86,1.43,0.0,1.43,0.429,-0.4,-0.2857,0.0,-0.2857,-0.1143,0.0686,0.056,-0.016,0.0,4909.0,0.0,3591.95,3591.95,1317.05
2020-06-24,MG,Campo Florido,7,0,35,19,8151,8352,3111408,6.8,48,35,13,0.429,2.86,2.14,0.0,2.14,0.714,-0.0286,-0.0286,0.0,-0.0286,0.0,0.16,0.072,-0.0066,0.0,5747.13,0.0,4190.61,4190.61,1556.51
2020-06-25,MG,Campo Florido,7,0,35,20,8151,8352,3111408,6.8,48,35,13,0.429,2.86,2.14,0.0,2.14,0.714,-0.0286,0.0,0.0,0.0,-0.0286,0.12,0.0114,-0.0176,0.0,5747.13,0.0,4190.61,4190.61,1556.51
2020-06-26,MG,Campo Florido,9,0,44,21,8151,8352,3111408,6.8,61,44,17,0.429,2.86,2.14,0.0,2.14,0.714,0.2,0.171,0.0,0.171,0.0286,0.2,0.0343,-0.0098,0.0,7303.64,0.0,5268.2,5268.2,2035.44
2020-06-27,MG,Campo Florido,9,0,44,22,8151,8352,3111408,6.8,61,44,17,0.429,2.86,2.29,0.0,2.29,0.571,0.2,0.171,0.0,0.171,0.0286,0.166,0.0069,-0.0226,0.0,7303.64,0.0,5268.2,5268.2,2035.44
2020-06-28,MG,Campo Florido,9,0,45,23,8151,8352,3111408,6.8,61,45,16,0.429,2.86,2.29,0.0,2.29,0.571,0.6,0.486,0.0,0.486,0.114,0.24,0.0069,-0.0139,0.0,7303.64,0.0,5387.93,5387.93,1915.71
2020-06-29,MG,Campo Florido,9,0,45,24,8151,8352,3111408,6.8,61,45,16,0.571,3.86,3.0,0.0,3.0,0.857,0.8,0.657,0.0,0.657,0.143,0.194,-0.0411,-0.0336,0.0,7303.64,0.0,5387.93,5387.93,1915.71
2020-06-30,MG,Campo Florido,9,0,46,25,8151,8352,3111408,6.8,61,46,15,0.857,5.86,4.57,0.0,4.57,1.29,1.17,0.886,0.0,0.886,0.286,0.154,-0.0583,-0.0247,0.0,7303.64,0.0,5507.66,5507.66,1795.98
2020-07-01,MG,Campo Florido,10,0,51,26,8151,8352,3111408,6.8,68,51,17,1.0,6.86,5.43,0.0,5.43,1.43,1.17,0.943,0.0,0.943,0.229,-0.0057,-0.1337,-0.0245,0.0,8141.76,0.0,6106.32,6106.32,2035.44
2020-07-02,MG,Campo Florido,11,0,56,27,8151,8352,3111408,6.8,75,56,19,1.29,8.71,6.71,0.0,6.71,2.0,0.971,0.771,0.0,0.771,0.2,-0.1257,-0.1166,-0.0053,0.0,8979.89,0.0,6704.98,6704.98,2274.9
2020-07-03,MG,Campo Florido,15,0,76,28,8151,8352,3111408,6.8,102,76,26,1.29,8.71,7.0,0.0,7.0,1.71,0.571,0.457,0.0,0.457,0.114,-0.4286,-0.1154,0.0094,0.0,12212.64,0.0,9099.62,9099.62,3113.03
2020-07-04,MG,Campo Florido,16,0,82,29,8151,8352,3111408,6.8,109,82,27,1.29,8.71,6.86,0.0,6.86,1.86,0.171,0.143,0.0,0.143,0.0286,-0.3886,-0.0674,0.0517,0.0,13050.77,0.0,9818.01,9818.01,3232.76
2020-07-05,MG,Campo Florido,18,0,92,30,8151,8352,3111408,6.8,122,92,30,1.29,8.71,6.86,0.0,6.86,1.86,-0.9714,-0.6857,0.0,-0.6857,-0.2857,-0.4229,-0.0114,0.0434,0.0,14607.28,0.0,11015.33,11015.33,3591.95
2020-07-06,MG,Campo Florido,18,0,94,31,8151,8352,3111408,6.8,122,94,28,1.14,7.71,6.14,0.0,6.14,1.57,-0.7714,-0.5714,0.0,-0.5714,-0.2,-0.3429,0.125,0.0521,0.0,14607.28,0.0,11254.79,11254.79,3352.49
2020-07-07,MG,Campo Florido,18,0,94,32,8151,8352,3111408,6.8,122,94,28,0.571,3.86,3.29,0.0,3.29,0.571,-1.1429,-0.8,0.0,-0.8,-0.3429,-0.1829,0.101,0.0377,0.0,14607.28,0.0,11254.79,11254.79,3352.49
2020-07-08,MG,Campo Florido,19,0,99,33,8151,8352,3111408,6.8,129,99,30,0.714,4.86,4.14,0.0,4.14,0.714,-1.1429,-0.8286,0.0,-0.8286,-0.3143,0.194,0.145,0.0153,0.0,15445.4,0.0,11853.45,11853.45,3591.95
2020-07-09,MG,Campo Florido,19,0,99,34,8151,8352,3111408,6.8,129,99,30,0.429,3.0,2.86,0.0,2.86,0.143,-0.7429,-0.5143,0.0,-0.5143,-0.2286,0.114,0.121,-0.0327,0.0,15445.4,0.0,11853.45,11853.45,3591.95
2020-07-10,MG,Campo Florido,19,0,99,35,8151,8352,3111408,6.8,129,99,30,0.429,3.0,2.71,0.0,2.71,0.286,0.0,0.0571,0.0,0.0571,-0.0571,0.303,0.0651,-0.0231,0.0,15445.4,0.0,11853.45,11853.45,3591.95
2020-07-11,MG,Campo Florido,21,0,111,36,8151,8352,3111408,6.8,143,111,32,0.571,4.0,3.57,0.0,3.57,0.429,-0.2,-0.1143,0.0,-0.1143,-0.0857,0.263,-0.0389,-0.0471,0.0,17121.65,0.0,13290.23,13290.23,3831.42
2020-07-12,MG,Campo Florido,21,0,112,37,8151,8352,3111408,6.8,143,112,31,0.571,3.86,3.57,0.0,3.57,0.286,0.371,0.314,0.0,0.314,0.0571,0.143,-0.0149,-0.0375,0.0,17121.65,0.0,13409.96,13409.96,3711.69
2020-07-13,MG,Campo Florido,21,0,113,38,8151,8352,3111408,6.8,143,113,30,0.571,3.86,3.57,0.0,3.57,0.286,0.171,0.2,0.0,0.2,-0.0286,0.0,-0.0903,-0.0215,0.0,17121.65,0.0,13529.69,13529.69,3591.95
2020-07-14,MG,Campo Florido,22,0,119,39,8151,8352,3111408,6.8,150,119,31,0.714,4.86,4.43,0.0,4.43,0.429,-0.0286,0.0286,0.0,0.0286,-0.0571,0.04,-0.0663,0.0048,0.0,17959.77,0.0,14248.08,14248.08,3711.69
2020-07-15,MG,Campo Florido,23,0,124,40,8151,8352,3111408,6.8,156,124,32,0.571,3.86,3.71,0.0,3.71,0.143,0.0,0.0571,0.0,0.0571,-0.0571,-0.1486,-0.0423,0.0014,0.0,18678.16,0.0,14846.74,14846.74,3831.42
2020-07-16,MG,Campo Florido,23,0,124,41,8151,8352,3111408,6.8,156,124,32,0.571,3.86,3.71,0.0,3.71,0.143,0.0,0.0286,0.0,0.0286,-0.0286,-0.0686,-0.0149,0.0283,0.0,18678.16,0.0,14846.74,14846.74,3831.42
2020-07-17,MG,Campo Florido,24,0,130,42,8151,8352,3111408,6.8,163,130,33,0.571,3.86,3.86,0.0,3.86,0.0,-0.3714,-0.3143,0.0,-0.3143,-0.0571,-0.0686,-0.008,0.0233,0.0,19516.28,0.0,15565.13,15565.13,3951.15
2020-07-18,MG,Campo Florido,25,0,137,43,8151,8352,3111408,6.8,170,137,33,0.571,3.86,3.71,0.0,3.71,0.143,-0.1714,-0.2,0.0,-0.2,0.0286,-0.0743,0.0514,0.0265,0.0,20354.41,0.0,16403.26,16403.26,3951.15
2020-07-19,MG,Campo Florido,25,0,138,44,8151,8352,3111408,6.8,170,138,32,0.429,3.0,2.86,0.0,2.86,0.143,-0.3714,-0.4,0.0,-0.4,0.0286,0.0,0.0503,0.0258,0.0,20354.41,0.0,16522.99,16522.99,3831.42
2020-07-20,MG,Campo Florido,25,0,140,45,8151,8352,3111408,6.8,170,140,30,0.429,3.0,2.71,0.0,2.71,0.286,-0.3714,-0.4571,0.0,-0.4571,0.0857,0.109,0.0903,0.0217,0.0,20354.41,0.0,16762.45,16762.45,3591.95
2020-07-21,MG,Campo Florido,26,0,145,46,8151,8352,3111408,6.8,177,145,32,0.286,2.0,1.71,0.0,1.71,0.286,0.0,-0.1143,0.0,-0.1143,0.114,0.183,0.114,,0.0,21192.53,0.0,17361.11,17361.11,3831.42
2020-07-22,MG,Campo Florido,26,0,144,47,8151,8352,3111408,6.8,177,144,33,0.286,2.0,1.57,0.0,1.57,0.429,0.171,0.0571,0.0,0.0571,0.114,0.383,0.101,,0.0,21192.53,0.0,17241.38,17241.38,3951.15
2020-07-23,MG,Campo Florido,26,0,143,48,8151,8352,3111408,6.8,177,143,34,0.571,3.86,3.14,0.0,3.14,0.714,0.743,0.571,0.0,0.571,0.171,0.497,,,0.0,21192.53,0.0,17121.65,17121.65,4070.88
2020-07-24,MG,Campo Florido,26,0,142,49,8151,8352,3111408,6.8,177,142,35,0.571,3.86,3.14,0.0,3.14,0.714,1.54,1.26,0.0,1.26,0.286,0.503,,,0.0,21192.53,0.0,17001.92,17001.92,4190.61
2020-07-25,MG,Campo Florido,27,0,148,50,8151,8352,3111408,6.8,184,148,36,1.0,6.71,5.57,0.0,5.57,1.14,2.11,1.77,0.0,1.77,0.343,,,,0.0,22030.65,0.0,17720.31,17720.31,4310.34
2020-07-26,MG,Campo Florido,29,0,160,51,8151,8352,3111408,6.8,197,160,37,1.43,9.71,8.0,0.0,8.0,1.71,2.51,2.11,0.0,2.11,0.4,,,,0.0,23587.16,0.0,19157.09,19157.09,4430.08
2020-07-27,MG,Campo Florido,29,0,162,52,8151,8352,3111408,6.8,197,162,35,1.86,12.57,10.43,0.0,10.43,2.14,,,,,,,,,0.0,23587.16,0.0,19396.55,19396.55,4190.61
2020-07-28,MG,Campo Florido,33,0,184,53,8151,8352,3111408,6.8,224,184,40,2.43,16.43,13.71,0.0,13.71,2.71,,,,,,,,,0.0,26819.92,0.0,22030.65,22030.65,4789.27
2020-07-29,MG,Campo Florido,36,0,200,54,8151,8352,3111408,6.8,245,200,45,,,,,,,,,,,,,,,0.0,29334.29,0.0,23946.36,23946.36,5387.93
2020-07-30,MG,Campo Florido,39,0,216,55,8151,8352,3111408,6.8,265,216,49,,,,,,,,,,,,,,,0.0,31728.93,0.0,25862.07,25862.07,5866.86
2020-07-31,MG,Campo Florido,43,0,238,56,8151,8352,3111408,6.8,292,238,54,,,,,,,,,,,,,,,0.0,34961.69,0.0,28496.17,28496.17,6465.52
