Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-23,PE,Caruaru,1,0,2,1,364729,2604106,8.3,8,2,6,,,,,,,,,,,,,,,0.0,21.93,0.0,5.48,5.48,16.45
2020-03-24,PE,Caruaru,1,0,2,2,364729,2604106,8.3,8,2,6,,,,,,,,,,,,,,,0.0,21.93,0.0,5.48,5.48,16.45
2020-03-25,PE,Caruaru,1,0,2,3,364729,2604106,8.3,8,2,6,,,,,,,,,,,,,,,0.0,21.93,0.0,5.48,5.48,16.45
2020-03-26,PE,Caruaru,1,0,2,4,364729,2604106,8.3,8,2,6,,,,,,,,,,,,,,,0.0,21.93,0.0,5.48,5.48,16.45
2020-03-27,PE,Caruaru,1,0,2,5,364729,2604106,8.3,8,2,6,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,21.93,0.0,5.48,5.48,16.45
2020-03-28,PE,Caruaru,1,0,3,6,364729,2604106,8.3,8,3,5,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,21.93,0.0,8.23,8.23,13.71
2020-03-29,PE,Caruaru,1,0,3,7,364729,2604106,8.3,8,3,5,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,21.93,0.0,8.23,8.23,13.71
2020-03-30,PE,Caruaru,1,0,3,8,364729,2604106,8.3,8,3,5,0.0,0.0,0.143,0.0,0.143,-0.1429,0.257,0.0571,0.0,0.0571,0.2,,,,0.0,21.93,0.0,8.23,8.23,13.71
2020-03-31,PE,Caruaru,1,0,3,9,364729,2604106,8.3,8,3,5,0.0,0.0,0.143,0.0,0.143,-0.1429,0.257,0.0857,0.0,0.0857,0.171,,,,0.0,21.93,0.0,8.23,8.23,13.71
2020-04-01,PE,Caruaru,1,0,3,10,364729,2604106,8.3,8,3,5,0.143,1.29,0.429,0.0,0.429,0.857,0.486,0.171,0.0,0.171,0.314,,,,0.0,21.93,0.0,8.23,8.23,13.71
2020-04-02,PE,Caruaru,1,0,3,11,364729,2604106,8.3,8,3,5,0.143,1.29,0.571,0.0,0.571,0.714,0.486,0.171,0.0,0.171,0.314,0.0914,,,0.0,21.93,0.0,8.23,8.23,13.71
2020-04-03,PE,Caruaru,1,0,3,12,364729,2604106,8.3,8,3,5,0.286,2.43,1.0,0.0,1.0,1.43,0.486,0.171,0.0,0.171,0.314,0.137,,,0.0,21.93,0.0,8.23,8.23,13.71
2020-04-04,PE,Caruaru,2,0,6,13,364729,2604106,8.3,17,6,11,0.286,2.43,1.0,0.0,1.0,1.43,0.714,0.314,0.0,0.314,0.4,-0.0057,,,0.0,46.61,0.0,16.45,16.45,30.16
2020-04-05,PE,Caruaru,2,0,7,14,364729,2604106,8.3,17,7,10,0.286,2.43,1.0,0.0,1.0,1.43,0.943,0.4,0.0286,0.429,0.514,0.04,-0.048,,0.0,46.61,0.0,19.19,19.19,27.42
2020-04-06,PE,Caruaru,3,0,10,15,364729,2604106,8.3,25,10,15,0.571,4.86,2.0,0.0,2.0,2.86,0.457,0.257,0.0286,0.286,0.171,-0.0057,-0.0663,,0.0,68.54,0.0,27.42,27.42,41.13
2020-04-07,PE,Caruaru,3,0,10,16,364729,2604106,8.3,25,10,15,0.714,6.0,2.57,0.143,2.71,3.29,0.686,0.371,0.0286,0.4,0.286,-0.1486,-0.008,,0.0,68.54,0.0,27.42,27.42,41.13
2020-04-08,PE,Caruaru,3,0,10,17,364729,2604106,8.3,25,10,15,0.571,4.71,2.29,0.143,2.43,2.29,0.457,0.314,0.0286,0.343,0.114,-0.1943,-0.016,0.0235,0.0,68.54,0.0,27.42,27.42,41.13
2020-04-09,PE,Caruaru,5,0,17,18,364729,2604106,8.3,42,17,25,0.714,5.86,2.86,0.143,3.0,2.86,-0.0286,0.114,0.0286,0.143,-0.1714,-0.0457,0.0309,0.0272,0.0,115.15,0.0,46.61,46.61,68.54
2020-04-10,PE,Caruaru,6,1,21,19,364729,2604106,8.3,50,22,28,0.571,4.71,2.57,0.143,2.71,2.0,-0.0286,0.0857,0.0,0.0857,-0.1143,-0.04,0.0697,0.0075,0.0455,137.09,2.74,57.58,60.32,76.77
2020-04-11,PE,Caruaru,6,1,22,20,364729,2604106,8.3,50,23,27,0.571,4.71,2.57,0.143,2.71,2.0,0.229,0.2,0.0,0.2,0.0286,0.149,0.0697,0.0011,0.0435,137.09,2.74,60.32,63.06,74.03
2020-04-12,PE,Caruaru,7,1,27,21,364729,2604106,8.3,58,28,30,0.714,5.86,3.0,0.143,3.14,2.71,0.486,0.314,-0.0286,0.286,0.2,0.2,0.0297,-0.0274,0.0357,159.02,2.74,74.03,76.77,82.25
2020-04-13,PE,Caruaru,7,1,28,22,364729,2604106,8.3,58,29,29,0.714,5.86,3.29,0.143,3.43,2.43,1.2,0.571,-0.0286,0.543,0.657,0.154,-0.0103,-0.0375,0.0345,159.02,2.74,76.77,79.51,79.51
2020-04-14,PE,Caruaru,7,1,28,23,364729,2604106,8.3,58,29,29,1.0,8.29,4.43,0.0,4.43,3.86,0.971,0.514,-0.0286,0.486,0.486,0.103,-0.1063,-0.0377,0.0345,159.02,2.74,76.77,79.51,79.51
