Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-04,SP,Cedral,1,0,4,9329,3511300,9.7,10,4,6,,,,,,,,,,,,,,,0.0,0.0,1071.93,0.0,428.77,428.77,643.16
2020-04-05,SP,Cedral,1,0,4,9329,3511300,9.7,10,4,6,,,,,,,,,,,,,,,0.0,0.0,1071.93,0.0,428.77,428.77,643.16
2020-04-06,SP,Cedral,1,0,4,9329,3511300,9.7,10,4,6,,,,,,,,,,,,,,,0.0,0.0,1071.93,0.0,428.77,428.77,643.16
2020-04-07,SP,Cedral,1,0,4,9329,3511300,9.7,10,4,6,,,,,,,,,,,,,,,0.0,0.0,1071.93,0.0,428.77,428.77,643.16
2020-04-08,SP,Cedral,1,0,4,9329,3511300,9.7,10,4,6,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,428.77,428.77,643.16
2020-04-09,SP,Cedral,1,0,4,9329,3511300,9.7,10,4,6,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,1071.93,0.0,428.77,428.77,643.16
2020-04-10,SP,Cedral,1,0,4,9329,3511300,9.7,10,4,6,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,1071.93,0.0,428.77,428.77,643.16
2020-04-11,SP,Cedral,1,0,4,9329,3511300,9.7,10,4,6,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,1071.93,0.0,428.77,428.77,643.16
2020-04-12,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.143,,,,,0.0,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-13,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.143,,,,,0.0,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-14,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.143,,,,,-0.0286,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-15,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.143,,,,,-0.0286,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-16,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-17,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-18,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-19,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-20,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-21,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-22,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-23,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-24,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-25,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-26,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-27,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-28,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-29,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-04-30,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-05-01,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
2020-05-02,SP,Cedral,1,0,5,9329,3511300,9.7,10,5,5,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,1071.93,0.0,535.96,535.96,535.96
