Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-10,MA,Cidelândia,5,0,24,1,14844,2103257,8.3,42,24,18,,,,,,,,,,,,,,,0.0,0.0,2829.43,0.0,1616.81,1616.81,1212.61
2020-05-11,MA,Cidelândia,5,0,24,2,14844,2103257,8.3,42,24,18,,,,,,,,,,,,,,,0.0,0.0,2829.43,0.0,1616.81,1616.81,1212.61
2020-05-12,MA,Cidelândia,7,0,34,3,14844,2103257,8.3,58,34,24,,,,,,,,,,,,,,,0.0,0.0,3907.3,0.0,2290.49,2290.49,1616.81
2020-05-13,MA,Cidelândia,7,0,34,4,14844,2103257,8.3,58,34,24,,,,,,,,,,,,,,,0.0,0.0,3907.3,0.0,2290.49,2290.49,1616.81
2020-05-14,MA,Cidelândia,7,0,34,5,14844,2103257,8.3,58,34,24,2.0,16.57,9.86,,,,,,,,,,,,0.0,0.0,3907.3,0.0,2290.49,2290.49,1616.81
2020-05-15,MA,Cidelândia,7,0,33,6,14844,2103257,8.3,58,33,25,3.0,24.86,14.86,,,,,,,,,,,,0.0,0.0,3907.3,0.0,2223.12,2223.12,1684.18
2020-05-16,MA,Cidelândia,19,0,90,7,14844,2103257,8.3,158,90,68,2.71,22.57,13.29,,,,,,,,,,,,0.0,0.0,10644.03,0.0,6063.06,6063.06,4580.98
2020-05-17,MA,Cidelândia,19,0,93,8,14844,2103257,8.3,158,93,65,4.0,33.14,19.29,,,,3.31,1.91,,,,,,,0.0,0.0,10644.03,0.0,6265.16,6265.16,4378.87
2020-05-18,MA,Cidelândia,26,0,128,9,14844,2103257,8.3,216,128,88,4.0,33.14,19.29,,,,5.69,3.4,,,,,,,0.0,0.0,14551.33,0.0,8623.01,8623.01,5928.32
2020-05-19,MA,Cidelândia,26,0,127,10,14844,2103257,8.3,216,127,89,4.0,33.14,19.43,,,,6.63,4.06,,,,,,,0.0,0.0,14551.33,0.0,8555.65,8555.65,5995.69
2020-05-20,MA,Cidelândia,35,0,169,11,14844,2103257,8.3,290,169,121,6.43,53.29,31.86,,,,4.74,3.26,,,,-0.1371,,,0.0,0.0,19536.51,0.0,11385.07,11385.07,8151.44
2020-05-21,MA,Cidelândia,35,0,169,12,14844,2103257,8.3,290,169,121,6.71,55.71,33.57,,,,4.74,3.4,,,,-1.4171,,,0.0,0.0,19536.51,0.0,11385.07,11385.07,8151.44
2020-05-22,MA,Cidelândia,35,0,169,13,14844,2103257,8.3,290,169,121,6.86,56.86,35.57,,,,2.63,2.2,,,,-1.7029,,,0.0,0.0,19536.51,0.0,11385.07,11385.07,8151.44
2020-05-23,MA,Cidelândia,64,0,313,14,14844,2103257,8.3,531,313,218,6.86,56.86,36.29,,,,-1.4,-0.4,,,,-2.7486,,,0.0,0.0,35772.03,0.0,21085.96,21085.96,14686.07
2020-05-24,MA,Cidelândia,66,0,328,15,14844,2103257,8.3,548,328,220,5.57,46.29,30.43,,,,-1.8857,-0.8,,,,-2.8457,,,0.0,0.0,36917.27,0.0,22096.47,22096.47,14820.8
2020-05-25,MA,Cidelândia,74,0,377,16,14844,2103257,8.3,614,377,237,5.57,46.29,29.86,,,,-9.0,-5.4857,,,,-2.3314,,,0.0,0.0,41363.51,0.0,25397.47,25397.47,15966.05
2020-05-26,MA,Cidelândia,74,0,381,17,14844,2103257,8.3,614,381,233,5.57,46.29,29.57,,,,-9.4857,-5.7714,,,,,,,0.0,0.0,41363.51,0.0,25666.94,25666.94,15696.58
2020-05-27,MA,Cidelândia,74,0,382,18,14844,2103257,8.3,614,382,232,1.43,11.86,8.14,,,,-9.0286,-5.5143,,,,,,,0.0,0.0,41363.51,0.0,25734.3,25734.3,15629.21
2020-05-28,MA,Cidelândia,74,0,378,19,14844,2103257,8.3,614,378,236,1.14,9.43,7.43,,,,-9.0286,-5.5714,,,,,,,0.0,0.0,41363.51,0.0,25464.83,25464.83,15898.68
2020-05-29,MA,Cidelândia,74,0,376,20,14844,2103257,8.3,614,376,238,0.143,1.14,2.86,,,,-9.0286,-5.5429,,,,,,,0.0,0.0,41363.51,0.0,25330.1,25330.1,16033.41
2020-05-30,MA,Cidelândia,74,0,370,21,14844,2103257,8.3,614,370,244,0.143,1.14,2.0,,,,-2.1429,-1.1714,,,,,,,0.0,0.0,41363.51,0.0,24925.9,24925.9,16437.62
2020-05-31,MA,Cidelândia,74,0,380,22,14844,2103257,8.3,614,380,234,0.143,1.14,1.86,,,,1.43,1.0,,,,,,,0.0,0.0,41363.51,0.0,25599.57,25599.57,15763.95
2020-06-01,MA,Cidelândia,75,0,397,23,14844,2103257,8.3,622,397,225,0.143,1.14,2.29,,,,3.09,2.2,,,,,,,0.0,0.0,41902.45,0.0,26744.81,26744.81,15157.64
2020-06-02,MA,Cidelândia,75,0,395,24,14844,2103257,8.3,622,395,227,2.0,16.57,12.43,,,,3.09,2.37,,,,,,,0.0,0.0,41902.45,0.0,26610.08,26610.08,15292.37
2020-06-03,MA,Cidelândia,75,0,395,25,14844,2103257,8.3,622,395,227,2.0,16.57,13.86,,,,2.86,2.23,,,,-0.3314,,,0.0,0.0,41902.45,0.0,26610.08,26610.08,15292.37
2020-06-04,MA,Cidelândia,75,0,394,26,14844,2103257,8.3,622,394,228,2.0,16.57,13.86,,,,2.86,2.2,,,,-0.0914,,,0.0,0.0,41902.45,0.0,26542.71,26542.71,15359.74
2020-06-05,MA,Cidelândia,88,0,463,27,14844,2103257,8.3,730,463,267,1.86,15.43,13.0,,,,-0.2286,0.143,,,,-0.7086,,,0.0,0.0,49178.12,0.0,31191.05,31191.05,17987.07
2020-06-06,MA,Cidelândia,88,0,467,28,14844,2103257,8.3,730,467,263,1.86,15.43,13.29,,,,2.63,1.89,,,,-0.6171,,,0.0,0.0,49178.12,0.0,31460.52,31460.52,17717.6
2020-06-07,MA,Cidelândia,88,0,477,29,14844,2103257,8.3,730,477,253,1.86,15.43,13.14,,,,-0.4571,0.0857,,,,-0.6171,,,0.0,0.0,49178.12,0.0,32134.2,32134.2,17043.92
2020-06-08,MA,Cidelândia,88,0,488,30,14844,2103257,8.3,730,488,242,3.57,29.71,23.29,,,,-0.2286,0.4,,,,,,,0.0,0.0,49178.12,0.0,32875.24,32875.24,16302.88
2020-06-09,MA,Cidelândia,88,0,488,31,14844,2103257,8.3,730,488,242,1.71,14.29,14.29,,,,-0.2286,0.371,,,,1.33,,,0.0,0.0,49178.12,0.0,32875.24,32875.24,16302.88
2020-06-10,MA,Cidelândia,88,0,487,32,14844,2103257,8.3,730,487,243,1.71,14.29,15.0,,,,-0.2286,0.314,,,,,,,0.0,0.0,49178.12,0.0,32807.87,32807.87,16370.25
2020-06-11,MA,Cidelândia,100,0,557,33,14844,2103257,8.3,830,557,273,1.71,14.29,15.14,,,,9.26,6.97,,,,,,,0.0,0.0,55914.85,0.0,37523.58,37523.58,18391.27
2020-06-12,MA,Cidelândia,100,0,563,34,14844,2103257,8.3,830,563,267,1.71,14.29,14.71,,,,14.46,10.34,,,,,-0.3326,,0.0,0.0,55914.85,0.0,37927.78,37927.78,17987.07
2020-06-13,MA,Cidelândia,100,0,572,35,14844,2103257,8.3,830,572,258,9.14,76.0,58.14,,,,17.31,12.63,,,,,,,0.0,0.0,55914.85,0.0,38534.09,38534.09,17380.76
2020-06-14,MA,Cidelândia,100,0,583,36,14844,2103257,8.3,830,583,247,10.43,86.57,66.0,,,,19.69,13.46,,,,-0.3371,,,0.0,0.0,55914.85,0.0,39275.13,39275.13,16639.72
2020-06-15,MA,Cidelândia,100,0,591,37,14844,2103257,8.3,830,591,239,12.14,100.86,78.14,,,,19.91,13.57,,,,-1.8,,,0.0,0.0,55914.85,0.0,39814.07,39814.07,16100.78
2020-06-16,MA,Cidelândia,152,0,895,38,14844,2103257,8.3,1262,895,367,13.57,112.71,82.43,,,,7.57,5.29,,,,-5.3657,,,0.0,0.0,85017.52,0.0,60293.72,60293.72,24723.79
2020-06-17,MA,Cidelândia,161,0,949,39,14844,2103257,8.3,1336,949,387,13.71,113.86,82.57,,,,5.46,3.91,,,,-6.6914,,,0.0,0.0,90002.69,0.0,63931.55,63931.55,26071.14
2020-06-18,MA,Cidelândia,185,0,1104,40,14844,2103257,8.3,1536,1104,432,13.71,113.86,84.57,,,,-9.5143,-7.1429,,,,-7.8286,,,0.0,0.0,103476.15,0.0,74373.48,74373.48,29102.67
2020-06-19,MA,Cidelândia,195,0,1140,41,14844,2103257,8.3,1619,1140,479,13.71,113.86,85.57,,,,-13.7714,-9.5143,,,,-5.8343,,,0.0,0.0,109067.64,0.0,76798.71,76798.71,32268.93
2020-06-20,MA,Cidelândia,196,0,1150,42,14844,2103257,8.3,1627,1150,477,6.43,53.29,42.43,,,,-19.2286,-13.6286,,,,-5.4114,,,0.0,0.0,109606.58,0.0,77472.38,77472.38,32134.2
2020-06-21,MA,Cidelândia,196,0,1175,43,14844,2103257,8.3,1627,1175,452,5.29,43.86,34.86,,,,-21.6,-15.2,,,,,,,0.0,0.0,109606.58,0.0,79156.56,79156.56,30450.01
2020-06-22,MA,Cidelândia,196,0,1190,44,14844,2103257,8.3,1627,1190,437,2.14,17.71,14.43,,,,-21.6,-15.4,,,,,,,0.0,0.0,109606.58,0.0,80167.07,80167.07,29439.5
2020-06-23,MA,Cidelândia,197,0,1192,45,14844,2103257,8.3,1635,1192,443,0.714,5.86,8.57,,,,-9.4857,-7.1429,,,,,,,0.0,0.0,110145.51,0.0,80301.81,80301.81,29843.71
2020-06-24,MA,Cidelândia,198,0,1193,46,14844,2103257,8.3,1643,1193,450,0.714,5.86,8.57,,,,-7.6,-5.5429,,,,,,,0.0,0.0,110684.45,0.0,80369.17,80369.17,30315.28
