Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-11,MG,Conceição das Alagoas,1,0,7,1,28172,3117306,16.5,16,7,9,,,,,,,,,,,,,,,0.0,567.94,0.0,248.47,248.47,319.47
2020-04-12,MG,Conceição das Alagoas,2,0,15,2,28172,3117306,16.5,33,15,18,,,,,,,,,,,,,,,0.0,1171.38,0.0,532.44,532.44,638.93
2020-04-13,MG,Conceição das Alagoas,2,0,16,3,28172,3117306,16.5,33,16,17,,,,,,,,,,,,,,,0.0,1171.38,0.0,567.94,567.94,603.44
2020-04-14,MG,Conceição das Alagoas,2,0,16,4,28172,3117306,16.5,33,16,17,,,,,,,,,,,,,,,0.0,1171.38,0.0,567.94,567.94,603.44
2020-04-15,MG,Conceição das Alagoas,2,0,16,5,28172,3117306,16.5,33,16,17,0.143,2.43,1.29,0.0,1.29,1.14,,,,,,,,,0.0,1171.38,0.0,567.94,567.94,603.44
2020-04-16,MG,Conceição das Alagoas,2,0,16,6,28172,3117306,16.5,33,16,17,0.0,0.0,0.286,0.0,0.286,-0.2857,,,,,,,,,0.0,1171.38,0.0,567.94,567.94,603.44
2020-04-17,MG,Conceição das Alagoas,2,0,16,7,28172,3117306,16.5,33,16,17,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,1171.38,0.0,567.94,567.94,603.44
2020-04-18,MG,Conceição das Alagoas,2,0,16,8,28172,3117306,16.5,33,16,17,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.4857,-0.2286,0.0,-0.2286,-0.2571,,,,0.0,1171.38,0.0,567.94,567.94,603.44
2020-04-19,MG,Conceição das Alagoas,2,0,17,9,28172,3117306,16.5,33,17,16,0.0,0.0,0.286,0.0,0.286,-0.2857,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,1171.38,0.0,603.44,603.44,567.94
2020-04-20,MG,Conceição das Alagoas,2,0,17,10,28172,3117306,16.5,33,17,16,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,,,,0.0,1171.38,0.0,603.44,603.44,567.94
2020-04-21,MG,Conceição das Alagoas,2,0,17,11,28172,3117306,16.5,33,17,16,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0971,,,0.0,1171.38,0.0,603.44,603.44,567.94
2020-04-22,MG,Conceição das Alagoas,2,0,18,12,28172,3117306,16.5,33,18,15,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,,,0.0,1171.38,0.0,638.93,638.93,532.44
2020-04-23,MG,Conceição das Alagoas,2,0,17,13,28172,3117306,16.5,33,17,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,,,0.0,1171.38,0.0,603.44,603.44,567.94
2020-04-24,MG,Conceição das Alagoas,2,0,17,14,28172,3117306,16.5,33,17,16,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0571,0.0,-0.0571,0.0571,0.0,-0.0194,,0.0,1171.38,0.0,603.44,603.44,567.94
2020-04-25,MG,Conceição das Alagoas,2,0,17,15,28172,3117306,16.5,33,17,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,,0.0,1171.38,0.0,603.44,603.44,567.94
2020-04-26,MG,Conceição das Alagoas,2,0,17,16,28172,3117306,16.5,33,17,16,0.0,0.0,-0.1429,0.0,-0.1429,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1171.38,0.0,603.44,603.44,567.94
2020-04-27,MG,Conceição das Alagoas,2,0,18,17,28172,3117306,16.5,33,18,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0,1171.38,0.0,638.93,638.93,532.44
2020-04-28,MG,Conceição das Alagoas,2,0,17,18,28172,3117306,16.5,33,17,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,603.44,603.44,567.94
2020-04-29,MG,Conceição das Alagoas,2,0,17,19,28172,3117306,16.5,33,17,16,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,603.44,603.44,567.94
2020-04-30,MG,Conceição das Alagoas,2,0,17,20,28172,3117306,16.5,33,17,16,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0571,0.0,0.0571,-0.0571,0.0,0.0,0.0,0.0,1171.38,0.0,603.44,603.44,567.94
2020-05-01,MG,Conceição das Alagoas,2,0,17,21,28172,3117306,16.5,33,17,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,603.44,603.44,567.94
2020-05-02,MG,Conceição das Alagoas,2,0,18,22,28172,3117306,16.5,33,18,15,0.0,0.0,0.286,0.0,0.286,-0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.38,0.0,638.93,638.93,532.44
2020-05-03,MG,Conceição das Alagoas,2,0,18,23,28172,3117306,16.5,33,18,15,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.38,0.0,638.93,638.93,532.44
2020-05-04,MG,Conceição das Alagoas,2,0,18,24,28172,3117306,16.5,33,18,15,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.38,0.0,638.93,638.93,532.44
2020-05-05,MG,Conceição das Alagoas,2,0,19,25,28172,3117306,16.5,33,19,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-06,MG,Conceição das Alagoas,2,0,18,26,28172,3117306,16.5,33,18,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.38,0.0,638.93,638.93,532.44
2020-05-07,MG,Conceição das Alagoas,2,0,18,27,28172,3117306,16.5,33,18,15,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,638.93,638.93,532.44
2020-05-08,MG,Conceição das Alagoas,2,0,18,28,28172,3117306,16.5,33,18,15,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.38,0.0,638.93,638.93,532.44
2020-05-09,MG,Conceição das Alagoas,2,0,18,29,28172,3117306,16.5,33,18,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,638.93,638.93,532.44
2020-05-10,MG,Conceição das Alagoas,2,0,19,30,28172,3117306,16.5,33,19,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-11,MG,Conceição das Alagoas,2,0,19,31,28172,3117306,16.5,33,19,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-12,MG,Conceição das Alagoas,2,0,19,32,28172,3117306,16.5,33,19,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-13,MG,Conceição das Alagoas,2,0,19,33,28172,3117306,16.5,33,19,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-14,MG,Conceição das Alagoas,2,0,19,34,28172,3117306,16.5,33,19,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-15,MG,Conceição das Alagoas,2,0,19,35,28172,3117306,16.5,33,19,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-16,MG,Conceição das Alagoas,2,0,19,36,28172,3117306,16.5,33,19,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-17,MG,Conceição das Alagoas,2,0,20,37,28172,3117306,16.5,33,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,709.92,709.92,461.45
2020-05-18,MG,Conceição das Alagoas,2,0,20,38,28172,3117306,16.5,33,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,709.92,709.92,461.45
2020-05-19,MG,Conceição das Alagoas,2,0,19,39,28172,3117306,16.5,33,19,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-20,MG,Conceição das Alagoas,2,0,19,40,28172,3117306,16.5,33,19,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-21,MG,Conceição das Alagoas,2,0,19,41,28172,3117306,16.5,33,19,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-22,MG,Conceição das Alagoas,2,0,19,42,28172,3117306,16.5,33,19,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0571,0.0,0.0571,-0.0571,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-23,MG,Conceição das Alagoas,2,0,19,43,28172,3117306,16.5,33,19,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,674.43,674.43,496.95
2020-05-24,MG,Conceição das Alagoas,2,0,20,44,28172,3117306,16.5,33,20,13,0.0,0.0,0.286,0.0,0.286,-0.2857,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,709.92,709.92,461.45
2020-05-25,MG,Conceição das Alagoas,2,0,20,45,28172,3117306,16.5,33,20,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,1171.38,0.0,709.92,709.92,461.45
2020-05-26,MG,Conceição das Alagoas,2,0,20,46,28172,3117306,16.5,33,20,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0039,0.0,1171.38,0.0,709.92,709.92,461.45
2020-05-27,MG,Conceição das Alagoas,2,0,21,47,28172,3117306,16.5,33,21,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0075,0.0,1171.38,0.0,745.42,745.42,425.95
2020-05-28,MG,Conceição das Alagoas,2,0,20,48,28172,3117306,16.5,33,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194,0.0075,0.0,1171.38,0.0,709.92,709.92,461.45
2020-05-29,MG,Conceição das Alagoas,2,0,20,49,28172,3117306,16.5,33,20,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0377,0.0075,0.0,1171.38,0.0,709.92,709.92,461.45
2020-05-30,MG,Conceição das Alagoas,2,0,20,50,28172,3117306,16.5,33,20,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0971,0.0377,0.0075,0.0,1171.38,0.0,709.92,709.92,461.45
2020-05-31,MG,Conceição das Alagoas,2,0,20,51,28172,3117306,16.5,33,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0286,-0.0286,0.189,0.0377,-0.0043,0.0,1171.38,0.0,709.92,709.92,461.45
2020-06-01,MG,Conceição das Alagoas,2,0,21,52,28172,3117306,16.5,33,21,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.486,0.314,0.0,0.314,0.171,0.189,0.0377,-0.0151,0.0,1171.38,0.0,745.42,745.42,425.95
2020-06-02,MG,Conceição das Alagoas,2,0,21,53,28172,3117306,16.5,33,21,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.943,0.629,0.0,0.629,0.314,0.189,-0.0023,-0.019,0.0,1171.38,0.0,745.42,745.42,425.95
2020-06-03,MG,Conceição das Alagoas,2,0,21,54,28172,3117306,16.5,33,21,12,0.143,2.43,1.71,0.0,1.71,0.714,0.943,0.657,0.0,0.657,0.286,0.189,-0.0377,-0.0114,0.0,1171.38,0.0,745.42,745.42,425.95
2020-06-04,MG,Conceição das Alagoas,2,0,21,55,28172,3117306,16.5,33,21,12,0.286,4.71,3.29,0.0,3.29,1.43,0.943,0.629,0.0,0.629,0.314,0.0857,-0.0571,-0.0075,0.0,1171.38,0.0,745.42,745.42,425.95
2020-06-05,MG,Conceição das Alagoas,2,0,21,56,28172,3117306,16.5,33,21,12,0.286,4.71,3.29,0.0,3.29,1.43,0.943,0.629,0.0,0.629,0.314,0.0,-0.0194,0.0011,0.0,1171.38,0.0,745.42,745.42,425.95
2020-06-06,MG,Conceição das Alagoas,3,0,32,57,28172,3117306,16.5,50,32,18,0.286,4.71,3.29,0.0,3.29,1.43,0.914,0.629,0.0,0.629,0.286,-0.0971,-0.0,0.0075,0.0,1774.81,0.0,1135.88,1135.88,638.93
2020-06-07,MG,Conceição das Alagoas,4,0,43,58,28172,3117306,16.5,66,43,23,0.286,4.71,3.29,0.0,3.29,1.43,0.943,0.657,0.0,0.657,0.286,0.0914,0.0034,0.0496,0.0,2342.75,0.0,1526.34,1526.34,816.41
2020-06-08,MG,Conceição das Alagoas,4,0,44,59,28172,3117306,16.5,66,44,22,0.429,7.0,4.86,0.0,4.86,2.14,0.457,0.371,0.0,0.371,0.0857,0.189,-0.0,0.0155,0.0,2342.75,0.0,1561.83,1561.83,780.92
2020-06-09,MG,Conceição das Alagoas,4,0,44,60,28172,3117306,16.5,66,44,22,0.571,9.43,6.57,0.0,6.57,2.86,1.4,1.09,0.0,1.09,0.314,0.103,0.191,0.0151,0.0,2342.75,0.0,1561.83,1561.83,780.92
2020-06-10,MG,Conceição das Alagoas,4,0,44,61,28172,3117306,16.5,66,44,22,0.429,7.0,5.14,0.0,5.14,1.86,1.89,1.43,0.0,1.43,0.457,-0.0,0.0583,0.0103,0.0,2342.75,0.0,1561.83,1561.83,780.92
2020-06-11,MG,Conceição das Alagoas,5,0,55,62,28172,3117306,16.5,82,55,27,0.714,11.71,8.71,0.0,8.71,3.0,1.43,1.11,0.0,1.11,0.314,0.857,0.0754,0.019,0.0,2910.69,0.0,1952.29,1952.29,958.4
2020-06-12,MG,Conceição das Alagoas,6,0,67,63,28172,3117306,16.5,99,67,32,0.857,14.14,10.43,0.0,10.43,3.71,0.943,0.771,0.0,0.771,0.171,0.383,0.0549,-0.1104,0.0,3514.13,0.0,2378.25,2378.25,1135.88
2020-06-13,MG,Conceição das Alagoas,6,0,68,64,28172,3117306,16.5,99,68,31,0.857,14.14,10.43,0.0,10.43,3.71,4.74,3.49,0.0,3.49,1.26,0.566,0.0949,-0.0272,0.0,3514.13,0.0,2413.74,2413.74,1100.38
2020-06-14,MG,Conceição das Alagoas,9,0,104,65,28172,3117306,16.5,148,104,44,0.857,14.14,10.43,0.0,10.43,3.71,3.31,2.31,0.0,2.31,1.0,0.377,-0.3611,-0.0603,0.0,5253.44,0.0,3691.61,3691.61,1561.83
2020-06-15,MG,Conceição das Alagoas,10,0,117,66,28172,3117306,16.5,165,117,48,1.86,30.71,22.57,0.0,22.57,8.14,4.71,3.31,0.0,3.31,1.4,0.474,-0.0777,0.0229,0.0,5856.88,0.0,4153.06,4153.06,1703.82
2020-06-16,MG,Conceição das Alagoas,10,0,117,67,28172,3117306,16.5,165,117,48,1.71,28.29,20.29,0.0,20.29,8.0,3.31,2.43,0.0,2.43,0.886,-0.9486,-0.2263,0.0146,0.0,5856.88,0.0,4153.06,4153.06,1703.82
2020-06-17,MG,Conceição das Alagoas,10,0,117,68,28172,3117306,16.5,165,117,48,2.29,37.71,27.0,0.0,27.0,10.71,3.31,2.51,0.0,2.51,0.8,-0.0057,0.169,0.223,0.0,5856.88,0.0,4153.06,4153.06,1703.82
2020-06-18,MG,Conceição das Alagoas,18,0,213,69,28172,3117306,16.5,297,213,84,1.86,30.71,22.57,0.0,22.57,8.14,0.0,0.0571,0.0,0.0571,-0.0571,-0.5657,0.168,0.0912,0.0,10542.38,0.0,7560.7,7560.7,2981.68
2020-06-19,MG,Conceição das Alagoas,18,0,209,70,28172,3117306,16.5,297,209,88,1.86,30.71,23.0,0.0,23.0,7.71,3.29,2.51,0.0,2.51,0.771,1.22,0.754,0.158,0.0,10542.38,0.0,7418.71,7418.71,3123.67
2020-06-20,MG,Conceição das Alagoas,22,0,257,71,28172,3117306,16.5,363,257,106,1.86,30.71,22.86,0.0,22.86,7.86,1.89,1.51,0.0,1.51,0.371,1.31,0.378,-0.0752,0.0,12885.13,0.0,9122.53,9122.53,3762.6
2020-06-21,MG,Conceição das Alagoas,22,0,262,72,28172,3117306,16.5,363,262,101,2.71,44.71,32.86,0.0,32.86,11.86,9.43,6.91,0.0,6.91,2.51,2.82,0.566,-0.0862,0.0,12885.13,0.0,9300.01,9300.01,3585.12
2020-06-22,MG,Conceição das Alagoas,23,0,278,73,28172,3117306,16.5,380,278,102,2.86,47.14,34.57,0.0,34.57,12.57,9.89,7.2,0.0,7.2,2.69,1.89,-0.2069,-0.3541,0.0,13488.57,0.0,9867.95,9867.95,3620.62
2020-06-23,MG,Conceição das Alagoas,23,0,277,74,28172,3117306,16.5,380,277,103,4.71,77.86,57.14,0.0,57.14,20.71,14.11,10.4,0.0286,10.43,3.69,2.26,-0.2629,-0.2336,0.0,13488.57,0.0,9832.46,9832.46,3656.11
2020-06-24,MG,Conceição das Alagoas,29,0,347,75,28172,3117306,16.5,478,347,131,4.86,80.14,59.0,0.0,59.0,21.14,12.71,9.66,0.0286,9.69,3.03,0.189,-1.016,-0.3129,0.0,16967.2,0.0,12317.19,12317.19,4650.01
2020-06-25,MG,Conceição das Alagoas,38,0,455,76,28172,3117306,16.5,627,455,172,6.14,101.29,74.86,0.143,75.0,26.29,13.2,10.2,0.0286,10.23,2.97,0.0,-0.7897,-0.0981,0.0,22256.14,0.0,16150.79,16150.79,6105.35
2020-06-26,MG,Conceição das Alagoas,51,0,609,77,28172,3117306,16.5,842,609,233,6.57,108.29,81.14,0.143,81.29,27.0,10.37,8.17,0.0286,8.2,2.17,-2.2571,-0.9989,-0.0528,0.0,29887.83,0.0,21617.21,21617.21,8270.62
2020-06-27,MG,Conceição das Alagoas,56,0,670,78,28172,3117306,16.5,924,670,254,6.86,113.14,85.57,0.143,85.71,27.43,9.89,7.77,0.0286,7.8,2.09,-2.0629,-0.6971,0.294,0.0,32798.52,0.0,23782.48,23782.48,9016.04
2020-06-28,MG,Conceição das Alagoas,65,1,786,79,28172,3117306,16.5,1072,787,285,7.86,129.71,98.0,0.143,98.14,31.57,2.83,2.74,0.0,2.74,0.0857,-2.7314,-0.5269,0.346,0.0013,38051.97,35.5,27900.04,27935.54,10116.43
2020-06-29,MG,Conceição das Alagoas,69,1,846,80,28172,3117306,16.5,1138,847,291,7.86,129.57,97.86,0.143,98.0,31.57,2.4,2.43,0.0,2.43,-0.0286,-3.2971,0.453,,0.0012,40394.72,35.5,30029.82,30065.31,10329.41
2020-06-30,MG,Conceição das Alagoas,71,1,876,81,28172,3117306,16.5,1172,877,295,7.0,115.43,88.57,0.143,88.71,26.71,-0.4571,0.486,-0.0286,0.457,-0.9143,-2.6343,0.938,,0.0011,41601.59,35.5,31094.7,31130.2,10471.39
2020-07-01,MG,Conceição das Alagoas,84,1,1033,82,28172,3117306,16.5,1386,1034,352,7.29,120.29,93.29,0.143,93.43,26.86,-6.1143,-3.4286,-0.0286,-3.4571,-2.6571,0.0057,,,0.001,49197.79,35.5,36667.61,36703.11,12494.68
2020-07-02,MG,Conceição das Alagoas,93,1,1140,83,28172,3117306,16.5,1534,1141,393,6.71,110.86,88.0,0.0,88.0,22.86,-3.2857,-1.4286,-0.0286,-1.4571,-1.8286,2.63,,,0.0009,54451.23,35.5,40465.71,40501.21,13950.02
2020-07-03,MG,Conceição das Alagoas,100,1,1229,84,28172,3117306,16.5,1650,1230,420,6.0,99.14,80.86,0.0,80.86,18.29,2.86,3.2,-0.0286,3.17,-0.3143,,,,0.0008,58568.79,35.5,43624.88,43660.37,14908.42
2020-07-04,MG,Conceição das Alagoas,107,1,1323,85,28172,3117306,16.5,1766,1324,442,6.86,113.14,90.71,0.0,90.71,22.43,15.54,13.06,-0.0286,13.03,2.51,,,,0.0008,62686.36,35.5,46961.52,46997.02,15689.34
2020-07-05,MG,Conceição das Alagoas,112,1,1402,86,28172,3117306,16.5,1848,1403,445,7.86,129.71,104.57,0.0,104.57,25.14,,,,,,,,,0.0007,65597.05,35.5,49765.72,49801.22,15795.83
2020-07-06,MG,Conceição das Alagoas,111,1,1412,87,28172,3117306,16.5,1832,1413,419,12.0,198.0,158.57,0.0,158.57,39.43,,,,,,,,,0.0007,65029.11,35.5,50120.69,50156.18,14872.92
2020-07-07,MG,Conceição das Alagoas,119,1,1511,88,28172,3117306,16.5,1964,1512,452,,,,,,,,,,,,,,,0.0007,69714.61,35.5,53634.81,53670.31,16044.3
2020-07-08,MG,Conceição das Alagoas,139,1,1765,89,28172,3117306,16.5,2294,1766,528,,,,,,,,,,,,,,,0.0006,81428.37,35.5,62650.86,62686.36,18742.01
2020-07-09,MG,Conceição das Alagoas,177,1,2250,90,28172,3117306,16.5,2920,2251,669,,,,,,,,,,,,,,,0.0004,103649.01,35.5,79866.53,79902.03,23746.98
