Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-13,PR,Corumbataí do Sul,2,0,12,1,3251,4106555,8.3,17,12,5,,,,,,,,,,,,,,,0.0,5229.16,0.0,3691.17,3691.17,1537.99
2020-06-14,PR,Corumbataí do Sul,2,0,12,2,3251,4106555,8.3,17,12,5,,,,,,,,,,,,,,,0.0,5229.16,0.0,3691.17,3691.17,1537.99
2020-06-15,PR,Corumbataí do Sul,2,0,12,3,3251,4106555,8.3,17,12,5,,,,,,,,,,,,,,,0.0,5229.16,0.0,3691.17,3691.17,1537.99
2020-06-16,PR,Corumbataí do Sul,4,0,23,4,3251,4106555,8.3,33,23,10,,,,,,,,,,,,,,,0.0,10150.72,0.0,7074.75,7074.75,3075.98
2020-06-17,PR,Corumbataí do Sul,4,0,23,5,3251,4106555,8.3,33,23,10,0.857,7.0,5.0,0.0,5.0,2.0,,,,,,,,,0.0,10150.72,0.0,7074.75,7074.75,3075.98
2020-06-18,PR,Corumbataí do Sul,7,0,42,6,3251,4106555,8.3,58,42,16,1.43,11.86,8.57,0.0,8.57,3.29,,,,,,,,,0.0,17840.66,0.0,12919.1,12919.1,4921.56
2020-06-19,PR,Corumbataí do Sul,7,0,41,7,3251,4106555,8.3,58,41,17,1.43,11.86,8.71,0.0,8.71,3.14,,,,,,,,,0.0,17840.66,0.0,12611.5,12611.5,5229.16
2020-06-20,PR,Corumbataí do Sul,8,0,47,8,3251,4106555,8.3,66,47,19,1.29,10.71,8.0,0.0,8.0,2.71,0.0286,0.0286,0.0,0.0286,0.0,,,,0.0,20301.45,0.0,14457.09,14457.09,5844.36
2020-06-21,PR,Corumbataí do Sul,12,0,72,9,3251,4106555,8.3,100,72,28,1.29,10.71,7.86,0.0,7.86,2.86,-0.9429,-0.6571,0.0,-0.6571,-0.2857,,,,0.0,30759.77,0.0,22147.03,22147.03,8612.73
2020-06-22,PR,Corumbataí do Sul,12,0,73,10,3251,4106555,8.3,100,73,27,0.857,7.14,5.14,0.0,5.14,2.0,-0.9429,-0.6857,0.0,-0.6857,-0.2571,,,,0.0,30759.77,0.0,22454.63,22454.63,8305.14
2020-06-23,PR,Corumbataí do Sul,13,0,79,11,3251,4106555,8.3,108,79,29,0.857,7.14,5.29,0.0,5.29,1.86,-1.6857,-1.2286,0.0,-1.2286,-0.4571,-0.1943,,,0.0,33220.55,0.0,24300.22,24300.22,8920.33
2020-06-24,PR,Corumbataí do Sul,13,0,78,12,3251,4106555,8.3,108,78,30,0.857,7.14,5.29,0.0,5.29,1.86,-1.6857,-1.2,0.0,-1.2,-0.4857,0.0457,,,0.0,33220.55,0.0,23992.62,23992.62,9227.93
2020-06-25,PR,Corumbataí do Sul,13,0,78,13,3251,4106555,8.3,108,78,30,0.286,2.29,1.86,0.0,1.86,0.429,-0.9429,-0.6286,0.0,-0.6286,-0.3143,0.28,,,0.0,33220.55,0.0,23992.62,23992.62,9227.93
2020-06-26,PR,Corumbataí do Sul,13,0,78,14,3251,4106555,8.3,108,78,30,0.286,2.29,1.86,0.0,1.86,0.429,-0.7143,-0.4571,0.0,-0.4571,-0.2571,0.623,0.134,,0.0,33220.55,0.0,23992.62,23992.62,9227.93
2020-06-27,PR,Corumbataí do Sul,14,0,84,15,3251,4106555,8.3,116,84,32,0.286,2.43,2.0,0.0,2.0,0.429,0.457,0.4,0.0,0.4,0.0571,0.629,0.0766,,0.0,35681.33,0.0,25838.2,25838.2,9843.13
2020-06-28,PR,Corumbataí do Sul,14,0,85,16,3251,4106555,8.3,116,85,31,0.429,3.57,3.0,0.0,3.0,0.571,1.43,1.11,0.0,1.11,0.314,0.474,-0.0651,,0.0,35681.33,0.0,26145.8,26145.8,9535.53
2020-06-29,PR,Corumbataí do Sul,14,0,86,17,3251,4106555,8.3,116,86,30,1.14,9.43,7.29,0.0,7.29,2.14,1.46,1.14,0.0,1.14,0.314,0.429,-0.1246,,0.0,35681.33,0.0,26453.4,26453.4,9227.93
