Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-31,SC,Cunhataí,1,0,4,1,1982,4204756,6.8,7,4,3,,,,,,,,,,,,,,,0.0,3531.79,0.0,2018.16,2018.16,1513.62
2020-06-01,SC,Cunhataí,1,0,4,2,1982,4204756,6.8,7,4,3,,,,,,,,,,,,,,,0.0,3531.79,0.0,2018.16,2018.16,1513.62
2020-06-02,SC,Cunhataí,1,0,4,3,1982,4204756,6.8,7,4,3,,,,,,,,,,,,,,,0.0,3531.79,0.0,2018.16,2018.16,1513.62
2020-06-03,SC,Cunhataí,1,0,4,4,1982,4204756,6.8,7,4,3,,,,,,,,,,,,,,,0.0,3531.79,0.0,2018.16,2018.16,1513.62
2020-06-04,SC,Cunhataí,6,0,26,5,1982,4204756,6.8,41,26,15,0.714,4.86,3.29,0.0,3.29,1.57,,,,,,,,,0.0,20686.18,0.0,13118.06,13118.06,7568.11
2020-06-05,SC,Cunhataí,6,0,26,6,1982,4204756,6.8,41,26,15,0.714,4.86,3.29,0.0,3.29,1.57,,,,,,,,,0.0,20686.18,0.0,13118.06,13118.06,7568.11
2020-06-06,SC,Cunhataí,6,0,26,7,1982,4204756,6.8,41,26,15,0.857,5.86,4.0,0.0,4.0,1.86,,,,,,,,,0.0,20686.18,0.0,13118.06,13118.06,7568.11
2020-06-07,SC,Cunhataí,6,0,27,8,1982,4204756,6.8,41,27,14,0.857,5.86,4.0,0.0,4.0,1.86,-0.7714,-0.4857,0.0,-0.4857,-0.2857,,,,0.0,20686.18,0.0,13622.6,13622.6,7063.57
2020-06-08,SC,Cunhataí,6,0,27,9,1982,4204756,6.8,41,27,14,0.143,1.0,0.857,0.0,0.857,0.143,-0.7714,-0.4571,0.0,-0.4571,-0.3143,,,,0.0,20686.18,0.0,13622.6,13622.6,7063.57
2020-06-09,SC,Cunhataí,7,0,32,10,1982,4204756,6.8,48,32,16,0.143,1.0,0.857,0.0,0.857,0.143,-0.9714,-0.6,0.0,-0.6,-0.3714,,,,0.0,24217.96,0.0,16145.31,16145.31,8072.65
2020-06-10,SC,Cunhataí,7,0,32,11,1982,4204756,6.8,48,32,16,0.143,1.0,1.0,0.0,1.0,0.0,-0.9714,-0.6,0.0,-0.6,-0.3714,0.114,,,0.0,24217.96,0.0,16145.31,16145.31,8072.65
2020-06-11,SC,Cunhataí,7,0,32,12,1982,4204756,6.8,48,32,16,0.143,1.0,1.0,0.0,1.0,0.0,-0.2,-0.1143,0.0,-0.1143,-0.0857,0.114,,,0.0,24217.96,0.0,16145.31,16145.31,8072.65
2020-06-12,SC,Cunhataí,7,0,32,13,1982,4204756,6.8,48,32,16,0.143,1.0,1.0,0.0,1.0,0.0,-0.2,-0.1143,0.0,-0.1143,-0.0857,0.154,,,0.0,24217.96,0.0,16145.31,16145.31,8072.65
2020-06-13,SC,Cunhataí,7,0,33,14,1982,4204756,6.8,48,33,15,0.0,0.0,0.286,0.0,0.286,-0.2857,-0.2,-0.1429,0.0,-0.1429,-0.0571,0.154,-0.0149,,0.0,24217.96,0.0,16649.85,16649.85,7568.11
2020-06-14,SC,Cunhataí,7,0,34,15,1982,4204756,6.8,48,34,14,0.0,0.0,0.286,0.0,0.286,-0.2857,-0.2,-0.1429,0.0,-0.1429,-0.0571,0.04,-0.0149,,0.0,24217.96,0.0,17154.39,17154.39,7063.57
2020-06-15,SC,Cunhataí,7,0,34,16,1982,4204756,6.8,48,34,14,0.0,0.0,0.286,0.0,0.286,-0.2857,-0.2,-0.1714,0.0,-0.1714,-0.0286,0.04,-0.0229,,0.0,24217.96,0.0,17154.39,17154.39,7063.57
2020-06-16,SC,Cunhataí,7,0,34,17,1982,4204756,6.8,48,34,14,0.0,0.0,0.286,0.0,0.286,-0.2857,0.0,-0.0286,0.0,-0.0286,0.0286,0.04,-0.0229,0.0014,0.0,24217.96,0.0,17154.39,17154.39,7063.57
2020-06-17,SC,Cunhataí,7,0,34,18,1982,4204756,6.8,48,34,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.04,-0.008,0.0014,0.0,24217.96,0.0,17154.39,17154.39,7063.57
2020-06-18,SC,Cunhataí,7,0,34,19,1982,4204756,6.8,48,34,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.04,-0.008,0.003,0.0,24217.96,0.0,17154.39,17154.39,7063.57
2020-06-19,SC,Cunhataí,7,0,34,20,1982,4204756,6.8,48,34,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,-0.008,0.003,0.0,24217.96,0.0,17154.39,17154.39,7063.57
2020-06-20,SC,Cunhataí,7,0,34,21,1982,4204756,6.8,48,34,14,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,-0.008,0.0016,0.0,24217.96,0.0,17154.39,17154.39,7063.57
2020-06-21,SC,Cunhataí,7,0,35,22,1982,4204756,6.8,48,35,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,-0.008,0.0016,0.0,24217.96,0.0,17658.93,17658.93,6559.03
2020-06-22,SC,Cunhataí,7,0,35,23,1982,4204756,6.8,48,35,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,24217.96,0.0,17658.93,17658.93,6559.03
2020-06-23,SC,Cunhataí,7,0,35,24,1982,4204756,6.8,48,35,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0016,0.0,24217.96,0.0,17658.93,17658.93,6559.03
2020-06-24,SC,Cunhataí,7,0,35,25,1982,4204756,6.8,48,35,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,24217.96,0.0,17658.93,17658.93,6559.03
2020-06-25,SC,Cunhataí,7,0,35,26,1982,4204756,6.8,48,35,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,17658.93,17658.93,6559.03
2020-06-26,SC,Cunhataí,7,0,35,27,1982,4204756,6.8,48,35,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,17658.93,17658.93,6559.03
2020-06-27,SC,Cunhataí,7,0,35,28,1982,4204756,6.8,48,35,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,17658.93,17658.93,6559.03
2020-06-28,SC,Cunhataí,7,0,35,29,1982,4204756,6.8,48,35,13,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,24217.96,0.0,17658.93,17658.93,6559.03
2020-06-29,SC,Cunhataí,7,0,36,30,1982,4204756,6.8,48,36,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,18163.47,18163.47,6054.49
2020-06-30,SC,Cunhataí,7,0,36,31,1982,4204756,6.8,48,36,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,18163.47,18163.47,6054.49
2020-07-01,SC,Cunhataí,7,0,36,32,1982,4204756,6.8,48,36,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,18163.47,18163.47,6054.49
2020-07-02,SC,Cunhataí,7,0,36,33,1982,4204756,6.8,48,36,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,18163.47,18163.47,6054.49
2020-07-03,SC,Cunhataí,7,0,36,34,1982,4204756,6.8,48,36,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,18163.47,18163.47,6054.49
2020-07-04,SC,Cunhataí,7,0,36,35,1982,4204756,6.8,48,36,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,18163.47,18163.47,6054.49
2020-07-05,SC,Cunhataí,7,0,36,36,1982,4204756,6.8,48,36,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,18163.47,18163.47,6054.49
2020-07-06,SC,Cunhataí,7,0,37,37,1982,4204756,6.8,48,37,11,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24217.96,0.0,18668.01,18668.01,5549.95
2020-07-07,SC,Cunhataí,7,0,37,38,1982,4204756,6.8,48,37,11,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,24217.96,0.0,18668.01,18668.01,5549.95
