Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-30,SP,Cássia dos Coqueiros,2,0,11,1,2548,3510906,9.7,19,11,8,,,,,,,,,,,,,,,0.0,7456.83,0.0,4317.11,4317.11,3139.72
2020-05-31,SP,Cássia dos Coqueiros,2,0,12,2,2548,3510906,9.7,19,12,7,,,,,,,,,,,,,,,0.0,7456.83,0.0,4709.58,4709.58,2747.25
2020-06-01,SP,Cássia dos Coqueiros,2,0,12,3,2548,3510906,9.7,19,12,7,,,,,,,,,,,,,,,0.0,7456.83,0.0,4709.58,4709.58,2747.25
2020-06-02,SP,Cássia dos Coqueiros,2,0,12,4,2548,3510906,9.7,19,12,7,,,,,,,,,,,,,,,0.0,7456.83,0.0,4709.58,4709.58,2747.25
2020-06-03,SP,Cássia dos Coqueiros,2,0,12,5,2548,3510906,9.7,19,12,7,0.143,1.43,1.14,0.0,1.14,0.286,,,,,,,,,0.0,7456.83,0.0,4709.58,4709.58,2747.25
2020-06-04,SP,Cássia dos Coqueiros,2,0,12,6,2548,3510906,9.7,19,12,7,0.143,1.43,1.0,0.0,1.0,0.429,,,,,,,,,0.0,7456.83,0.0,4709.58,4709.58,2747.25
2020-06-05,SP,Cássia dos Coqueiros,3,0,18,7,2548,3510906,9.7,29,18,11,0.143,1.43,1.0,0.0,1.0,0.429,,,,,,,,,0.0,11381.48,0.0,7064.36,7064.36,4317.11
2020-06-06,SP,Cássia dos Coqueiros,3,0,19,8,2548,3510906,9.7,29,19,10,0.143,1.43,1.0,0.0,1.0,0.429,0.829,0.543,0.0,0.543,0.286,,,,0.0,11381.48,0.0,7456.83,7456.83,3924.65
2020-06-07,SP,Cássia dos Coqueiros,3,0,19,9,2548,3510906,9.7,29,19,10,0.429,4.14,2.86,0.0,2.86,1.29,0.829,0.6,0.0,0.6,0.229,,,,0.0,11381.48,0.0,7456.83,7456.83,3924.65
2020-06-08,SP,Cássia dos Coqueiros,3,0,19,10,2548,3510906,9.7,29,19,10,0.571,5.57,3.86,0.0,3.86,1.71,1.11,0.8,0.0,0.8,0.314,,,,0.0,11381.48,0.0,7456.83,7456.83,3924.65
2020-06-09,SP,Cássia dos Coqueiros,3,0,19,11,2548,3510906,9.7,29,19,10,0.571,5.57,4.0,0.0,4.0,1.57,1.11,0.829,0.0,0.829,0.286,-0.1086,,,0.0,11381.48,0.0,7456.83,7456.83,3924.65
2020-06-10,SP,Cássia dos Coqueiros,5,0,32,12,2548,3510906,9.7,48,32,16,0.714,7.0,5.0,0.0,5.0,2.0,0.571,0.486,0.0,0.486,0.0857,-0.2171,,,0.0,18838.3,0.0,12558.87,12558.87,6279.43
2020-06-11,SP,Cássia dos Coqueiros,6,0,39,13,2548,3510906,9.7,58,39,19,0.714,7.0,5.14,0.0,5.14,1.86,0.286,0.257,0.0,0.257,0.0286,-0.3886,,,0.0,22762.95,0.0,15306.12,15306.12,7456.83
2020-06-12,SP,Cássia dos Coqueiros,7,0,46,14,2548,3510906,9.7,68,46,22,0.714,7.0,5.29,0.0,5.29,1.71,-0.2571,-0.1429,0.0,-0.1429,-0.1143,-0.4457,-0.0457,,0.0,26687.6,0.0,18053.38,18053.38,8634.22
2020-06-13,SP,Cássia dos Coqueiros,8,0,54,15,2548,3510906,9.7,78,54,24,0.714,7.0,5.14,0.0,5.14,1.86,-0.8286,-0.5143,0.0,-0.5143,-0.3143,-0.3943,0.0194,,0.0,30612.24,0.0,21193.09,21193.09,9419.15
2020-06-14,SP,Cássia dos Coqueiros,8,0,55,16,2548,3510906,9.7,78,55,23,0.429,4.29,3.29,0.0,3.29,1.0,-1.1143,-0.7714,0.0,-0.7714,-0.3429,-0.3371,0.088,,0.0,30612.24,0.0,21585.56,21585.56,9026.69
