Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-27,RS,Derrubadas,1,0,4,1,2833,4306320,8.4,8,4,4,,,,,,,,,,,,,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-04-28,RS,Derrubadas,1,0,4,2,2833,4306320,8.4,8,4,4,,,,,,,,,,,,,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-04-29,RS,Derrubadas,1,0,4,3,2833,4306320,8.4,8,4,4,,,,,,,,,,,,,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-04-30,RS,Derrubadas,1,0,4,4,2833,4306320,8.4,8,4,4,,,,,,,,,,,,,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-05-01,RS,Derrubadas,1,0,4,5,2833,4306320,8.4,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-05-02,RS,Derrubadas,1,0,4,6,2833,4306320,8.4,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-05-03,RS,Derrubadas,1,0,4,7,2833,4306320,8.4,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-05-04,RS,Derrubadas,1,0,4,8,2833,4306320,8.4,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-05-05,RS,Derrubadas,1,0,4,9,2833,4306320,8.4,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0286,-0.0286,,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-05-06,RS,Derrubadas,1,0,4,10,2833,4306320,8.4,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0286,-0.0286,,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-05-07,RS,Derrubadas,1,0,4,11,2833,4306320,8.4,8,4,4,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-05-08,RS,Derrubadas,1,0,4,12,2833,4306320,8.4,8,4,4,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-05-09,RS,Derrubadas,1,0,4,13,2833,4306320,8.4,8,4,4,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.0,,,0.0,2823.86,0.0,1411.93,1411.93,1411.93
2020-05-10,RS,Derrubadas,1,0,5,14,2833,4306320,8.4,8,5,3,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-11,RS,Derrubadas,1,0,5,15,2833,4306320,8.4,8,5,3,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-12,RS,Derrubadas,1,0,5,16,2833,4306320,8.4,8,5,3,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-13,RS,Derrubadas,1,0,5,17,2833,4306320,8.4,8,5,3,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-14,RS,Derrubadas,1,0,5,18,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-15,RS,Derrubadas,1,0,5,19,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-16,RS,Derrubadas,1,0,5,20,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-17,RS,Derrubadas,1,0,5,21,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-18,RS,Derrubadas,1,0,5,22,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-19,RS,Derrubadas,1,0,5,23,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-20,RS,Derrubadas,1,0,5,24,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-21,RS,Derrubadas,1,0,5,25,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-22,RS,Derrubadas,1,0,5,26,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-23,RS,Derrubadas,1,0,5,27,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-24,RS,Derrubadas,1,0,5,28,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-25,RS,Derrubadas,1,0,5,29,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-26,RS,Derrubadas,1,0,5,30,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-27,RS,Derrubadas,1,0,5,31,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-28,RS,Derrubadas,1,0,5,32,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-29,RS,Derrubadas,1,0,5,33,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-30,RS,Derrubadas,1,0,5,34,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-05-31,RS,Derrubadas,1,0,5,35,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-06-01,RS,Derrubadas,1,0,5,36,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-06-02,RS,Derrubadas,1,0,5,37,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-06-03,RS,Derrubadas,1,0,5,38,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-06-04,RS,Derrubadas,1,0,5,39,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-06-05,RS,Derrubadas,1,0,5,40,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-06-06,RS,Derrubadas,1,0,5,41,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-06-07,RS,Derrubadas,1,0,5,42,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
2020-06-08,RS,Derrubadas,1,0,5,43,2833,4306320,8.4,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286,0.0,0.0286,-0.0286,0.0,0.0,0.0,0.0,2823.86,0.0,1764.91,1764.91,1058.95
