Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-04,TO,Dianópolis,1,0,3,22360,1707009,8.3,8,3,5,,,,,,,,,,,,,,,0.0,0.0,357.78,0.0,134.17,134.17,223.61
2020-04-05,TO,Dianópolis,1,0,3,22360,1707009,8.3,8,3,5,,,,,,,,,,,,,,,0.0,0.0,357.78,0.0,134.17,134.17,223.61
2020-04-06,TO,Dianópolis,1,0,3,22360,1707009,8.3,8,3,5,,,,,,,,,,,,,,,0.0,0.0,357.78,0.0,134.17,134.17,223.61
2020-04-07,TO,Dianópolis,1,0,3,22360,1707009,8.3,8,3,5,,,,,,,,,,,,,,,0.0,0.0,357.78,0.0,134.17,134.17,223.61
2020-04-08,TO,Dianópolis,1,0,3,22360,1707009,8.3,8,3,5,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,357.78,0.0,134.17,134.17,223.61
2020-04-09,TO,Dianópolis,1,0,3,22360,1707009,8.3,8,3,5,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,357.78,0.0,134.17,134.17,223.61
2020-04-10,TO,Dianópolis,1,0,3,22360,1707009,8.3,8,3,5,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,357.78,0.0,134.17,134.17,223.61
2020-04-11,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.143,,,,,0.0,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-12,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.143,,,,,0.0,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-13,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.143,,,,,-0.0286,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-14,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.143,,,,,-0.0286,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-15,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-16,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-17,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-18,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-19,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-20,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-21,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-22,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-23,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-24,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-25,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-26,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-27,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
2020-04-28,TO,Dianópolis,1,0,4,22360,1707009,8.3,8,4,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,357.78,0.0,178.89,178.89,178.89
