Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-29,MG,Diogo de Vasconcelos,1,0,8,1,3840,3121704,16.5,16,8,8,,,,,,,,,,,,,,,0.0,0.0,4166.67,0.0,2083.33,2083.33,2083.33
2020-04-30,MG,Diogo de Vasconcelos,1,0,8,2,3840,3121704,16.5,16,8,8,,,,,,,,,,,,,,,0.0,0.0,4166.67,0.0,2083.33,2083.33,2083.33
2020-05-01,MG,Diogo de Vasconcelos,0,0,0,3,3840,3121704,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-02,MG,Diogo de Vasconcelos,0,0,0,4,3840,3121704,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-03,MG,Diogo de Vasconcelos,0,0,0,5,3840,3121704,16.5,0,0,0,-0.1429,-2.2857,-1.1429,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-04,MG,Diogo de Vasconcelos,0,0,0,6,3840,3121704,16.5,0,0,0,-0.1429,-2.2857,-1.1429,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-05,MG,Diogo de Vasconcelos,0,0,0,7,3840,3121704,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-06,MG,Diogo de Vasconcelos,0,0,0,8,3840,3121704,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-07,MG,Diogo de Vasconcelos,0,0,0,9,3840,3121704,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-08,MG,Diogo de Vasconcelos,0,0,0,10,3840,3121704,16.5,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
