Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-20,SP,Elias Fausto,1,0,4,1,17772,18115,3514908,7.2,7,4,3,,,,,,,,,,,,,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-04-21,SP,Elias Fausto,1,0,4,2,17772,18115,3514908,7.2,7,4,3,,,,,,,,,,,,,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-04-22,SP,Elias Fausto,1,0,4,3,17772,18115,3514908,7.2,7,4,3,,,,,,,,,,,,,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-04-23,SP,Elias Fausto,1,0,4,4,17772,18115,3514908,7.2,7,4,3,,,,,,,,,,,,,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-04-24,SP,Elias Fausto,1,0,4,5,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-04-25,SP,Elias Fausto,1,0,4,6,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-04-26,SP,Elias Fausto,1,0,4,7,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-04-27,SP,Elias Fausto,1,0,4,8,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-04-28,SP,Elias Fausto,1,0,4,9,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-04-29,SP,Elias Fausto,1,0,4,10,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-04-30,SP,Elias Fausto,1,0,4,11,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-01,SP,Elias Fausto,1,0,4,12,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-02,SP,Elias Fausto,1,0,4,13,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-03,SP,Elias Fausto,1,0,4,14,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-04,SP,Elias Fausto,1,0,4,15,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171,,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-05,SP,Elias Fausto,1,0,4,16,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0251,,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-06,SP,Elias Fausto,1,0,4,17,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0857,0.0251,-0.0014,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-07,SP,Elias Fausto,1,0,4,18,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.114,0.0286,0.143,0.0571,0.126,0.0251,-0.0087,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-08,SP,Elias Fausto,1,0,4,19,17772,18115,3514908,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.429,0.257,0.0286,0.286,0.143,0.126,0.0011,-0.0167,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-09,SP,Elias Fausto,1,0,4,20,17772,18115,3514908,7.2,7,4,3,0.143,1.0,0.571,0.143,0.714,0.286,0.629,0.371,0.0286,0.4,0.229,0.126,-0.0263,-0.0185,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-10,SP,Elias Fausto,1,0,4,21,17772,18115,3514908,7.2,7,4,3,0.286,2.14,1.29,0.143,1.43,0.714,0.629,0.343,0.0286,0.371,0.257,0.0457,-0.0583,-0.0201,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-11,SP,Elias Fausto,1,0,4,22,17772,18115,3514908,7.2,7,4,3,0.429,3.14,1.86,0.143,2.0,1.14,0.629,0.371,0.0286,0.4,0.229,-0.0457,-0.0674,-0.0105,0.0,386.42,0.0,220.81,220.81,165.61
2020-05-12,SP,Elias Fausto,2,1,8,23,17772,18115,3514908,7.2,14,9,5,0.429,3.14,1.71,0.143,1.86,1.29,0.429,0.257,0.0,0.257,0.171,-0.1657,-0.0754,0.0005,0.111,772.84,55.2,441.62,496.83,276.01
2020-05-13,SP,Elias Fausto,3,1,13,24,17772,18115,3514908,7.2,22,14,8,0.429,3.14,1.86,0.143,2.0,1.14,0.2,0.114,0.0,0.114,0.0857,-0.2114,-0.0514,0.0165,0.0714,1214.46,55.2,717.64,772.84,441.62
2020-05-14,SP,Elias Fausto,4,1,17,25,17772,18115,3514908,7.2,29,18,11,0.429,3.14,1.86,0.143,2.0,1.14,-0.2,-0.1143,-0.0286,-0.1429,-0.0571,-0.2514,-0.024,0.0238,0.0556,1600.88,55.2,938.45,993.65,607.23
2020-05-15,SP,Elias Fausto,4,1,16,26,17772,18115,3514908,7.2,29,17,12,0.429,3.14,1.86,0.143,2.0,1.14,-0.4286,-0.2286,-0.0286,-0.2571,-0.1714,-0.2114,0.024,0.0302,0.0588,1600.88,55.2,883.25,938.45,662.43
2020-05-16,SP,Elias Fausto,4,1,17,27,17772,18115,3514908,7.2,29,18,11,0.286,2.14,1.29,0.0,1.29,0.857,-0.6286,-0.3714,-0.0286,-0.4,-0.2286,-0.1657,0.0514,0.0238,0.0556,1600.88,55.2,938.45,993.65,607.23
