Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-12,SP,Emilianópolis,1,0,4,1,3214,3259,3515129,7.2,7,4,3,,,,,,,,,,,,,,,0.0,2147.9,0.0,1227.37,1227.37,920.53
2020-05-13,SP,Emilianópolis,1,0,4,2,3214,3259,3515129,7.2,7,4,3,,,,,,,,,,,,,,,0.0,2147.9,0.0,1227.37,1227.37,920.53
2020-05-14,SP,Emilianópolis,1,0,4,3,3214,3259,3515129,7.2,7,4,3,,,,,,,,,,,,,,,0.0,2147.9,0.0,1227.37,1227.37,920.53
2020-05-15,SP,Emilianópolis,4,0,16,4,3214,3259,3515129,7.2,29,16,13,,,,,,,,,,,,,,,0.0,8898.44,0.0,4909.48,4909.48,3988.95
2020-05-16,SP,Emilianópolis,4,0,17,5,3214,3259,3515129,7.2,29,17,12,0.429,3.14,1.86,0.0,1.86,1.29,,,,,,,,,0.0,8898.44,0.0,5216.32,5216.32,3682.11
2020-05-17,SP,Emilianópolis,4,0,17,6,3214,3259,3515129,7.2,29,17,12,0.429,3.14,1.86,0.0,1.86,1.29,,,,,,,,,0.0,8898.44,0.0,5216.32,5216.32,3682.11
2020-05-18,SP,Emilianópolis,4,0,17,7,3214,3259,3515129,7.2,29,17,12,0.429,3.14,1.86,0.0,1.86,1.29,,,,,,,,,0.0,8898.44,0.0,5216.32,5216.32,3682.11
2020-05-19,SP,Emilianópolis,4,0,17,8,3214,3259,3515129,7.2,29,17,12,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.6286,-0.3714,0.0,-0.3714,-0.2571,,,,0.0,8898.44,0.0,5216.32,5216.32,3682.11
2020-05-20,SP,Emilianópolis,4,0,17,9,3214,3259,3515129,7.2,29,17,12,0.0,0.0,0.0,0.0,0.0,0.0,-0.6286,-0.3429,0.0,-0.3429,-0.2857,,,,0.0,8898.44,0.0,5216.32,5216.32,3682.11
2020-05-21,SP,Emilianópolis,4,0,17,10,3214,3259,3515129,7.2,29,17,12,0.0,0.0,0.0,0.0,0.0,0.0,-0.6286,-0.3429,0.0,-0.3429,-0.2857,,,,0.0,8898.44,0.0,5216.32,5216.32,3682.11
2020-05-22,SP,Emilianópolis,4,0,17,11,3214,3259,3515129,7.2,29,17,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.126,,,0.0,8898.44,0.0,5216.32,5216.32,3682.11
2020-05-23,SP,Emilianópolis,4,0,17,12,3214,3259,3515129,7.2,29,17,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.126,,,0.0,8898.44,0.0,5216.32,5216.32,3682.11
2020-05-24,SP,Emilianópolis,4,0,17,13,3214,3259,3515129,7.2,29,17,12,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,0.126,,,0.0,8898.44,0.0,5216.32,5216.32,3682.11
2020-05-25,SP,Emilianópolis,4,0,18,14,3214,3259,3515129,7.2,29,18,11,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,-0.0251,,0.0,8898.44,0.0,5523.17,5523.17,3375.27
2020-05-26,SP,Emilianópolis,4,0,18,15,3214,3259,3515129,7.2,29,18,11,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,0.0,-0.0251,,0.0,8898.44,0.0,5523.17,5523.17,3375.27
2020-05-27,SP,Emilianópolis,4,0,18,16,3214,3259,3515129,7.2,29,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,-0.0251,,0.0,8898.44,0.0,5523.17,5523.17,3375.27
2020-05-28,SP,Emilianópolis,4,0,18,17,3214,3259,3515129,7.2,29,18,11,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.005,0.0,8898.44,0.0,5523.17,5523.17,3375.27
2020-05-29,SP,Emilianópolis,4,0,18,18,3214,3259,3515129,7.2,29,18,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,0.0,0.005,0.0,8898.44,0.0,5523.17,5523.17,3375.27
2020-05-30,SP,Emilianópolis,4,0,17,19,3214,3259,3515129,7.2,29,17,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,8898.44,0.0,5216.32,5216.32,3682.11
