Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-13,PR,Engenheiro Beltrão,1,0,5,1,14140,4107504,6.8,7,5,2,,,,,,,,,,,,,,,0.0,495.05,0.0,353.61,353.61,141.44
2020-06-14,PR,Engenheiro Beltrão,1,0,5,2,14140,4107504,6.8,7,5,2,,,,,,,,,,,,,,,0.0,495.05,0.0,353.61,353.61,141.44
2020-06-15,PR,Engenheiro Beltrão,1,0,5,3,14140,4107504,6.8,7,5,2,,,,,,,,,,,,,,,0.0,495.05,0.0,353.61,353.61,141.44
2020-06-16,PR,Engenheiro Beltrão,1,0,5,4,14140,4107504,6.8,7,5,2,,,,,,,,,,,,,,,0.0,495.05,0.0,353.61,353.61,141.44
2020-06-17,PR,Engenheiro Beltrão,1,0,5,5,14140,4107504,6.8,7,5,2,0.143,1.0,0.714,0.0,0.714,0.286,,,,,,,,,0.0,495.05,0.0,353.61,353.61,141.44
2020-06-18,PR,Engenheiro Beltrão,2,0,10,6,14140,4107504,6.8,14,10,4,0.286,1.86,1.29,0.0,1.29,0.571,,,,,,,,,0.0,990.1,0.0,707.21,707.21,282.89
2020-06-19,PR,Engenheiro Beltrão,2,0,10,7,14140,4107504,6.8,14,10,4,0.286,1.86,1.43,0.0,1.43,0.429,,,,,,,,,0.0,990.1,0.0,707.21,707.21,282.89
2020-06-20,PR,Engenheiro Beltrão,2,0,10,8,14140,4107504,6.8,14,10,4,0.429,2.86,2.14,0.0,2.14,0.714,0.171,0.143,0.0,0.143,0.0286,,,,0.0,990.1,0.0,707.21,707.21,282.89
2020-06-21,PR,Engenheiro Beltrão,3,0,14,9,14140,4107504,6.8,20,14,6,0.429,2.86,2.14,0.0,2.14,0.714,0.0,0.0,0.0,0.0,0.0,,,,0.0,1414.43,0.0,990.1,990.1,424.33
2020-06-22,PR,Engenheiro Beltrão,3,0,15,10,14140,4107504,6.8,20,15,5,0.286,1.86,1.43,0.0,1.43,0.429,0.0,0.0,0.0,0.0,0.0,,,,0.0,1414.43,0.0,1060.82,1060.82,353.61
2020-06-23,PR,Engenheiro Beltrão,4,0,20,11,14140,4107504,6.8,27,20,7,0.286,1.86,1.29,0.0,1.29,0.571,-0.3714,-0.2571,0.0,-0.2571,-0.1143,-0.0286,,,0.0,1909.48,0.0,1414.43,1414.43,495.05
2020-06-24,PR,Engenheiro Beltrão,4,0,20,12,14140,4107504,6.8,27,20,7,0.286,1.86,1.43,0.0,1.43,0.429,0.0286,0.0,0.0,0.0,0.0286,0.0057,,,0.0,1909.48,0.0,1414.43,1414.43,495.05
2020-06-25,PR,Engenheiro Beltrão,4,0,20,13,14140,4107504,6.8,27,20,7,0.143,1.0,0.857,0.0,0.857,0.143,0.0286,0.0286,0.0,0.0286,0.0,0.0057,,,0.0,1909.48,0.0,1414.43,1414.43,495.05
2020-06-26,PR,Engenheiro Beltrão,4,0,19,14,14140,4107504,6.8,27,19,8,0.429,3.0,2.14,0.0,2.14,0.857,0.0286,0.0571,0.0,0.0571,-0.0286,0.114,0.0046,,0.0,1909.48,0.0,1343.71,1343.71,565.77
2020-06-27,PR,Engenheiro Beltrão,4,0,20,15,14140,4107504,6.8,27,20,7,0.286,2.0,1.57,0.0,1.57,0.429,0.0286,0.0,0.0,0.0,0.0286,-0.0457,-0.0103,,0.0,1909.48,0.0,1414.43,1414.43,495.05
2020-06-28,PR,Engenheiro Beltrão,4,0,20,16,14140,4107504,6.8,27,20,7,0.286,2.0,1.57,0.0,1.57,0.429,0.2,0.143,0.0,0.143,0.0571,-0.0057,0.0046,,0.0,1909.48,0.0,1414.43,1414.43,495.05
2020-06-29,PR,Engenheiro Beltrão,6,0,30,17,14140,4107504,6.8,41,30,11,0.286,2.0,1.43,0.0,1.43,0.571,-0.2,-0.1143,0.0,-0.1143,-0.0857,-0.0457,-0.024,0.0085,0.0,2899.58,0.0,2121.64,2121.64,777.93
2020-06-30,PR,Engenheiro Beltrão,6,0,31,18,14140,4107504,6.8,41,31,10,0.286,2.0,1.57,0.0,1.57,0.429,0.0,0.0,0.0,0.0,0.0,0.0286,0.032,0.0162,0.0,2899.58,0.0,2192.36,2192.36,707.21
2020-07-01,PR,Engenheiro Beltrão,6,0,31,19,14140,4107504,6.8,41,31,10,0.286,2.0,1.57,0.0,1.57,0.429,-0.2,-0.1143,0.0,-0.1143,-0.0857,-0.0057,0.0469,0.0105,0.0,2899.58,0.0,2192.36,2192.36,707.21
2020-07-02,PR,Engenheiro Beltrão,6,0,30,20,14140,4107504,6.8,41,30,11,0.286,2.0,1.57,0.0,1.57,0.429,0.171,0.171,0.0,0.171,0.0,0.114,0.0709,0.016,0.0,2899.58,0.0,2121.64,2121.64,777.93
2020-07-03,PR,Engenheiro Beltrão,6,0,30,21,14140,4107504,6.8,41,30,11,0.143,1.0,1.0,0.0,1.0,0.0,0.171,0.143,0.0,0.143,0.0286,0.229,0.0571,-0.003,0.0,2899.58,0.0,2121.64,2121.64,777.93
2020-07-04,PR,Engenheiro Beltrão,6,0,31,22,14140,4107504,6.8,41,31,10,0.429,2.86,2.29,0.0,2.29,0.571,0.371,0.314,0.0,0.314,0.0571,0.309,0.056,-0.0229,0.0,2899.58,0.0,2192.36,2192.36,707.21
