Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-26,PB,Esperança,1,0,4,1,33337,2506004,6.8,7,4,3,,,,,,,,,,,,,,,0.0,209.98,0.0,119.99,119.99,89.99
2020-04-27,PB,Esperança,2,0,7,2,33337,2506004,6.8,14,7,7,,,,,,,,,,,,,,,0.0,419.95,0.0,209.98,209.98,209.98
2020-04-28,PB,Esperança,2,0,7,3,33337,2506004,6.8,14,7,7,,,,,,,,,,,,,,,0.0,419.95,0.0,209.98,209.98,209.98
2020-04-29,PB,Esperança,2,0,7,4,33337,2506004,6.8,14,7,7,,,,,,,,,,,,,,,0.0,419.95,0.0,209.98,209.98,209.98
2020-04-30,PB,Esperança,2,0,7,5,33337,2506004,6.8,14,7,7,0.143,1.0,0.571,0.0,0.571,0.429,,,,,,,,,0.0,419.95,0.0,209.98,209.98,209.98
2020-05-01,PB,Esperança,2,0,7,6,33337,2506004,6.8,14,7,7,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,419.95,0.0,209.98,209.98,209.98
2020-05-02,PB,Esperança,2,0,8,7,33337,2506004,6.8,14,8,6,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,419.95,0.0,239.97,239.97,179.98
2020-05-03,PB,Esperança,2,0,8,8,33337,2506004,6.8,14,8,6,0.0,0.0,0.143,0.0,0.143,-0.1429,0.171,0.114,0.0,0.114,0.0571,,,,0.0,419.95,0.0,239.97,239.97,179.98
2020-05-04,PB,Esperança,2,0,8,9,33337,2506004,6.8,14,8,6,0.286,1.86,1.14,0.0,1.14,0.714,0.371,0.171,0.0,0.171,0.2,,,,0.0,419.95,0.0,239.97,239.97,179.98
2020-05-05,PB,Esperança,2,0,8,10,33337,2506004,6.8,14,8,6,0.286,1.86,1.14,0.0,1.14,0.714,0.371,0.171,0.0,0.171,0.2,,,,0.0,419.95,0.0,239.97,239.97,179.98
2020-05-06,PB,Esperança,2,0,8,11,33337,2506004,6.8,14,8,6,0.286,1.86,1.0,0.0,1.0,0.857,0.371,0.2,0.0,0.2,0.171,0.0457,,,0.0,419.95,0.0,239.97,239.97,179.98
2020-05-07,PB,Esperança,4,0,15,12,33337,2506004,6.8,27,15,12,0.286,1.86,1.0,0.0,1.0,0.857,0.0,0.0,0.0,0.0,0.0,-0.0686,,,0.0,809.91,0.0,449.95,449.95,359.96
2020-05-08,PB,Esperança,4,0,15,13,33337,2506004,6.8,27,15,12,0.286,1.86,1.14,0.0,1.14,0.714,0.4,0.229,0.0,0.229,0.171,0.0457,,,0.0,809.91,0.0,449.95,449.95,359.96
2020-05-09,PB,Esperança,4,0,15,14,33337,2506004,6.8,27,15,12,0.286,1.86,1.14,0.0,1.14,0.714,0.0286,0.0571,0.0,0.0571,-0.0286,0.126,0.0137,,0.0,809.91,0.0,449.95,449.95,359.96
2020-05-10,PB,Esperança,4,0,15,15,33337,2506004,6.8,27,15,12,0.571,3.86,2.29,0.0,2.29,1.57,0.6,0.371,0.0,0.371,0.229,0.2,0.0663,,0.0,809.91,0.0,449.95,449.95,359.96
2020-05-11,PB,Esperança,4,0,16,16,33337,2506004,6.8,27,16,11,0.286,2.0,1.29,0.0,1.29,0.714,1.0,0.571,0.0,0.571,0.429,0.114,0.0206,,0.0,809.91,0.0,479.95,479.95,329.96
2020-05-12,PB,Esperança,4,0,16,17,33337,2506004,6.8,27,16,11,0.714,4.86,2.86,0.0,2.86,2.0,1.0,0.6,0.0,0.6,0.4,0.263,-0.0274,0.016,0.0,809.91,0.0,479.95,479.95,329.96
2020-05-13,PB,Esperança,6,0,24,18,33337,2506004,6.8,41,24,17,1.0,6.86,4.0,0.0,4.0,2.86,0.971,0.571,0.0,0.571,0.4,0.149,0.0206,-0.0034,0.0,1229.86,0.0,719.92,719.92,509.94
2020-05-14,PB,Esperança,6,0,24,19,33337,2506004,6.8,41,24,17,1.0,6.86,4.14,0.0,4.14,2.71,1.34,0.771,0.0,0.771,0.571,-0.0114,0.0937,0.0027,0.0,1229.86,0.0,719.92,719.92,509.94
2020-05-15,PB,Esperança,9,0,35,20,33337,2506004,6.8,61,35,26,1.29,8.71,5.14,0.0,5.14,3.57,1.34,0.771,0.0,0.771,0.571,0.303,0.0491,0.0313,0.0,1829.8,0.0,1049.88,1049.88,779.91
2020-05-16,PB,Esperança,11,0,43,21,33337,2506004,6.8,75,43,32,1.29,8.71,5.14,0.0,5.14,3.57,0.943,0.543,0.0,0.543,0.4,0.583,0.0343,-0.0238,0.0,2249.75,0.0,1289.86,1289.86,959.89
2020-05-17,PB,Esperança,11,0,44,22,33337,2506004,6.8,75,44,31,1.71,11.57,6.71,0.0,6.71,4.86,2.51,1.43,0.0,1.43,1.09,0.509,0.129,-0.0683,0.0,2249.75,0.0,1319.85,1319.85,929.9
2020-05-18,PB,Esperança,13,0,52,23,33337,2506004,6.8,88,52,36,1.71,11.57,6.71,0.0,6.71,4.86,3.89,2.31,0.0,2.31,1.57,0.32,-0.0983,-0.0658,0.0,2639.71,0.0,1559.83,1559.83,1079.88
2020-05-19,PB,Esperança,13,0,52,24,33337,2506004,6.8,88,52,36,2.86,19.43,11.29,0.0,11.29,8.14,3.89,2.34,0.0,2.34,1.54,0.634,-0.248,-0.0619,0.0,2639.71,0.0,1559.83,1559.83,1079.88
2020-05-20,PB,Esperança,18,0,71,25,33337,2506004,6.8,122,71,51,4.14,28.14,16.71,0.0,16.71,11.43,2.94,1.94,0.0,1.94,1.0,-0.1886,-0.28,-0.1122,0.0,3659.6,0.0,2129.77,2129.77,1529.83
2020-05-21,PB,Esperança,18,0,71,26,33337,2506004,6.8,122,71,51,4.14,28.14,16.86,0.0,16.86,11.29,4.11,2.71,0.0,2.71,1.4,-0.6571,-0.2754,-0.0041,0.0,3659.6,0.0,2129.77,2129.77,1529.83
2020-05-22,PB,Esperança,29,0,114,27,33337,2506004,6.8,197,114,83,3.86,26.29,16.43,0.0,16.43,9.86,1.57,1.26,0.0,1.26,0.314,-0.8914,-0.432,0.0398,0.0,5909.35,0.0,3419.62,3419.62,2489.73
2020-05-23,PB,Esperança,40,0,160,28,33337,2506004,6.8,272,160,112,4.71,32.14,20.29,0.0,20.29,11.86,0.6,0.6,0.0,0.6,0.0,-1.0571,-0.1189,0.0837,0.0,8159.1,0.0,4799.47,4799.47,3359.63
2020-05-24,PB,Esperança,40,0,162,29,33337,2506004,6.8,272,162,110,4.0,27.29,17.57,0.0,17.57,9.71,-0.5714,-0.1143,0.0,-0.1143,-0.4571,-1.5257,-0.0491,0.122,0.0,8159.1,0.0,4859.47,4859.47,3299.64
2020-05-25,PB,Esperança,40,0,167,30,33337,2506004,6.8,272,167,105,4.57,31.14,19.71,0.0,19.71,11.43,-2.3429,-1.4286,0.0,-1.4286,-0.9143,-0.7829,0.138,0.21,0.0,8159.1,0.0,5009.45,5009.45,3149.65
2020-05-26,PB,Esperança,46,0,194,31,33337,2506004,6.8,313,194,119,3.71,25.29,16.29,0.0,16.29,9.0,-3.5143,-2.0857,0.0,-2.0857,-1.4286,-0.9029,0.336,0.128,0.0,9388.97,0.0,5819.36,5819.36,3569.61
2020-05-27,PB,Esperança,46,0,194,32,33337,2506004,6.8,313,194,119,2.14,14.57,9.29,0.0,9.29,5.29,-2.3429,-1.3714,0.0,-1.3714,-0.9714,-0.2,0.617,0.138,0.0,9388.97,0.0,5819.36,5819.36,3569.61
2020-05-28,PB,Esperança,50,0,209,33,33337,2506004,6.8,340,209,131,2.14,14.57,9.86,0.0,9.86,4.71,-3.9143,-2.3429,0.0,-2.3429,-1.5714,0.623,0.522,0.0427,0.0,10198.88,0.0,6269.31,6269.31,3929.57
2020-05-29,PB,Esperança,55,0,228,34,33337,2506004,6.8,374,228,146,2.29,15.57,10.71,0.0,10.71,4.86,-1.5714,-0.9429,0.0,-0.9429,-0.6286,1.56,0.641,-0.0375,0.0,11218.77,0.0,6839.25,6839.25,4379.52
2020-05-30,PB,Esperança,55,0,225,35,33337,2506004,6.8,374,225,149,1.71,11.57,8.0,0.0,8.0,3.57,0.771,0.629,0.0,0.629,0.143,1.83,0.352,-0.1874,0.0,11218.77,0.0,6749.26,6749.26,4469.51
2020-05-31,PB,Esperança,55,0,231,36,33337,2506004,6.8,374,231,143,2.57,17.43,11.57,0.0,11.57,5.86,4.29,2.83,0.0,2.83,1.46,2.3,0.149,-0.2165,0.0,11218.77,0.0,6929.24,6929.24,4289.53
2020-06-01,PB,Esperança,56,0,242,37,33337,2506004,6.8,381,242,139,2.71,18.43,12.43,0.0,12.43,6.0,6.8,4.57,0.0,4.57,2.23,1.56,-0.32,-0.2891,0.0,11428.74,0.0,7259.2,7259.2,4169.54
2020-06-02,PB,Esperança,58,0,250,38,33337,2506004,6.8,394,250,144,5.29,36.0,24.0,0.0,24.0,12.0,7.6,5.23,0.0,5.23,2.37,1.37,-0.56,-0.1936,0.0,11818.7,0.0,7499.18,7499.18,4319.52
2020-06-03,PB,Esperança,64,0,275,39,33337,2506004,6.8,435,275,160,7.29,49.57,33.57,0.0,33.57,16.0,6.23,4.51,0.0,4.51,1.71,-0.04,-0.8046,-0.1687,0.0,13048.56,0.0,8249.09,8249.09,4799.47
