Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-01,CE,Eusébio,1,1,2,1,54154,2304285,6.8,7,3,4,,,,,,,,,,,,,,,0.333,129.26,18.47,36.93,55.4,73.86
2020-04-02,CE,Eusébio,1,0,2,2,54154,2304285,6.8,7,2,5,,,,,,,,,,,,,,,0.0,129.26,0.0,36.93,36.93,92.33
2020-04-03,CE,Eusébio,1,1,2,3,54154,2304285,6.8,7,3,4,,,,,,,,,,,,,,,0.333,129.26,18.47,36.93,55.4,73.86
2020-04-04,CE,Eusébio,1,1,3,4,54154,2304285,6.8,7,4,3,,,,,,,,,,,,,,,0.25,129.26,18.47,55.4,73.86,55.4
2020-04-05,CE,Eusébio,1,1,3,5,54154,2304285,6.8,7,4,3,0.286,1.86,0.857,0.143,1.0,0.857,,,,,,,,,0.25,129.26,18.47,55.4,73.86,55.4
2020-04-06,CE,Eusébio,2,1,6,6,54154,2304285,6.8,14,7,7,0.286,1.86,0.857,0.286,1.14,0.714,,,,,,,,,0.143,258.52,18.47,110.8,129.26,129.26
2020-04-07,CE,Eusébio,2,1,6,7,54154,2304285,6.8,14,7,7,0.286,1.86,0.857,0.143,1.0,0.857,,,,,,,,,0.143,258.52,18.47,110.8,129.26,129.26
2020-04-08,CE,Eusébio,3,2,8,8,54154,2304285,6.8,20,10,10,0.429,2.86,1.29,0.143,1.43,1.43,0.6,0.314,0.0,0.314,0.286,,,,0.2,369.32,36.93,147.73,184.66,184.66
2020-04-09,CE,Eusébio,3,2,8,9,54154,2304285,6.8,20,10,10,0.571,3.86,1.86,0.143,2.0,1.86,0.771,0.4,0.0,0.4,0.371,,,,0.2,369.32,36.93,147.73,184.66,184.66
2020-04-10,CE,Eusébio,3,2,8,10,54154,2304285,6.8,20,10,10,0.714,4.86,2.43,0.143,2.57,2.29,1.0,0.514,0.0286,0.543,0.457,,,,0.2,369.32,36.93,147.73,184.66,184.66
2020-04-11,CE,Eusébio,4,2,12,11,54154,2304285,6.8,27,14,13,0.857,5.71,2.86,0.286,3.14,2.57,1.77,0.914,-0.0286,0.886,0.886,0.583,,,0.143,498.58,36.93,221.59,258.52,240.06
2020-04-12,CE,Eusébio,5,2,16,12,54154,2304285,6.8,34,18,16,1.0,6.86,3.43,0.286,3.71,3.14,2.54,1.26,0.0286,1.29,1.26,0.549,,,0.111,627.84,36.93,295.45,332.39,295.45
2020-04-13,CE,Eusébio,7,2,23,13,54154,2304285,6.8,48,25,23,1.71,11.71,5.86,0.0,5.86,5.86,3.51,1.69,0.0286,1.71,1.8,0.417,,,0.08,886.36,36.93,424.71,461.65,424.71
2020-04-14,CE,Eusébio,8,3,26,14,54154,2304285,6.8,54,29,25,2.43,16.57,8.14,0.286,8.43,8.14,3.51,1.77,0.0,1.77,1.74,0.383,-0.2114,,0.103,997.16,55.4,480.11,535.51,461.65
2020-04-15,CE,Eusébio,10,4,32,15,54154,2304285,6.8,68,36,32,3.29,22.43,10.86,0.286,11.14,11.29,3.09,1.66,0.0,1.66,1.43,0.0343,-0.2971,,0.111,1255.68,73.86,590.91,664.77,590.91
2020-04-16,CE,Eusébio,15,2,49,16,54154,2304285,6.8,102,51,51,3.43,23.29,11.71,0.286,12.0,11.29,3.69,2.09,0.0857,2.17,1.51,-0.4743,-0.2926,,0.0392,1883.52,36.93,904.83,941.76,941.76
2020-04-17,CE,Eusébio,20,4,65,17,54154,2304285,6.8,136,69,67,3.29,22.29,11.71,0.286,12.0,10.29,2.71,1.74,0.0,1.74,0.971,-0.9371,-0.3634,0.0242,0.058,2511.36,73.86,1200.28,1274.14,1237.21
2020-04-18,CE,Eusébio,27,4,88,18,54154,2304285,6.8,184,92,92,4.43,30.14,16.29,0.429,16.71,13.43,1.14,0.943,0.0571,1.0,0.143,-1.0457,-0.2171,0.114,0.0435,3397.72,73.86,1625.0,1698.86,1698.86
2020-04-19,CE,Eusébio,29,4,98,19,54154,2304285,6.8,197,102,95,4.43,30.14,16.86,0.286,17.14,13.0,-1.1714,-0.3143,-0.0571,-0.3714,-0.8,-1.4343,-0.0903,0.15,0.0392,3637.77,73.86,1809.65,1883.52,1754.26
2020-04-20,CE,Eusébio,30,4,105,20,54154,2304285,6.8,204,109,95,4.14,28.14,15.57,0.571,16.14,12.0,-2.1429,-0.9429,-0.0571,-1.0,-1.1429,-1.0514,0.273,0.198,0.0367,3767.03,73.86,1938.91,2012.78,1754.26
2020-04-21,CE,Eusébio,39,6,140,21,54154,2304285,6.8,265,146,119,2.57,17.43,10.14,0.0,10.14,7.29,-3.4857,-1.7714,-0.0286,-1.8,-1.6857,-0.9257,0.459,0.14,0.0411,4893.45,110.8,2585.22,2696.02,2197.44
2020-04-22,CE,Eusébio,41,6,150,22,54154,2304285,6.8,279,156,123,1.71,11.57,7.0,0.0,7.0,4.57,-2.5429,-1.4286,-0.0571,-1.4857,-1.0571,0.429,0.629,0.122,0.0385,5151.97,110.8,2769.88,2880.67,2271.3
2020-04-23,CE,Eusébio,44,6,158,23,54154,2304285,6.8,299,164,135,1.86,12.71,7.43,0.286,7.71,5.0,-3.4857,-2.0,-0.1429,-2.1429,-1.3429,1.25,0.483,-0.0233,0.0366,5521.29,110.8,2917.61,3028.4,2492.89
2020-04-24,CE,Eusébio,38,4,136,24,54154,2304285,6.8,258,140,118,2.57,17.43,9.71,0.0,9.71,7.71,0.971,0.171,0.0286,0.2,0.771,1.71,0.518,-0.1253,0.0286,4764.19,73.86,2511.36,2585.22,2178.97
2020-04-25,CE,Eusébio,39,4,137,25,54154,2304285,6.8,265,141,124,1.57,10.71,5.57,-0.1429,5.43,5.29,4.11,1.8,0.0286,1.83,2.29,1.37,0.157,-0.1726,0.0284,4893.45,73.86,2529.82,2603.69,2289.77
2020-04-26,CE,Eusébio,42,6,150,26,54154,2304285,6.8,286,156,130,3.29,22.29,11.0,0.143,11.14,11.14,5.06,2.51,0.0286,2.54,2.51,1.66,-0.1669,-0.0754,0.0385,5281.23,110.8,2769.88,2880.67,2400.56
2020-04-27,CE,Eusébio,48,4,173,27,54154,2304285,6.8,326,177,149,4.71,32.14,16.0,0.143,16.14,16.0,4.29,2.43,0.0857,2.51,1.77,1.21,-0.2343,-0.0391,0.0226,6019.87,73.86,3194.59,3268.46,2751.41
