date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-13,SC,Florianópolis,199,3,2391,505983,4205407,25.0,4975,2394,2581,,,,,,,,,,,,,,0.0013,0.0006,9832.35,5.93,4725.46,4731.38,5100.96
2020-04-14,SC,Florianópolis,207,3,2525,505983,4205407,25.0,5175,2528,2647,,,,,,,,,,,,,,0.0012,0.0006,10227.62,5.93,4990.29,4996.22,5231.4
2020-04-15,SC,Florianópolis,214,3,2543,505983,4205407,25.0,5350,2546,2804,,,,,,,,,,,,,,0.0012,0.0006,10573.48,5.93,5025.86,5031.79,5541.69
2020-04-16,SC,Florianópolis,219,3,2658,505983,4205407,25.0,5475,2661,2814,137.5,86.0,0.0,86.0,51.5,,,,,,,,,0.0011,0.0005,10820.52,5.93,5253.14,5259.07,5561.45
2020-04-17,SC,Florianópolis,221,3,2649,505983,4205407,25.0,5525,2652,2873,129.17,92.5,0.0,92.5,36.67,,,,,,,,,0.0011,0.0005,10919.34,5.93,5235.35,5241.28,5678.06
2020-04-18,SC,Florianópolis,224,3,2703,505983,4205407,25.0,5600,2706,2894,108.33,106.0,0.167,106.17,2.17,,,,,,,,,0.0011,0.0005,11067.57,5.93,5342.08,5348.01,5719.56
2020-04-19,SC,Florianópolis,232,3,2907,505983,4205407,25.0,5800,2910,2890,104.17,104.0,0.167,104.17,0.0,-9.0278,-4.3611,,,,,,,0.001,0.0005,11462.84,5.93,5745.25,5751.18,5711.65
2020-04-20,SC,Florianópolis,238,3,3080,505983,4205407,25.0,5950,3083,2867,116.67,107.17,0.167,107.33,9.33,-7.6389,-6.4722,,,,,,,0.001,0.0005,11759.29,5.93,6087.16,6093.09,5666.2
2020-04-21,SC,Florianópolis,240,4,3179,505983,4205407,25.0,6000,3183,2817,112.5,101.33,0.167,101.5,11.0,-2.0833,-8.75,0.0,-8.75,6.67,,,,0.0013,0.0007,11858.11,7.91,6282.82,6290.73,5567.38
2020-04-22,SC,Florianópolis,244,4,3282,505983,4205407,25.0,6100,3286,2814,83.33,59.83,0.167,60.0,23.33,45.14,13.97,0.0,13.97,31.17,,,,0.0012,0.0007,12055.74,7.91,6486.38,6494.29,5561.45
