Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-20,MG,Frei Inocêncio,1,0,4,1,9707,3126901,6.8,7,4,3,,,,,,,,,,,,,,,0.0,721.13,0.0,412.07,412.07,309.06
2020-05-21,MG,Frei Inocêncio,1,0,4,2,9707,3126901,6.8,7,4,3,,,,,,,,,,,,,,,0.0,721.13,0.0,412.07,412.07,309.06
2020-05-22,MG,Frei Inocêncio,1,0,4,3,9707,3126901,6.8,7,4,3,,,,,,,,,,,,,,,0.0,721.13,0.0,412.07,412.07,309.06
2020-05-23,MG,Frei Inocêncio,2,0,8,4,9707,3126901,6.8,14,8,6,,,,,,,,,,,,,,,0.0,1442.26,0.0,824.15,824.15,618.11
2020-05-24,MG,Frei Inocêncio,2,0,8,5,9707,3126901,6.8,14,8,6,0.429,2.86,1.86,0.0,1.86,1.0,,,,,,,,,0.0,1442.26,0.0,824.15,824.15,618.11
2020-05-25,MG,Frei Inocêncio,3,0,12,6,9707,3126901,6.8,20,12,8,0.429,2.86,1.86,0.0,1.86,1.0,,,,,,,,,0.0,2060.37,0.0,1236.22,1236.22,824.15
2020-05-26,MG,Frei Inocêncio,3,0,12,7,9707,3126901,6.8,20,12,8,0.857,5.86,3.57,0.0,3.57,2.29,,,,,,,,,0.0,2060.37,0.0,1236.22,1236.22,824.15
2020-05-27,MG,Frei Inocêncio,4,0,17,8,9707,3126901,6.8,27,17,10,0.714,4.86,3.0,0.0,3.0,1.86,0.4,0.257,0.0,0.257,0.143,,,,0.0,2781.5,0.0,1751.31,1751.31,1030.18
2020-05-28,MG,Frei Inocêncio,4,0,17,9,9707,3126901,6.8,27,17,10,0.714,4.86,3.14,0.0,3.14,1.71,1.0,0.657,0.0,0.657,0.343,,,,0.0,2781.5,0.0,1751.31,1751.31,1030.18
2020-05-29,MG,Frei Inocêncio,7,0,29,10,9707,3126901,6.8,48,29,19,0.714,4.86,3.14,0.0,3.14,1.71,0.2,0.143,0.0,0.143,0.0571,,,,0.0,4944.89,0.0,2987.53,2987.53,1957.35
2020-05-30,MG,Frei Inocêncio,7,0,29,11,9707,3126901,6.8,48,29,19,1.14,7.86,5.14,0.0,5.14,2.71,0.4,0.257,0.0,0.257,0.143,0.0343,,,0.0,4944.89,0.0,2987.53,2987.53,1957.35
2020-05-31,MG,Frei Inocêncio,7,0,30,12,9707,3126901,6.8,48,30,18,1.0,6.86,4.29,0.0,4.29,2.57,0.171,0.143,0.0,0.143,0.0286,-0.2057,,,0.0,4944.89,0.0,3090.55,3090.55,1854.33
2020-06-01,MG,Frei Inocêncio,8,0,34,13,9707,3126901,6.8,54,34,20,1.0,6.86,4.29,0.0,4.29,2.57,0.571,0.4,0.0,0.4,0.171,-0.04,,,0.0,5563.0,0.0,3502.63,3502.63,2060.37
2020-06-02,MG,Frei Inocêncio,11,0,48,14,9707,3126901,6.8,75,48,27,0.857,5.71,3.86,0.0,3.86,1.86,-0.0286,0.0286,0.0,0.0286,-0.0571,-0.2,-0.0606,,0.0,7726.38,0.0,4944.89,4944.89,2781.5
2020-06-03,MG,Frei Inocêncio,11,0,47,15,9707,3126901,6.8,75,47,28,1.14,7.71,5.14,0.0,5.14,2.57,0.0,0.114,0.0,0.114,-0.1143,-0.1086,0.0194,,0.0,7726.38,0.0,4841.87,4841.87,2884.52
2020-06-04,MG,Frei Inocêncio,11,0,47,16,9707,3126901,6.8,75,47,28,1.14,7.71,5.29,0.0,5.29,2.43,-0.6,-0.2857,0.0,-0.2857,-0.3143,-0.2686,-0.024,,0.0,7726.38,0.0,4841.87,4841.87,2884.52
2020-06-05,MG,Frei Inocêncio,13,0,56,17,9707,3126901,6.8,88,56,32,1.0,6.86,4.86,0.0,4.86,2.0,-0.3714,-0.1714,0.0,-0.1714,-0.2,-0.1086,0.056,0.0306,0.0,9065.62,0.0,5769.03,5769.03,3296.59
2020-06-06,MG,Frei Inocêncio,15,0,65,18,9707,3126901,6.8,102,65,37,0.571,3.86,2.86,0.0,2.86,1.0,-0.7714,-0.4286,0.0,-0.4286,-0.3429,-0.16,0.0286,0.0096,0.0,10507.88,0.0,6696.2,6696.2,3811.68
2020-06-07,MG,Frei Inocêncio,15,0,67,19,9707,3126901,6.8,102,67,35,0.571,3.86,3.0,0.0,3.0,0.857,-0.5714,-0.2857,0.0,-0.2857,-0.2857,0.08,0.0926,0.0254,0.0,10507.88,0.0,6902.24,6902.24,3605.65
2020-06-08,MG,Frei Inocêncio,15,0,68,20,9707,3126901,6.8,102,68,34,0.571,3.86,3.0,0.0,3.0,0.857,-0.8,-0.4286,0.0,-0.4286,-0.3714,0.0343,0.0674,-0.0048,0.0,10507.88,0.0,7005.25,7005.25,3502.63
2020-06-09,MG,Frei Inocêncio,15,0,68,21,9707,3126901,6.8,102,68,34,0.714,4.86,3.86,0.0,3.86,1.0,-0.2,-0.0286,0.0,-0.0286,-0.1714,0.194,0.103,-0.0023,0.0,10507.88,0.0,7005.25,7005.25,3502.63
