Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-18,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,,,,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-06-19,MG,Fruta de Leite,1,0,11,5423,3127073,16.5,16,11,5,,,,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2028.4,2028.4,922.0
2020-06-20,MG,Fruta de Leite,1,0,11,5423,3127073,16.5,16,11,5,,,,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2028.4,2028.4,922.0
2020-06-21,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,,,,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-06-22,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-06-23,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-06-24,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-06-25,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-06-26,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-06-27,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-06-28,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-06-29,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,,,,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-06-30,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,,,,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
2020-07-01,MG,Fruta de Leite,1,0,12,5423,3127073,16.5,16,12,4,,,,,,,,,,,,,,,0.0,0.0,2950.4,0.0,2212.8,2212.8,737.6
