Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-28,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-04-29,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-04-30,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-01,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-02,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-03,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-04,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-05,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-06,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-07,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-08,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-09,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-10,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-11,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-12,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-13,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-14,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-15,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-16,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-17,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-18,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-19,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-20,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-21,ES,Governador Lindenberg,1,0,7,12836,3202256,11.8,12,7,5,,,,,,,,,,,,,,,0.0,0.0,934.87,0.0,545.34,545.34,389.53
2020-05-22,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-23,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-24,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-25,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,-0.1429,-1.7143,-1.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-26,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-27,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-28,ES,Governador Lindenberg,0,0,0,12836,3202256,11.8,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-29,ES,Governador Lindenberg,1,0,7,12836,3202256,11.8,12,7,5,,,,,,,,,,,,,,,0.0,0.0,934.87,0.0,545.34,545.34,389.53
2020-05-30,ES,Governador Lindenberg,3,0,21,12836,3202256,11.8,35,21,14,,,,,,,,,,,,,,,0.0,0.0,2726.71,0.0,1636.02,1636.02,1090.68
2020-05-31,ES,Governador Lindenberg,3,0,22,12836,3202256,11.8,35,22,13,,,,,,,,,,,,,,,0.0,0.0,2726.71,0.0,1713.93,1713.93,1012.78
2020-06-01,ES,Governador Lindenberg,3,0,22,12836,3202256,11.8,35,22,13,,,,,,,,,,,,,,,0.0,0.0,2726.71,0.0,1713.93,1713.93,1012.78
2020-06-02,ES,Governador Lindenberg,3,0,22,12836,3202256,11.8,35,22,13,0.857,10.14,6.57,,,,,,,,,,,,0.0,0.0,2726.71,0.0,1713.93,1713.93,1012.78
2020-06-03,ES,Governador Lindenberg,5,0,37,12836,3202256,11.8,59,37,22,0.571,6.86,4.57,,,,,,,,,,,,0.0,0.0,4596.45,0.0,2882.52,2882.52,1713.93
2020-06-04,ES,Governador Lindenberg,5,0,37,12836,3202256,11.8,59,37,22,0.571,6.86,4.57,,,,,,,,,,,,0.0,0.0,4596.45,0.0,2882.52,2882.52,1713.93
2020-06-05,ES,Governador Lindenberg,7,0,53,12836,3202256,11.8,83,53,30,0.571,6.86,4.86,,,,-1.0286,-0.5714,,,,,,,0.0,0.0,6466.19,0.0,4129.01,4129.01,2337.18
