Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-30,SC,Guaraciaba,1,0,4,1,10191,4206405,6.8,7,4,3,,,,,,,,,,,,,,,0.0,686.88,0.0,392.5,392.5,294.38
2020-05-31,SC,Guaraciaba,1,0,4,2,10191,4206405,6.8,7,4,3,,,,,,,,,,,,,,,0.0,686.88,0.0,392.5,392.5,294.38
2020-06-01,SC,Guaraciaba,1,0,4,3,10191,4206405,6.8,7,4,3,,,,,,,,,,,,,,,0.0,686.88,0.0,392.5,392.5,294.38
2020-06-02,SC,Guaraciaba,1,0,4,4,10191,4206405,6.8,7,4,3,,,,,,,,,,,,,,,0.0,686.88,0.0,392.5,392.5,294.38
2020-06-03,SC,Guaraciaba,1,0,4,5,10191,4206405,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,686.88,0.0,392.5,392.5,294.38
2020-06-04,SC,Guaraciaba,1,0,4,6,10191,4206405,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,686.88,0.0,392.5,392.5,294.38
2020-06-05,SC,Guaraciaba,1,0,4,7,10191,4206405,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,686.88,0.0,392.5,392.5,294.38
2020-06-06,SC,Guaraciaba,1,0,4,8,10191,4206405,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,,,,0.0,686.88,0.0,392.5,392.5,294.38
2020-06-07,SC,Guaraciaba,1,0,5,9,10191,4206405,6.8,7,5,2,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,,,,0.0,686.88,0.0,490.63,490.63,196.25
2020-06-08,SC,Guaraciaba,1,0,5,10,10191,4206405,6.8,7,5,2,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,,,,0.0,686.88,0.0,490.63,490.63,196.25
