Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-25,BA,Ilhéus,1,0,2,1,163950,2913606,8.3,8,2,6,,,,,,,,,,,,,,,0.0,48.8,0.0,12.2,12.2,36.6
2020-03-26,BA,Ilhéus,1,0,2,2,163950,2913606,8.3,8,2,6,,,,,,,,,,,,,,,0.0,48.8,0.0,12.2,12.2,36.6
2020-03-27,BA,Ilhéus,2,0,5,3,163950,2913606,8.3,17,5,12,,,,,,,,,,,,,,,0.0,103.69,0.0,30.5,30.5,73.19
2020-03-28,BA,Ilhéus,2,0,5,4,163950,2913606,8.3,17,5,12,,,,,,,,,,,,,,,0.0,103.69,0.0,30.5,30.5,73.19
2020-03-29,BA,Ilhéus,2,0,6,5,163950,2913606,8.3,17,6,11,0.857,7.14,2.57,0.0,2.57,4.57,,,,,,,,,0.0,103.69,0.0,36.6,36.6,67.09
2020-03-30,BA,Ilhéus,2,0,6,6,163950,2913606,8.3,17,6,11,1.0,8.29,2.86,0.0,2.86,5.43,,,,,,,,,0.0,103.69,0.0,36.6,36.6,67.09
2020-03-31,BA,Ilhéus,6,0,17,7,163950,2913606,8.3,50,17,33,0.857,7.0,2.57,0.0,2.57,4.43,,,,,,,,,0.0,304.97,0.0,103.69,103.69,201.28
2020-04-01,BA,Ilhéus,7,0,20,8,163950,2913606,8.3,58,20,38,1.14,9.43,3.57,0.0,3.57,5.86,1.4,0.657,0.0,0.657,0.743,,,,0.0,353.77,0.0,121.99,121.99,231.78
2020-04-02,BA,Ilhéus,8,0,22,9,163950,2913606,8.3,66,22,44,1.43,11.86,4.71,0.0,4.71,7.14,1.17,0.629,0.0,0.629,0.543,,,,0.0,402.56,0.0,134.19,134.19,268.37
2020-04-03,BA,Ilhéus,8,0,23,10,163950,2913606,8.3,66,23,43,1.71,14.14,5.86,0.0,5.86,8.29,2.17,0.943,0.0,0.943,1.23,,,,0.0,402.56,0.0,140.29,140.29,262.28
2020-04-04,BA,Ilhéus,10,0,30,11,163950,2913606,8.3,83,30,53,1.71,14.14,6.0,0.0,6.0,8.14,2.17,1.0,0.0286,1.03,1.14,0.0571,,,0.0,506.25,0.0,182.98,182.98,323.27
2020-04-05,BA,Ilhéus,12,0,39,12,163950,2913606,8.3,100,39,61,2.14,17.86,7.29,0.0,7.29,10.57,2.63,1.26,0.0286,1.29,1.34,0.48,,,0.0,609.94,0.0,237.88,237.88,372.06
2020-04-06,BA,Ilhéus,14,0,47,13,163950,2913606,8.3,116,47,69,2.43,20.29,8.57,0.143,8.71,11.57,1.69,1.03,0.0286,1.06,0.629,0.274,,,0.0,707.53,0.0,286.67,286.67,420.86
2020-04-07,BA,Ilhéus,18,0,59,14,163950,2913606,8.3,149,59,90,3.0,25.0,11.0,0.143,11.14,13.86,3.57,1.94,0.0286,1.97,1.6,0.131,0.0251,,0.0,908.81,0.0,359.87,359.87,548.95
2020-04-08,BA,Ilhéus,22,0,71,15,163950,2913606,8.3,183,71,112,2.71,22.57,11.0,0.143,11.14,11.43,3.54,2.2,0.0286,2.23,1.31,-0.2457,-0.2011,,0.0,1116.19,0.0,433.06,433.06,683.14
2020-04-09,BA,Ilhéus,25,1,82,16,163950,2913606,8.3,208,83,125,3.86,32.0,15.71,0.143,15.86,16.14,2.83,2.03,0.0,2.03,0.8,0.183,-0.1874,,0.012,1268.68,6.1,500.15,506.25,762.43
2020-04-10,BA,Ilhéus,29,1,100,17,163950,2913606,8.3,241,101,140,4.29,35.57,18.29,0.143,18.43,17.14,1.4,1.29,0.0,1.29,0.114,-0.5257,-0.1589,-0.0046,0.0099,1469.96,6.1,609.94,616.04,853.92
2020-04-11,BA,Ilhéus,29,1,107,18,163950,2913606,8.3,241,108,133,4.14,34.43,18.71,0.143,18.86,15.57,2.6,1.8,0.0,1.8,0.8,-0.6629,0.0697,0.0823,0.0093,1469.96,6.1,652.64,658.74,811.22
2020-04-12,BA,Ilhéus,39,1,149,19,163950,2913606,8.3,324,150,174,3.86,32.0,17.43,0.143,17.57,14.43,0.943,0.829,0.0,0.829,0.114,-0.6629,0.0023,0.14,0.0067,1976.21,6.1,908.81,914.91,1061.3
2020-04-13,BA,Ilhéus,44,1,175,20,163950,2913606,8.3,365,176,189,4.29,35.57,20.0,0.143,20.14,15.43,0.229,0.143,0.0,0.143,0.0857,0.103,0.21,0.151,0.0057,2226.29,6.1,1067.4,1073.5,1152.79
2020-04-14,BA,Ilhéus,47,1,190,21,163950,2913606,8.3,390,191,199,4.43,36.71,19.86,0.143,20.0,16.71,-0.4857,-0.1429,0.0,-0.1429,-0.3429,0.194,0.512,0.069,0.0052,2378.77,6.1,1158.89,1164.99,1213.78
2020-04-15,BA,Ilhéus,49,1,193,22,163950,2913606,8.3,407,194,213,4.43,36.71,19.0,0.143,19.14,17.57,1.91,1.23,0.0286,1.26,0.657,0.526,0.598,0.0693,0.0052,2482.46,6.1,1177.19,1183.29,1299.18
2020-04-16,BA,Ilhéus,55,2,222,23,163950,2913606,8.3,457,224,233,3.86,32.0,18.0,0.143,18.14,13.86,3.57,2.14,0.0286,2.17,1.4,1.9,0.415,0.0087,0.0089,2787.44,12.2,1354.07,1366.27,1421.16
2020-04-17,BA,Ilhéus,60,2,239,24,163950,2913606,8.3,498,241,257,5.0,41.57,23.57,0.286,23.86,17.71,3.57,2.66,0.0286,2.69,0.886,2.33,0.349,-0.2009,0.0083,3037.51,12.2,1457.76,1469.96,1567.55
2020-04-18,BA,Ilhéus,60,2,240,25,163950,2913606,8.3,498,242,256,6.43,53.43,30.71,0.286,31.0,22.43,9.71,5.77,0.0,5.77,3.94,2.18,0.254,-0.2562,0.0083,3037.51,12.2,1463.86,1476.06,1561.45
2020-04-19,BA,Ilhéus,66,2,275,26,163950,2913606,8.3,548,277,271,6.57,54.57,33.14,0.286,33.43,21.14,11.14,6.34,0.0,6.34,4.8,1.94,-0.4926,-0.299,0.0072,3342.48,12.2,1677.34,1689.54,1652.94
2020-04-20,BA,Ilhéus,79,3,340,27,163950,2913606,8.3,656,343,313,10.29,85.29,47.86,0.143,48.0,37.29,12.8,6.74,0.0,6.74,6.06,1.79,-0.6834,-0.2873,0.0087,4001.22,18.3,2073.8,2092.1,1909.12
2020-04-21,BA,Ilhéus,92,3,405,28,163950,2913606,8.3,764,408,356,10.57,87.71,49.71,0.143,49.86,37.86,13.26,6.89,0.0,6.89,6.37,-0.5657,-1.08,-0.272,0.0074,4659.96,18.3,2470.27,2488.56,2171.39
2020-04-22,BA,Ilhéus,95,3,425,29,163950,2913606,8.3,789,428,361,12.71,105.57,57.29,0.286,57.57,48.0,12.54,6.11,-0.0286,6.09,6.46,-1.0914,-1.088,0.0037,0.007,4812.44,18.3,2592.25,2610.55,2201.89
2020-04-23,BA,Ilhéus,127,3,557,30,163950,2913606,8.3,1054,560,494,14.43,119.71,65.14,0.286,65.43,54.29,6.89,3.03,0.0,3.03,3.86,-3.2229,-1.1063,0.0706,0.0054,6428.79,18.3,3397.38,3415.68,3013.11
2020-04-24,BA,Ilhéus,134,3,587,31,163950,2913606,8.3,1112,590,522,14.14,117.29,63.71,0.143,63.86,53.43,5.69,1.86,0.0,1.86,3.83,-3.5029,-0.4743,0.349,0.0051,6782.56,18.3,3580.36,3598.66,3183.9
2020-04-25,BA,Ilhéus,149,4,641,32,163950,2913606,8.3,1237,645,592,14.43,119.71,63.0,0.143,63.14,56.57,-3.3143,-2.6286,-0.0286,-2.6571,-0.6571,-3.7371,-0.3303,0.375,0.0062,7544.98,24.4,3909.73,3934.13,3610.86
2020-04-26,BA,Ilhéus,167,4,731,33,163950,2913606,8.3,1386,735,651,14.0,116.14,59.0,0.143,59.14,57.0,-4.2571,-2.6,0.0,-2.6,-1.6571,-2.9371,0.663,0.422,0.0054,8453.8,24.4,4458.68,4483.07,3970.72
2020-04-27,BA,Ilhéus,178,4,786,34,163950,2913606,8.3,1477,790,687,10.71,89.0,44.14,0.143,44.29,44.71,-6.1429,-2.5429,0.0,-2.5429,-3.6,-2.7429,0.785,0.261,0.0051,9008.84,24.4,4794.14,4818.54,4190.3
2020-04-28,BA,Ilhéus,193,4,846,35,163950,2913606,8.3,1602,850,752,11.86,98.43,52.14,0.286,52.43,46.0,-7.8,-2.5429,0.0286,-2.5143,-5.2857,0.0914,1.0,0.247,0.0047,9771.27,24.4,5160.11,5184.51,4586.76
2020-04-29,BA,Ilhéus,193,4,838,36,163950,2913606,8.3,1602,842,760,10.43,86.57,51.0,0.143,51.14,35.43,-8.0286,-2.2571,0.0286,-2.2286,-5.8,0.423,0.832,-0.1248,0.0048,9771.27,24.4,5111.31,5135.71,4635.56
2020-04-30,BA,Ilhéus,202,4,866,37,163950,2913606,8.3,1677,870,807,9.71,80.71,50.29,0.286,50.57,30.14,-2.8571,1.06,0.0286,1.09,-3.9429,1.27,0.906,-0.2023,0.0046,10228.73,24.4,5282.1,5306.5,4922.23
2020-05-01,BA,Ilhéus,217,5,952,38,163950,2913606,8.3,1801,957,844,9.14,76.0,47.71,0.286,48.0,28.0,-2.1429,0.229,0.171,0.4,-2.5429,1.22,0.0389,-0.259,0.0052,10985.06,30.5,5806.65,5837.15,5147.91
2020-05-02,BA,Ilhéus,222,5,998,39,163950,2913606,8.3,1843,1003,840,9.0,74.71,49.43,0.286,49.71,25.0,0.229,0.857,0.2,1.06,-0.8286,1.79,-0.2263,-0.1922,0.005,11241.23,30.5,6087.22,6117.72,5123.51
2020-05-03,BA,Ilhéus,235,6,1083,40,163950,2913606,8.3,1951,1089,862,10.57,87.71,53.29,1.14,54.43,33.29,-1.6857,-1.5143,0.114,-1.4,-0.2857,0.286,-0.2926,-0.2809,0.0055,11899.97,36.6,6605.67,6642.27,5257.7
2020-05-04,BA,Ilhéus,242,6,1120,41,163950,2913606,8.3,2009,1126,883,10.57,87.71,55.29,1.14,56.43,31.29,0.914,-0.3429,0.143,-0.2,1.11,-0.7086,-0.1291,0.163,0.0053,12253.74,36.6,6831.35,6867.95,5385.79
2020-05-05,BA,Ilhéus,256,6,1192,42,163950,2913606,8.3,2125,1198,927,8.71,72.29,42.71,0.857,43.57,28.71,-1.4286,-1.7429,0.114,-1.6286,0.2,-0.1886,-0.4983,0.182,0.005,12961.27,36.6,7270.51,7307.11,5654.16
2020-05-06,BA,Ilhéus,267,12,1211,43,163950,2913606,8.3,2216,1223,993,9.71,80.57,46.0,1.0,47.0,33.57,-5.6857,-2.6,-0.0571,-2.6571,-3.0286,0.577,0.855,0.0983,0.0098,13516.32,73.19,7386.4,7459.59,6056.72
2020-05-07,BA,Ilhéus,276,12,1253,44,163950,2913606,8.3,2291,1265,1026,8.14,67.57,40.71,0.857,41.57,26.0,-0.7143,0.286,0.0286,0.314,-1.0286,-0.7029,0.682,0.0519,0.0095,13973.77,73.19,7642.57,7715.77,6258.01
2020-05-08,BA,Ilhéus,278,11,1251,45,163950,2913606,8.3,2307,1262,1045,7.14,59.29,40.29,0.857,41.14,18.14,1.2,2.89,0.0,2.89,-1.6857,4.56,0.199,0.166,0.0087,14071.36,67.09,7630.38,7697.47,6373.89
2020-05-09,BA,Ilhéus,290,12,1320,46,163950,2913606,8.3,2407,1332,1075,10.14,84.14,56.71,1.29,58.0,26.14,-2.6,0.8,-0.0571,0.743,-3.3429,2.7,0.13,-0.6914,0.009,14681.31,73.19,8051.24,8124.43,6556.88
2020-05-10,BA,Ilhéus,292,12,1368,47,163950,2913606,8.3,2424,1380,1044,9.43,78.29,57.14,0.857,58.0,20.29,21.37,13.46,0.0,13.46,7.91,0.806,0.33,-0.3035,0.0087,14785.0,73.19,8344.01,8417.2,6367.8
2020-05-11,BA,Ilhéus,292,12,1402,48,163950,2913606,8.3,2424,1414,1010,8.14,67.57,50.0,0.714,50.71,16.86,7.83,4.86,-0.0286,4.83,3.0,1.23,-2.6023,-0.256,0.0085,14785.0,73.19,8551.39,8624.58,6160.41
2020-05-12,BA,Ilhéus,327,15,1589,49,163950,2913606,8.3,2714,1604,1110,21.0,174.43,108.0,0.857,108.86,65.57,3.31,2.43,-0.0571,2.37,0.943,0.949,-0.8354,-0.0638,0.0094,16553.83,91.49,9691.98,9783.47,6770.36
