Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-03-25,SC,Importados/Indefinidos,8,0,15,1,,,6.8,54,15,39,,,,,,,,,,,,,,,0.0,,,,,
2020-03-26,SC,Importados/Indefinidos,8,0,15,2,,,6.8,54,15,39,,,,,,,,,,,,,,,0.0,,,,,
2020-03-27,SC,Importados/Indefinidos,8,0,17,3,,,6.8,54,17,37,,,,,,,,,,,,,,,0.0,,,,,
2020-03-28,SC,Importados/Indefinidos,8,0,17,4,,,6.8,54,17,37,,,,,,,,,,,,,,,0.0,,,,,
2020-03-29,SC,Importados/Indefinidos,8,0,19,5,,,6.8,54,19,35,0.0,0.0,0.429,0.0,0.429,-0.4286,,,,,,,,,0.0,,,,,
2020-03-30,SC,Importados/Indefinidos,8,0,20,6,,,6.8,54,20,34,0.0,0.0,0.429,0.0,0.429,-0.4286,,,,,,,,,0.0,,,,,
2020-03-31,SC,Importados/Indefinidos,8,0,19,7,,,6.8,54,19,35,0.0,0.0,0.286,0.0,0.286,-0.2857,,,,,,,,,0.0,,,,,
2020-04-01,SC,Importados/Indefinidos,8,0,18,8,,,6.8,54,18,36,0.143,1.0,0.714,0.0,0.714,0.286,0.4,0.114,0.0,0.114,0.286,,,,0.0,,,,,
2020-04-02,SC,Importados/Indefinidos,8,0,18,9,,,6.8,54,18,36,0.143,1.0,0.714,0.0,0.714,0.286,0.4,0.143,0.0,0.143,0.257,,,,0.0,,,,,
2020-04-03,SC,Importados/Indefinidos,8,0,19,10,,,6.8,54,19,35,0.286,2.0,1.0,0.0,1.0,1.0,0.6,0.257,0.0,0.257,0.343,,,,0.0,,,,,
2020-04-04,SC,Importados/Indefinidos,9,0,22,11,,,6.8,61,22,39,0.286,2.0,1.14,0.0,1.14,0.857,0.4,0.2,0.0,0.2,0.2,-0.08,,,0.0,,,,,
2020-04-05,SC,Importados/Indefinidos,9,0,24,12,,,6.8,61,24,37,0.429,3.0,1.57,0.0,1.57,1.43,-0.2,-0.0571,0.0,-0.0571,-0.1429,-0.08,,,0.0,,,,,
2020-04-06,SC,Importados/Indefinidos,10,0,27,13,,,6.8,68,27,41,0.429,3.0,1.71,0.0,1.71,1.29,0.0,0.114,0.0,0.114,-0.1143,-0.2,,,0.0,,,,,
2020-04-07,SC,Importados/Indefinidos,10,0,27,14,,,6.8,68,27,41,0.0,0.0,0.429,0.0,0.429,-0.4286,0.0,0.0571,0.0,0.0571,-0.0571,-0.12,0.0149,,0.0,,,,,
2020-04-08,SC,Importados/Indefinidos,11,0,29,15,,,6.8,75,29,46,0.286,2.0,1.57,0.0,1.57,0.429,-0.4,-0.0571,0.0,-0.0571,-0.3429,0.114,0.0469,,0.0,,,,,
2020-04-09,SC,Importados/Indefinidos,11,0,30,16,,,6.8,75,30,45,0.286,2.0,1.43,0.0,1.43,0.571,-0.2,0.0286,0.0,0.0286,-0.2286,-0.0057,0.0709,,0.0,,,,,
