Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-09,SP,Ipiguá,1,0,4,1,5446,3521150,7.9,8,4,4,,,,,,,,,,,,,,,0.0,1468.97,0.0,734.48,734.48,734.48
2020-05-10,SP,Ipiguá,1,0,5,2,5446,3521150,7.9,8,5,3,,,,,,,,,,,,,,,0.0,1468.97,0.0,918.11,918.11,550.86
2020-05-11,SP,Ipiguá,1,0,5,3,5446,3521150,7.9,8,5,3,,,,,,,,,,,,,,,0.0,1468.97,0.0,918.11,918.11,550.86
2020-05-12,SP,Ipiguá,1,0,5,4,5446,3521150,7.9,8,5,3,,,,,,,,,,,,,,,0.0,1468.97,0.0,918.11,918.11,550.86
2020-05-13,SP,Ipiguá,1,1,5,5,5446,3521150,7.9,8,6,2,0.0,0.0,0.143,0.143,0.286,-0.2857,,,,,,,,,0.167,1468.97,183.62,918.11,1101.73,367.24
2020-05-14,SP,Ipiguá,1,1,5,6,5446,3521150,7.9,8,6,2,0.0,0.0,0.0,0.143,0.143,-0.1429,,,,,,,,,0.167,1468.97,183.62,918.11,1101.73,367.24
2020-05-15,SP,Ipiguá,1,1,5,7,5446,3521150,7.9,8,6,2,0.0,0.0,0.0,0.143,0.143,-0.1429,,,,,,,,,0.167,1468.97,183.62,918.11,1101.73,367.24
2020-05-16,SP,Ipiguá,1,1,5,8,5446,3521150,7.9,8,6,2,0.143,1.14,0.571,0.143,0.714,0.429,0.457,0.229,-0.0286,0.2,0.257,,,,0.167,1468.97,183.62,918.11,1101.73,367.24
2020-05-17,SP,Ipiguá,1,1,5,9,5446,3521150,7.9,8,6,2,0.143,1.14,0.571,0.0,0.571,0.571,0.914,0.514,-0.0286,0.486,0.429,,,,0.167,1468.97,183.62,918.11,1101.73,367.24
2020-05-18,SP,Ipiguá,1,1,5,10,5446,3521150,7.9,8,6,2,0.286,2.29,1.29,0.0,1.29,1.0,0.686,0.4,-0.0286,0.371,0.314,,,,0.167,1468.97,183.62,918.11,1101.73,367.24
