Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-03,GO,Ipiranga de Goiás,1,0,5,1,2922,5210158,8.3,8,5,3,,,,,,,,,,,,,,,0.0,0.0,2737.85,0.0,1711.16,1711.16,1026.69
2020-06-04,GO,Ipiranga de Goiás,1,0,5,2,2922,5210158,8.3,8,5,3,,,,,,,,,,,,,,,0.0,0.0,2737.85,0.0,1711.16,1711.16,1026.69
2020-06-05,GO,Ipiranga de Goiás,1,0,5,3,2922,5210158,8.3,8,5,3,,,,,,,,,,,,,,,0.0,0.0,2737.85,0.0,1711.16,1711.16,1026.69
2020-06-06,GO,Ipiranga de Goiás,1,0,5,4,2922,5210158,8.3,8,5,3,,,,,,,,,,,,,,,0.0,0.0,2737.85,0.0,1711.16,1711.16,1026.69
2020-06-07,GO,Ipiranga de Goiás,1,0,5,5,2922,5210158,8.3,8,5,3,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,1711.16,1711.16,1026.69
2020-06-08,GO,Ipiranga de Goiás,1,0,5,6,2922,5210158,8.3,8,5,3,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,1711.16,1711.16,1026.69
2020-06-09,GO,Ipiranga de Goiás,1,0,5,7,2922,5210158,8.3,8,5,3,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,1711.16,1711.16,1026.69
2020-06-10,GO,Ipiranga de Goiás,1,0,5,8,2922,5210158,8.3,8,5,3,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,2737.85,0.0,1711.16,1711.16,1026.69
2020-06-11,GO,Ipiranga de Goiás,1,0,5,9,2922,5210158,8.3,8,5,3,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,2737.85,0.0,1711.16,1711.16,1026.69
2020-06-12,GO,Ipiranga de Goiás,1,0,5,10,2922,5210158,8.3,8,5,3,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,2737.85,0.0,1711.16,1711.16,1026.69
2020-06-13,GO,Ipiranga de Goiás,1,0,6,11,2922,5210158,8.3,8,6,2,0.0,0.0,0.143,,,,,0.0,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-14,GO,Ipiranga de Goiás,1,0,6,12,2922,5210158,8.3,8,6,2,0.0,0.0,0.143,,,,,0.0,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-15,GO,Ipiranga de Goiás,1,0,6,13,2922,5210158,8.3,8,6,2,0.0,0.0,0.143,,,,,-0.0286,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-16,GO,Ipiranga de Goiás,1,0,6,14,2922,5210158,8.3,8,6,2,0.0,0.0,0.143,,,,,-0.0286,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-17,GO,Ipiranga de Goiás,1,0,6,15,2922,5210158,8.3,8,6,2,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-18,GO,Ipiranga de Goiás,1,0,6,16,2922,5210158,8.3,8,6,2,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-19,GO,Ipiranga de Goiás,1,0,6,17,2922,5210158,8.3,8,6,2,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-20,GO,Ipiranga de Goiás,1,0,6,18,2922,5210158,8.3,8,6,2,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-21,GO,Ipiranga de Goiás,1,0,6,19,2922,5210158,8.3,8,6,2,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-22,GO,Ipiranga de Goiás,1,0,6,20,2922,5210158,8.3,8,6,2,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-23,GO,Ipiranga de Goiás,1,0,6,21,2922,5210158,8.3,8,6,2,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-24,GO,Ipiranga de Goiás,1,0,6,22,2922,5210158,8.3,8,6,2,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-25,GO,Ipiranga de Goiás,1,0,6,23,2922,5210158,8.3,8,6,2,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-26,GO,Ipiranga de Goiás,1,0,6,24,2922,5210158,8.3,8,6,2,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-27,GO,Ipiranga de Goiás,1,0,6,25,2922,5210158,8.3,8,6,2,0.143,1.29,1.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-28,GO,Ipiranga de Goiás,1,0,6,26,2922,5210158,8.3,8,6,2,0.143,1.29,1.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-29,GO,Ipiranga de Goiás,1,0,6,27,2922,5210158,8.3,8,6,2,0.143,1.29,1.0,,,,,,,,,,,,0.0,0.0,2737.85,0.0,2053.39,2053.39,684.46
2020-06-30,GO,Ipiranga de Goiás,2,0,13,28,2922,5210158,8.3,17,13,4,0.143,1.29,,,,,,,,,,,,,0.0,0.0,5817.93,0.0,4449.01,4449.01,1368.93
2020-07-01,GO,Ipiranga de Goiás,2,0,13,29,2922,5210158,8.3,17,13,4,,,,,,,,,,,,,,,0.0,0.0,5817.93,0.0,4449.01,4449.01,1368.93
2020-07-02,GO,Ipiranga de Goiás,2,0,13,30,2922,5210158,8.3,17,13,4,,,,,,,,,,,,,,,0.0,0.0,5817.93,0.0,4449.01,4449.01,1368.93
2020-07-03,GO,Ipiranga de Goiás,2,0,,31,2922,5210158,8.3,17,,,,,,,,,,,,,,,,,,0.0,5817.93,0.0,,,
