Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-10,SC,Iporã do Oeste,4,0,18,1,8996,9135,4207650,6.8,27,18,9,,,,,,,,,,,,,,,0.0,2955.67,0.0,1970.44,1970.44,985.22
2020-06-11,SC,Iporã do Oeste,4,0,18,2,8996,9135,4207650,6.8,27,18,9,,,,,,,,,,,,,,,0.0,2955.67,0.0,1970.44,1970.44,985.22
2020-06-12,SC,Iporã do Oeste,4,0,18,3,8996,9135,4207650,6.8,27,18,9,,,,,,,,,,,,,,,0.0,2955.67,0.0,1970.44,1970.44,985.22
2020-06-13,SC,Iporã do Oeste,4,0,19,4,8996,9135,4207650,6.8,27,19,8,,,,,,,,,,,,,,,0.0,2955.67,0.0,2079.91,2079.91,875.75
2020-06-14,SC,Iporã do Oeste,4,0,19,5,8996,9135,4207650,6.8,27,19,8,0.143,1.0,0.857,0.0,0.857,0.143,,,,,,,,,0.0,2955.67,0.0,2079.91,2079.91,875.75
2020-06-15,SC,Iporã do Oeste,4,0,19,6,8996,9135,4207650,6.8,27,19,8,0.143,1.0,0.857,0.0,0.857,0.143,,,,,,,,,0.0,2955.67,0.0,2079.91,2079.91,875.75
2020-06-16,SC,Iporã do Oeste,5,0,24,7,8996,9135,4207650,6.8,34,24,10,0.429,3.0,2.29,0.0,2.29,0.714,,,,,,,,,0.0,3721.95,0.0,2627.26,2627.26,1094.69
2020-06-17,SC,Iporã do Oeste,5,0,24,8,8996,9135,4207650,6.8,34,24,10,0.714,4.86,3.43,0.0,3.43,1.43,0.771,0.571,0.0,0.571,0.2,,,,0.0,3721.95,0.0,2627.26,2627.26,1094.69
2020-06-18,SC,Iporã do Oeste,5,0,24,9,8996,9135,4207650,6.8,34,24,10,0.714,4.86,3.57,0.0,3.57,1.29,0.571,0.4,0.0,0.4,0.171,,,,0.0,3721.95,0.0,2627.26,2627.26,1094.69
2020-06-19,SC,Iporã do Oeste,7,0,34,10,8996,9135,4207650,6.8,48,34,14,0.714,4.86,3.71,0.0,3.71,1.14,-0.0286,-0.0286,0.0,-0.0286,0.0,,,,0.0,5254.52,0.0,3721.95,3721.95,1532.57
2020-06-20,SC,Iporã do Oeste,9,0,43,11,8996,9135,4207650,6.8,61,43,18,0.571,3.86,2.86,0.0,2.86,1.0,-0.2,-0.1143,0.0,-0.1143,-0.0857,-0.3886,,,0.0,6677.61,0.0,4707.17,4707.17,1970.44
2020-06-21,SC,Iporã do Oeste,9,0,44,12,8996,9135,4207650,6.8,61,44,17,0.429,2.86,2.14,0.0,2.14,0.714,-0.8,-0.5714,0.0,-0.5714,-0.2286,-0.3086,,,0.0,6677.61,0.0,4816.64,4816.64,1860.97
2020-06-22,SC,Iporã do Oeste,9,0,45,13,8996,9135,4207650,6.8,61,45,16,0.571,3.86,2.86,0.0,2.86,1.0,-1.1714,-0.8571,0.0,-0.8571,-0.3143,-0.1486,,,0.0,6677.61,0.0,4926.11,4926.11,1751.51
2020-06-23,SC,Iporã do Oeste,9,0,44,14,8996,9135,4207650,6.8,61,44,17,0.143,0.857,0.714,0.0,0.714,0.143,-0.9714,-0.6857,0.0,-0.6857,-0.2857,-0.1543,0.141,,0.0,6677.61,0.0,4816.64,4816.64,1860.97
2020-06-24,SC,Iporã do Oeste,8,0,39,15,8996,9135,4207650,6.8,54,39,15,-0.1429,-1.0,-0.5714,0.0,-0.5714,-0.4286,-0.7714,-0.5714,0.0,-0.5714,-0.2,0.166,0.125,,0.0,5911.33,0.0,4269.29,4269.29,1642.04
2020-06-25,SC,Iporã do Oeste,9,0,44,16,8996,9135,4207650,6.8,61,44,17,-0.1429,-1.0,-0.5714,0.0,-0.5714,-0.4286,-0.9714,-0.6857,0.0,-0.6857,-0.2857,0.314,0.0926,,0.0,6677.61,0.0,4816.64,4816.64,1860.97
2020-06-26,SC,Iporã do Oeste,8,0,39,17,8996,9135,4207650,6.8,54,39,15,-0.1429,-1.0,-0.7143,0.0,-0.7143,-0.2857,0.0286,0.0286,0.0,0.0286,0.0,0.314,0.11,-0.0361,0.0,5911.33,0.0,4269.29,4269.29,1642.04
2020-06-27,SC,Iporã do Oeste,8,0,39,18,8996,9135,4207650,6.8,54,39,15,-0.1429,-1.0,-0.5714,0.0,-0.5714,-0.4286,0.4,0.286,0.0,0.286,0.114,0.314,-0.0103,-0.0361,0.0,5911.33,0.0,4269.29,4269.29,1642.04
2020-06-28,SC,Iporã do Oeste,8,0,40,19,8996,9135,4207650,6.8,54,40,14,0.143,1.0,0.857,0.0,0.857,0.143,0.6,0.457,0.0,0.457,0.143,0.394,-0.04,-0.0329,0.0,5911.33,0.0,4378.76,4378.76,1532.57
2020-06-29,SC,Iporã do Oeste,8,0,40,20,8996,9135,4207650,6.8,54,40,14,0.143,1.0,0.857,0.0,0.857,0.143,0.8,0.629,0.0,0.629,0.171,0.114,-0.056,-0.0398,0.0,5911.33,0.0,4378.76,4378.76,1532.57
2020-06-30,SC,Iporã do Oeste,8,0,40,21,8996,9135,4207650,6.8,54,40,14,0.286,2.0,1.71,0.0,1.71,0.286,1.0,0.743,0.0,0.743,0.257,0.114,-0.072,-0.003,0.0,5911.33,0.0,4378.76,4378.76,1532.57
2020-07-01,SC,Iporã do Oeste,9,0,45,22,8996,9135,4207650,6.8,61,45,16,0.429,3.0,2.43,0.0,2.43,0.571,0.6,0.486,0.0,0.486,0.114,0.0343,-0.0891,-0.0046,0.0,6677.61,0.0,4926.11,4926.11,1751.51
2020-07-02,SC,Iporã do Oeste,10,0,50,23,8996,9135,4207650,6.8,68,50,18,0.571,4.0,3.14,0.0,3.14,0.857,0.971,0.771,0.0,0.771,0.2,-0.0457,-0.0251,0.0034,0.0,7443.9,0.0,5473.45,5473.45,1970.44
2020-07-03,SC,Iporã do Oeste,10,0,51,24,8996,9135,4207650,6.8,68,51,17,0.571,4.0,3.29,0.0,3.29,0.714,0.771,0.6,0.0,0.6,0.171,-0.0514,-0.0629,0.0101,0.0,7443.9,0.0,5582.92,5582.92,1860.97
2020-07-04,SC,Iporã do Oeste,11,0,56,25,8996,9135,4207650,6.8,75,56,19,0.857,5.86,4.71,0.0,4.71,1.14,0.571,0.486,0.0,0.486,0.0857,-0.0114,-0.0389,0.0078,0.0,8210.18,0.0,6130.27,6130.27,2079.91
2020-07-05,SC,Iporã do Oeste,12,0,62,26,8996,9135,4207650,6.8,82,62,20,0.857,5.86,4.71,0.0,4.71,1.14,0.743,0.6,0.0,0.6,0.143,-0.2,-0.0217,-0.0002,0.0,8976.46,0.0,6787.08,6787.08,2189.38
2020-07-06,SC,Iporã do Oeste,12,0,63,27,8996,9135,4207650,6.8,82,63,19,0.857,5.86,4.86,0.0,4.86,1.0,0.543,0.429,0.0,0.429,0.114,-0.16,-0.0503,0.021,0.0,8976.46,0.0,6896.55,6896.55,2079.91
2020-07-07,SC,Iporã do Oeste,14,0,73,28,8996,9135,4207650,6.8,95,73,22,1.14,7.71,6.14,0.0,6.14,1.57,-0.0286,0.0286,0.0,0.0286,-0.0571,-0.1543,-0.0263,0.0162,0.0,10399.56,0.0,7991.24,7991.24,2408.32
2020-07-08,SC,Iporã do Oeste,15,0,78,29,8996,9135,4207650,6.8,102,78,24,1.0,6.71,5.43,0.0,5.43,1.29,-0.0286,0.0286,0.0,0.0286,-0.0571,-0.3029,0.0423,0.0153,0.0,11165.85,0.0,8538.59,8538.59,2627.26
2020-07-09,SC,Iporã do Oeste,16,0,84,30,8996,9135,4207650,6.8,109,84,25,0.857,5.71,4.86,0.0,4.86,0.857,-0.2,-0.1429,0.0,-0.1429,-0.0571,-0.1429,0.0423,0.0347,0.0,11932.13,0.0,9195.4,9195.4,2736.73
2020-07-10,SC,Iporã do Oeste,18,0,94,31,8996,9135,4207650,6.8,122,94,28,0.857,5.71,4.86,0.0,4.86,0.857,-0.7714,-0.5143,0.0,-0.5143,-0.2571,0.0114,0.0549,0.0233,0.0,13355.23,0.0,10290.09,10290.09,3065.13
2020-07-11,SC,Iporã do Oeste,18,0,94,32,8996,9135,4207650,6.8,122,94,28,0.714,4.86,4.14,0.0,4.14,0.714,-0.1714,-0.0857,0.0,-0.0857,-0.0857,0.0514,0.123,0.0048,0.0,13355.23,0.0,10290.09,10290.09,3065.13
2020-07-12,SC,Iporã do Oeste,18,0,96,33,8996,9135,4207650,6.8,122,96,26,0.571,3.86,3.57,0.0,3.57,0.286,0.0286,0.0571,0.0,0.0571,-0.0286,0.12,0.0903,-0.0016,0.0,13355.23,0.0,10509.03,10509.03,2846.2
2020-07-13,SC,Iporã do Oeste,18,0,97,34,8996,9135,4207650,6.8,122,97,25,0.857,5.86,5.0,0.0,5.0,0.857,0.229,0.257,0.0,0.257,-0.0286,0.314,0.0663,-0.0096,0.0,13355.23,0.0,10618.5,10618.5,2736.73
2020-07-14,SC,Iporã do Oeste,19,0,102,35,8996,9135,4207650,6.8,129,102,27,0.857,5.86,5.14,0.0,5.14,0.714,0.4,0.371,0.0,0.371,0.0286,0.309,0.0343,-0.0361,0.0,14121.51,0.0,11165.85,11165.85,2955.67
2020-07-15,SC,Iporã do Oeste,19,0,103,36,8996,9135,4207650,6.8,129,103,26,1.0,6.86,6.14,0.0,6.14,0.714,0.8,0.686,0.0,0.686,0.114,0.343,0.0069,-0.0416,0.0,14121.51,0.0,11275.31,11275.31,2846.2
2020-07-16,SC,Iporã do Oeste,22,0,119,37,8996,9135,4207650,6.8,150,119,31,1.0,6.86,6.0,0.0,6.0,0.857,1.37,1.2,0.0,1.2,0.171,0.223,-0.0571,-0.0457,0.0,16420.36,0.0,13026.82,13026.82,3393.54
2020-07-17,SC,Iporã do Oeste,24,0,130,38,8996,9135,4207650,6.8,163,130,33,1.14,7.86,7.0,0.0,7.0,0.857,1.74,1.4,0.0,1.4,0.343,0.154,-0.1177,-0.0343,0.0,17843.46,0.0,14230.98,14230.98,3612.48
2020-07-18,SC,Iporã do Oeste,25,0,137,39,8996,9135,4207650,6.8,170,137,33,1.86,12.71,11.0,0.0,11.0,1.71,1.34,1.03,0.0,1.03,0.314,0.0286,-0.1623,-0.0217,0.0,18609.74,0.0,14997.26,14997.26,3612.48
2020-07-19,SC,Iporã do Oeste,25,0,138,40,8996,9135,4207650,6.8,170,138,32,2.14,14.57,12.14,0.0,12.14,2.43,1.17,0.886,0.0,0.886,0.286,-0.28,-0.1371,-0.005,0.0,18609.74,0.0,15106.73,15106.73,3503.01
