Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-04,GO,Israelândia,1,0,4,1,2800,2814,5210307,6.8,7,4,3,,,,,,,,,,,,,,,0.0,2487.56,0.0,1421.46,1421.46,1066.1
2020-06-05,GO,Israelândia,1,0,4,2,2800,2814,5210307,6.8,7,4,3,,,,,,,,,,,,,,,0.0,2487.56,0.0,1421.46,1421.46,1066.1
2020-06-06,GO,Israelândia,1,0,4,3,2800,2814,5210307,6.8,7,4,3,,,,,,,,,,,,,,,0.0,2487.56,0.0,1421.46,1421.46,1066.1
2020-06-07,GO,Israelândia,1,0,5,4,2800,2814,5210307,6.8,7,5,2,,,,,,,,,,,,,,,0.0,2487.56,0.0,1776.83,1776.83,710.73
2020-06-08,GO,Israelândia,2,0,9,5,2800,2814,5210307,6.8,14,9,5,0.143,1.0,0.714,0.0,0.714,0.286,,,,,,,,,0.0,4975.12,0.0,3198.29,3198.29,1776.83
2020-06-09,GO,Israelândia,2,0,9,6,2800,2814,5210307,6.8,14,9,5,0.143,1.0,0.714,0.0,0.714,0.286,,,,,,,,,0.0,4975.12,0.0,3198.29,3198.29,1776.83
2020-06-10,GO,Israelândia,2,0,9,7,2800,2814,5210307,6.8,14,9,5,0.143,1.0,0.857,0.0,0.857,0.143,,,,,,,,,0.0,4975.12,0.0,3198.29,3198.29,1776.83
2020-06-11,GO,Israelândia,2,0,9,8,2800,2814,5210307,6.8,14,9,5,0.143,1.0,0.714,0.0,0.714,0.286,-0.2,-0.1143,0.0,-0.1143,-0.0857,,,,0.0,4975.12,0.0,3198.29,3198.29,1776.83
2020-06-12,GO,Israelândia,2,0,9,9,2800,2814,5210307,6.8,14,9,5,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.2,-0.1143,0.0,-0.1143,-0.0857,,,,0.0,4975.12,0.0,3198.29,3198.29,1776.83
2020-06-13,GO,Israelândia,2,0,10,10,2800,2814,5210307,6.8,14,10,4,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.2,-0.1429,0.0,-0.1429,-0.0571,,,,0.0,4975.12,0.0,3553.66,3553.66,1421.46
