Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-17,SC,Itaiópolis,1,0,3,1,21669,21998,4208104,6.8,7,3,4,,,,,,,,,,,,,,,0.0,318.21,0.0,136.38,136.38,181.83
2020-04-18,SC,Itaiópolis,1,0,3,2,21669,21998,4208104,6.8,7,3,4,,,,,,,,,,,,,,,0.0,318.21,0.0,136.38,136.38,181.83
2020-04-19,SC,Itaiópolis,1,0,3,3,21669,21998,4208104,6.8,7,3,4,,,,,,,,,,,,,,,0.0,318.21,0.0,136.38,136.38,181.83
2020-04-20,SC,Itaiópolis,1,0,4,4,21669,21998,4208104,6.8,7,4,3,,,,,,,,,,,,,,,0.0,318.21,0.0,181.83,181.83,136.38
2020-04-21,SC,Itaiópolis,1,0,4,5,21669,21998,4208104,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,318.21,0.0,181.83,181.83,136.38
2020-04-22,SC,Itaiópolis,1,0,4,6,21669,21998,4208104,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,318.21,0.0,181.83,181.83,136.38
2020-04-23,SC,Itaiópolis,1,0,4,7,21669,21998,4208104,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,318.21,0.0,181.83,181.83,136.38
2020-04-24,SC,Itaiópolis,1,0,4,8,21669,21998,4208104,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,318.21,0.0,181.83,181.83,136.38
2020-04-25,SC,Itaiópolis,1,0,4,9,21669,21998,4208104,6.8,7,4,3,0.143,1.0,0.429,0.0,0.429,0.571,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,318.21,0.0,181.83,181.83,136.38
2020-04-26,SC,Itaiópolis,1,0,4,10,21669,21998,4208104,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.1429,0.0,-0.1429,-0.0571,,,,0.0,318.21,0.0,181.83,181.83,136.38
2020-04-27,SC,Itaiópolis,1,0,4,11,21669,21998,4208104,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.1143,0.0,-0.1143,-0.0857,0.0,,,0.0,318.21,0.0,181.83,181.83,136.38
2020-04-28,SC,Itaiópolis,2,0,7,12,21669,21998,4208104,6.8,14,7,7,-0.1429,-1.0,-0.5714,0.0,-0.5714,-0.4286,-0.4,-0.2,0.0,-0.2,-0.2,-0.04,,,0.0,636.42,0.0,318.21,318.21,318.21
2020-04-29,SC,Itaiópolis,1,0,4,13,21669,21998,4208104,6.8,7,4,3,-0.1429,-1.0,-0.5714,0.0,-0.5714,-0.4286,0.0,0.0,0.0,0.0,0.0,0.08,,,0.0,318.21,0.0,181.83,181.83,136.38
2020-04-30,SC,Itaiópolis,1,0,4,14,21669,21998,4208104,6.8,7,4,3,-0.1429,-1.0,-0.5714,0.0,-0.5714,-0.4286,-0.2,-0.0857,0.0,-0.0857,-0.1143,0.08,0.008,,0.0,318.21,0.0,181.83,181.83,136.38
2020-05-01,SC,Itaiópolis,0,0,0,15,21669,21998,4208104,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.114,0.0,0.114,0.0857,0.16,0.032,,,0.0,0.0,0.0,0.0,0.0
2020-05-02,SC,Itaiópolis,0,0,0,16,21669,21998,4208104,6.8,0,0,0,-0.1429,-1.0,-0.4286,0.0,-0.4286,-0.5714,0.2,0.114,0.0,0.114,0.0857,0.04,-0.024,,,0.0,0.0,0.0,0.0,0.0
2020-05-03,SC,Itaiópolis,0,0,0,17,21669,21998,4208104,6.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.229,0.0,0.229,0.171,0.12,-0.024,-0.0064,,0.0,0.0,0.0,0.0,0.0
2020-05-04,SC,Itaiópolis,1,0,4,18,21669,21998,4208104,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.114,0.0,0.114,0.0857,-0.04,-0.056,-0.016,0.0,318.21,0.0,181.83,181.83,136.38
2020-05-05,SC,Itaiópolis,1,0,4,19,21669,21998,4208104,6.8,7,4,3,0.143,1.0,0.571,0.0,0.571,0.429,0.4,0.2,0.0,0.2,0.2,-0.04,-0.024,0.0064,0.0,318.21,0.0,181.83,181.83,136.38
