Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-09,BA,Itapitanga,1,0,4,1,10313,10401,2916609,6.8,7,4,3,,,,,,,,,,,,,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-10,BA,Itapitanga,1,0,4,2,10313,10401,2916609,6.8,7,4,3,,,,,,,,,,,,,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-11,BA,Itapitanga,1,0,4,3,10313,10401,2916609,6.8,7,4,3,,,,,,,,,,,,,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-12,BA,Itapitanga,1,0,4,4,10313,10401,2916609,6.8,7,4,3,,,,,,,,,,,,,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-13,BA,Itapitanga,1,0,4,5,10313,10401,2916609,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-14,BA,Itapitanga,3,0,12,6,10313,10401,2916609,6.8,20,12,8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1922.89,0.0,1153.74,1153.74,769.16
2020-05-15,BA,Itapitanga,1,0,4,7,10313,10401,2916609,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-16,BA,Itapitanga,1,0,4,8,10313,10401,2916609,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,-0.3714,-0.2286,0.0,-0.2286,-0.1429,,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-17,BA,Itapitanga,1,0,4,9,10313,10401,2916609,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-18,BA,Itapitanga,1,0,4,10,10313,10401,2916609,6.8,7,4,3,-0.2857,-1.8571,-1.1429,0.0,-1.1429,-0.7143,0.371,0.229,0.0,0.229,0.143,,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-19,BA,Itapitanga,1,0,4,11,10313,10401,2916609,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.229,0.0,0.229,0.143,0.223,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-20,BA,Itapitanga,1,0,4,12,10313,10401,2916609,6.8,7,4,3,0.286,1.86,1.14,0.0,1.14,0.714,0.371,0.229,0.0,0.229,0.143,0.0743,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-21,BA,Itapitanga,1,0,4,13,10313,10401,2916609,6.8,7,4,3,0.286,1.86,1.14,0.0,1.14,0.714,0.743,0.457,0.0,0.457,0.286,-0.0743,,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-22,BA,Itapitanga,1,0,4,14,10313,10401,2916609,6.8,7,4,3,0.286,1.86,1.14,0.0,1.14,0.714,0.371,0.229,0.0,0.229,0.143,-0.0743,-0.0891,,0.0,673.01,0.0,384.58,384.58,288.43
2020-05-23,BA,Itapitanga,3,0,12,15,10313,10401,2916609,6.8,20,12,8,0.286,1.86,1.14,0.0,1.14,0.714,0.0,0.0,0.0,0.0,0.0,-0.1486,-0.0446,,0.0,1922.89,0.0,1153.74,1153.74,769.16
2020-05-24,BA,Itapitanga,3,0,12,16,10313,10401,2916609,6.8,20,12,8,0.286,1.86,1.14,0.0,1.14,0.714,0.0,0.0,0.0,0.0,0.0,-0.2229,0.024,,0.0,1922.89,0.0,1153.74,1153.74,769.16
2020-05-25,BA,Itapitanga,3,0,12,17,10313,10401,2916609,6.8,20,12,8,0.286,1.86,1.14,0.0,1.14,0.714,-0.3714,-0.2286,0.0,-0.2286,-0.1429,-0.1486,0.024,0.0361,0.0,1922.89,0.0,1153.74,1153.74,769.16
2020-05-26,BA,Itapitanga,3,0,12,18,10313,10401,2916609,6.8,20,12,8,0.286,1.86,1.14,0.0,1.14,0.714,-0.3714,-0.2286,0.0,-0.2286,-0.1429,0.0457,0.0686,0.0242,0.0,1922.89,0.0,1153.74,1153.74,769.16
2020-05-27,BA,Itapitanga,3,0,12,19,10313,10401,2916609,6.8,20,12,8,0.0,0.0,0.0,0.0,0.0,0.0,-0.3714,-0.2,0.0,-0.2,-0.1714,0.0457,0.0914,-0.0069,0.0,1922.89,0.0,1153.74,1153.74,769.16
2020-05-28,BA,Itapitanga,3,0,12,20,10313,10401,2916609,6.8,20,12,8,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.171,0.0,0.171,0.0571,0.194,0.0766,,0.0,1922.89,0.0,1153.74,1153.74,769.16
2020-05-29,BA,Itapitanga,3,0,12,21,10313,10401,2916609,6.8,20,12,8,0.0,0.0,0.143,0.0,0.143,-0.1429,0.229,0.171,0.0,0.171,0.0571,0.234,-0.0103,,0.0,1922.89,0.0,1153.74,1153.74,769.16
2020-05-30,BA,Itapitanga,3,0,12,22,10313,10401,2916609,6.8,20,12,8,0.429,3.0,2.0,0.0,2.0,1.0,0.6,0.4,0.0,0.4,0.2,0.234,,,0.0,1922.89,0.0,1153.74,1153.74,769.16
2020-05-31,BA,Itapitanga,3,0,12,23,10313,10401,2916609,6.8,20,12,8,0.429,3.0,2.0,0.0,2.0,1.0,0.8,0.514,0.0,0.514,0.286,-0.0057,,,0.0,1922.89,0.0,1153.74,1153.74,769.16
2020-06-01,BA,Itapitanga,3,0,13,24,10313,10401,2916609,6.8,20,13,7,0.429,3.0,2.0,0.0,2.0,1.0,0.8,0.514,0.0,0.514,0.286,,,,0.0,1922.89,0.0,1249.88,1249.88,673.01
2020-06-02,BA,Itapitanga,6,0,26,25,10313,10401,2916609,6.8,41,26,15,0.571,4.0,2.57,0.0,2.57,1.43,0.2,0.143,0.0,0.143,0.0571,,,,0.0,3941.93,0.0,2499.76,2499.76,1442.17
2020-06-03,BA,Itapitanga,6,0,26,26,10313,10401,2916609,6.8,41,26,15,0.571,4.0,2.71,0.0,2.71,1.29,,,,,,,,,0.0,3941.93,0.0,2499.76,2499.76,1442.17
