Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-19,SP,Itirapuã,1,0,6,1,6564,3523701,9.7,10,6,4,,,,,,,,,,,,,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-20,SP,Itirapuã,1,0,6,2,6564,3523701,9.7,10,6,4,,,,,,,,,,,,,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-21,SP,Itirapuã,1,0,6,3,6564,3523701,9.7,10,6,4,,,,,,,,,,,,,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-22,SP,Itirapuã,1,0,6,4,6564,3523701,9.7,10,6,4,,,,,,,,,,,,,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-23,SP,Itirapuã,1,0,6,5,6564,3523701,9.7,10,6,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-24,SP,Itirapuã,1,0,6,6,6564,3523701,9.7,10,6,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-25,SP,Itirapuã,1,0,6,7,6564,3523701,9.7,10,6,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-26,SP,Itirapuã,1,0,6,8,6564,3523701,9.7,10,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.171,0.0,0.171,0.0857,,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-27,SP,Itirapuã,1,0,6,9,6564,3523701,9.7,10,6,4,0.143,1.29,0.714,0.0,0.714,0.571,0.257,0.171,0.0,0.171,0.0857,,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-28,SP,Itirapuã,1,0,6,10,6564,3523701,9.7,10,6,4,0.143,1.29,0.857,0.0,0.857,0.429,0.257,0.171,0.0,0.171,0.0857,,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-29,SP,Itirapuã,1,0,6,11,6564,3523701,9.7,10,6,4,0.143,1.29,0.857,0.0,0.857,0.429,0.257,0.171,0.0,0.171,0.0857,-0.0514,,,0.0,1523.46,0.0,914.08,914.08,609.38
2020-05-30,SP,Itirapuã,2,0,11,12,6564,3523701,9.7,19,11,8,0.143,1.29,0.857,0.0,0.857,0.429,0.0,0.0286,0.0,0.0286,-0.0286,-0.1029,,,0.0,2894.58,0.0,1675.81,1675.81,1218.77
2020-05-31,SP,Itirapuã,2,0,12,13,6564,3523701,9.7,19,12,7,0.143,1.29,0.857,0.0,0.857,0.429,0.0,0.0,0.0,0.0,0.0,-0.1029,,,0.0,2894.58,0.0,1828.15,1828.15,1066.42
2020-06-01,SP,Itirapuã,2,0,12,14,6564,3523701,9.7,19,12,7,0.143,1.29,0.857,0.0,0.857,0.429,-0.2571,-0.1429,0.0,-0.1429,-0.1143,-0.1029,0.0,,0.0,2894.58,0.0,1828.15,1828.15,1066.42
2020-06-02,SP,Itirapuã,2,0,12,15,6564,3523701,9.7,19,12,7,0.143,1.29,0.857,0.0,0.857,0.429,-0.2571,-0.1714,0.0,-0.1714,-0.0857,-0.0514,0.0309,,0.0,2894.58,0.0,1828.15,1828.15,1066.42
