Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-06,SP,Itobi,1,0,4,1,7919,3523800,7.9,8,4,4,,,,,,,,,,,,,,,0.0,1010.23,0.0,505.11,505.11,505.11
2020-05-07,SP,Itobi,1,0,4,2,7919,3523800,7.9,8,4,4,,,,,,,,,,,,,,,0.0,1010.23,0.0,505.11,505.11,505.11
2020-05-08,SP,Itobi,1,0,4,3,7919,3523800,7.9,8,4,4,,,,,,,,,,,,,,,0.0,1010.23,0.0,505.11,505.11,505.11
2020-05-09,SP,Itobi,1,0,4,4,7919,3523800,7.9,8,4,4,,,,,,,,,,,,,,,0.0,1010.23,0.0,505.11,505.11,505.11
2020-05-10,SP,Itobi,1,0,5,5,7919,3523800,7.9,8,5,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-11,SP,Itobi,1,0,5,6,7919,3523800,7.9,8,5,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-12,SP,Itobi,1,0,5,7,7919,3523800,7.9,8,5,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-13,SP,Itobi,1,0,5,8,7919,3523800,7.9,8,5,3,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-14,SP,Itobi,1,0,5,9,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-15,SP,Itobi,1,0,5,10,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-16,SP,Itobi,1,0,5,11,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,0.0,,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-17,SP,Itobi,1,0,5,12,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-18,SP,Itobi,1,0,5,13,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-19,SP,Itobi,1,0,5,14,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-20,SP,Itobi,1,0,5,15,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-21,SP,Itobi,1,0,5,16,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457,0.0091,,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-22,SP,Itobi,1,0,5,17,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457,0.0091,-0.0055,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-23,SP,Itobi,1,0,5,18,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.143,0.0,0.143,0.0857,0.0457,0.0091,-0.0055,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-24,SP,Itobi,1,0,5,19,7919,3523800,7.9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.143,0.0,0.143,0.0857,0.0457,-0.0183,-0.0073,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-25,SP,Itobi,1,0,5,20,7919,3523800,7.9,8,5,3,0.143,1.14,0.714,0.0,0.714,0.429,0.229,0.143,0.0,0.143,0.0857,0.0457,-0.0183,-0.0073,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-26,SP,Itobi,1,0,5,21,7919,3523800,7.9,8,5,3,0.143,1.14,0.714,0.0,0.714,0.429,0.229,0.143,0.0,0.143,0.0857,-0.0457,-0.0274,-0.0055,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-27,SP,Itobi,1,0,5,22,7919,3523800,7.9,8,5,3,0.143,1.14,0.714,0.0,0.714,0.429,0.229,0.143,0.0,0.143,0.0857,-0.0457,-0.0274,0.0055,0.0,1010.23,0.0,631.39,631.39,378.84
2020-05-28,SP,Itobi,2,0,10,23,7919,3523800,7.9,16,10,6,0.143,1.14,0.714,0.0,0.714,0.429,0.0,0.0,0.0,0.0,0.0,-0.0914,-0.0183,0.0055,0.0,2020.46,0.0,1262.79,1262.79,757.67
2020-05-29,SP,Itobi,2,0,10,24,7919,3523800,7.9,16,10,6,0.143,1.14,0.714,0.0,0.714,0.429,0.0,0.0,0.0,0.0,0.0,-0.0914,0.0091,0.0128,0.0,2020.46,0.0,1262.79,1262.79,757.67
