Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-13,GO,Ivolândia,1,0,5,1,2394,5211602,8.3,8,5,3,,,,,,,,,,,,,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-14,GO,Ivolândia,1,0,5,2,2394,5211602,8.3,8,5,3,,,,,,,,,,,,,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-15,GO,Ivolândia,1,0,5,3,2394,5211602,8.3,8,5,3,,,,,,,,,,,,,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-16,GO,Ivolândia,1,0,5,4,2394,5211602,8.3,8,5,3,,,,,,,,,,,,,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-17,GO,Ivolândia,1,0,5,5,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-18,GO,Ivolândia,1,0,5,6,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-19,GO,Ivolândia,1,0,5,7,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-20,GO,Ivolândia,1,0,5,8,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-21,GO,Ivolândia,1,0,5,9,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-22,GO,Ivolândia,1,0,5,10,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-23,GO,Ivolândia,1,0,5,11,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-24,GO,Ivolândia,1,0,5,12,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-25,GO,Ivolândia,1,0,5,13,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-26,GO,Ivolândia,1,0,5,14,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971,0.0194,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-27,GO,Ivolândia,1,0,5,15,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0971,0.0194,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-28,GO,Ivolândia,1,0,5,16,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.486,0.314,0.0,0.314,0.171,0.0971,0.0194,,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-29,GO,Ivolândia,1,0,5,17,2394,5211602,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.486,0.314,0.0,0.314,0.171,0.0971,-0.0389,-0.0155,0.0,3341.69,0.0,2088.55,2088.55,1253.13
2020-05-30,GO,Ivolândia,1,0,5,18,2394,5211602,8.3,8,5,3,0.286,2.43,1.57,0.0,1.57,0.857,0.486,0.314,0.0,0.314,0.171,0.0971,-0.0389,-0.0155,0.0,3341.69,0.0,2088.55,2088.55,1253.13
