Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-18,PR,Jaguapitã,1,0,3,1,13620,13879,4111902,6.8,7,3,4,,,,,,,,,,,,,,,0.0,504.36,0.0,216.15,216.15,288.21
2020-04-19,PR,Jaguapitã,1,0,3,2,13620,13879,4111902,6.8,7,3,4,,,,,,,,,,,,,,,0.0,504.36,0.0,216.15,216.15,288.21
2020-04-20,PR,Jaguapitã,1,0,4,3,13620,13879,4111902,6.8,7,4,3,,,,,,,,,,,,,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-04-21,PR,Jaguapitã,1,0,4,4,13620,13879,4111902,6.8,7,4,3,,,,,,,,,,,,,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-04-22,PR,Jaguapitã,1,0,4,5,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-04-23,PR,Jaguapitã,1,0,4,6,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-04-24,PR,Jaguapitã,1,0,4,7,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-04-25,PR,Jaguapitã,1,0,4,8,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-04-26,PR,Jaguapitã,1,0,4,9,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-04-27,PR,Jaguapitã,1,0,4,10,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-04-28,PR,Jaguapitã,1,0,4,11,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-04-29,PR,Jaguapitã,1,0,4,12,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-04-30,PR,Jaguapitã,1,0,4,13,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-01,PR,Jaguapitã,1,0,4,14,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-02,PR,Jaguapitã,1,0,4,15,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-03,PR,Jaguapitã,1,0,4,16,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-04,PR,Jaguapitã,1,0,4,17,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-05,PR,Jaguapitã,1,0,4,18,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-06,PR,Jaguapitã,1,0,4,19,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-07,PR,Jaguapitã,1,0,4,20,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-08,PR,Jaguapitã,1,0,4,21,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-09,PR,Jaguapitã,1,0,4,22,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-10,PR,Jaguapitã,1,0,4,23,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-11,PR,Jaguapitã,1,0,4,24,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-12,PR,Jaguapitã,1,0,4,25,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-13,PR,Jaguapitã,1,0,4,26,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-14,PR,Jaguapitã,1,0,4,27,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-15,PR,Jaguapitã,1,0,4,28,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-16,PR,Jaguapitã,1,0,4,29,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-17,PR,Jaguapitã,1,0,4,30,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0016,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-18,PR,Jaguapitã,1,0,4,31,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0016,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-19,PR,Jaguapitã,1,0,4,32,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.008,0.0016,0.0,504.36,0.0,288.21,288.21,216.15
2020-05-20,PR,Jaguapitã,1,0,4,33,13620,13879,4111902,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.008,-0.0048,0.0,504.36,0.0,288.21,288.21,216.15
