date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-18,SP,Junqueirópolis,1,0,3,20886,3526001,7.3,7,3,4,,,,,,,,,,,,,,0.0,0.0,335.15,0.0,143.64,143.64,191.52
2020-04-19,SP,Junqueirópolis,1,0,4,20886,3526001,7.3,7,4,3,,,,,,,,,,,,,,0.0,0.0,335.15,0.0,191.52,191.52,143.64
2020-04-20,SP,Junqueirópolis,1,0,4,20886,3526001,7.3,7,4,3,,,,,,,,,,,,,,0.0,0.0,335.15,0.0,191.52,191.52,143.64
2020-04-21,SP,Junqueirópolis,1,0,4,20886,3526001,7.3,7,4,3,0.0,0.167,,,,,,,,,,,,0.0,0.0,335.15,0.0,191.52,191.52,143.64
2020-04-22,SP,Junqueirópolis,1,0,4,20886,3526001,7.3,7,4,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,335.15,0.0,191.52,191.52,143.64
2020-04-23,SP,Junqueirópolis,1,0,4,20886,3526001,7.3,7,4,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,335.15,0.0,191.52,191.52,143.64
2020-04-24,SP,Junqueirópolis,1,0,4,20886,3526001,7.3,7,4,3,0.0,0.0,,,,,0.0833,,,,,,,0.0,0.0,335.15,0.0,191.52,191.52,143.64
2020-04-25,SP,Junqueirópolis,1,0,4,20886,3526001,7.3,7,4,3,1.33,0.667,,,,,,,,,,,,0.0,0.0,335.15,0.0,191.52,191.52,143.64
2020-04-26,SP,Junqueirópolis,1,0,4,20886,3526001,7.3,7,4,3,1.33,0.667,,,,,,,,,,,,0.0,0.0,335.15,0.0,191.52,191.52,143.64
2020-04-27,SP,Junqueirópolis,1,0,4,20886,3526001,7.3,7,4,3,1.33,0.667,,,,,,,,,,,,0.0,0.0,335.15,0.0,191.52,191.52,143.64
2020-04-28,SP,Junqueirópolis,2,0,8,20886,3526001,7.3,15,8,7,1.33,0.667,,,,-0.2222,-0.1111,,,,,,,0.0,0.0,718.18,0.0,383.03,383.03,335.15
2020-04-29,SP,Junqueirópolis,2,0,8,20886,3526001,7.3,15,8,7,1.33,0.667,,,,-0.0278,0.0,,,,,,,0.0,0.0,718.18,0.0,383.03,383.03,335.15
2020-04-30,SP,Junqueirópolis,2,0,8,20886,3526001,7.3,15,8,7,1.33,0.667,,,,0.972,0.556,,,,,,,0.0,0.0,718.18,0.0,383.03,383.03,335.15
2020-05-01,SP,Junqueirópolis,2,0,8,20886,3526001,7.3,15,8,7,0.0,0.0,,,,0.972,0.556,,,,,,,0.0,0.0,718.18,0.0,383.03,383.03,335.15
2020-05-02,SP,Junqueirópolis,2,0,8,20886,3526001,7.3,15,8,7,1.17,0.667,,,,1.39,0.778,,,,,,,0.0,0.0,718.18,0.0,383.03,383.03,335.15
2020-05-03,SP,Junqueirópolis,2,0,8,20886,3526001,7.3,15,8,7,7.17,4.0,,,,1.39,0.778,,,,0.0625,,,0.0,0.0,718.18,0.0,383.03,383.03,335.15
2020-05-04,SP,Junqueirópolis,2,0,8,20886,3526001,7.3,15,8,7,7.17,4.0,,,,,,,,,-0.5417,,,0.0,0.0,718.18,0.0,383.03,383.03,335.15
2020-05-05,SP,Junqueirópolis,3,0,12,20886,3526001,7.3,22,12,10,9.67,5.33,,,,1.22,0.722,,,,-0.2361,-0.0781,,0.0,0.0,1053.34,0.0,574.55,574.55,478.79
2020-05-06,SP,Junqueirópolis,8,0,32,20886,3526001,7.3,58,32,26,9.67,5.33,,,,-0.7778,-0.3611,,,,,,,0.0,0.0,2776.98,0.0,1532.13,1532.13,1244.85
2020-05-07,SP,Junqueirópolis,8,0,32,20886,3526001,7.3,58,32,26,9.67,5.5,,,,0.444,0.333,,,,-0.25,,,0.0,0.0,2776.98,0.0,1532.13,1532.13,1244.85
2020-05-08,SP,Junqueirópolis,10,0,40,20886,3526001,7.3,73,40,33,8.5,5.0,,,,0.222,0.25,,,,,,,0.0,0.0,3495.16,0.0,1915.16,1915.16,1580.01
2020-05-09,SP,Junqueirópolis,10,0,40,20886,3526001,7.3,73,40,33,2.5,1.83,,,,0.222,0.194,,,,-0.0069,,,0.0,0.0,3495.16,0.0,1915.16,1915.16,1580.01
2020-05-10,SP,Junqueirópolis,10,0,41,20886,3526001,7.3,73,41,32,9.83,6.0,,,,0.222,0.167,,,,0.299,,,0.0,0.0,3495.16,0.0,1963.04,1963.04,1532.13
2020-05-11,SP,Junqueirópolis,10,0,42,20886,3526001,7.3,73,42,31,11.0,6.83,,,,0.417,0.278,,,,-0.3125,,,0.0,0.0,3495.16,0.0,2010.92,2010.92,1484.25
2020-05-12,SP,Junqueirópolis,10,0,43,20886,3526001,7.3,73,43,30,11.0,6.5,,,,1.42,0.778,,,,-0.4167,-0.2274,,0.0,0.0,3495.16,0.0,2058.8,2058.8,1436.37
2020-05-13,SP,Junqueirópolis,16,0,68,20886,3526001,7.3,117,68,49,11.0,6.5,,,,-1.0278,-0.6111,,,,-0.4097,,,0.0,0.0,5601.84,0.0,3255.77,3255.77,2346.07
2020-05-14,SP,Junqueirópolis,19,0,81,20886,3526001,7.3,139,81,58,11.0,6.67,,,,-1.4444,-0.9167,,,,-0.6111,,,0.0,0.0,6655.18,0.0,3878.2,3878.2,2776.98
2020-05-15,SP,Junqueirópolis,19,1,79,20886,3526001,7.3,139,80,59,11.0,6.5,,,,-1.2222,-0.6667,,,,,,,0.0125,0.0072,6655.18,47.88,3782.44,3830.32,2824.86
2020-05-16,SP,Junqueirópolis,19,1,80,20886,3526001,7.3,139,81,58,3.67,2.33,,,,-1.0278,-0.5833,,,,,,,0.0123,0.0072,6655.18,47.88,3830.32,3878.2,2776.98
2020-05-17,SP,Junqueirópolis,19,1,82,20886,3526001,7.3,139,83,56,2.33,1.33,,,,-1.0278,-0.6389,,,,,,,0.012,0.0072,6655.18,47.88,3926.07,3973.95,2681.22
2020-05-18,SP,Junqueirópolis,19,1,82,20886,3526001,7.3,139,83,56,3.67,2.5,0.0,2.5,1.17,-1.0278,-0.5833,,,,,,,0.012,0.0072,6655.18,47.88,3926.07,3973.95,2681.22
2020-05-19,SP,Junqueirópolis,19,1,82,20886,3526001,7.3,139,83,56,4.83,3.0,0.0,3.0,1.83,0.194,0.194,,,,,,,0.012,0.0072,6655.18,47.88,3926.07,3973.95,2681.22
2020-05-20,SP,Junqueirópolis,21,1,89,20886,3526001,7.3,153,90,63,4.83,2.83,0.0,2.83,2.0,0.0278,0.194,,,,,,,0.0111,0.0065,7325.48,47.88,4261.23,4309.11,3016.37
2020-05-21,SP,Junqueirópolis,22,1,94,20886,3526001,7.3,161,95,66,4.83,3.0,0.0,3.0,1.83,-0.0278,0.111,,,,-0.1528,,,0.0105,0.0062,7708.51,47.88,4500.62,4548.5,3160.01
2020-05-22,SP,Junqueirópolis,23,1,98,20886,3526001,7.3,168,99,69,4.83,3.5,0.0,3.5,1.33,-0.4167,-0.1111,,,,-0.1111,,,0.0101,0.006,8043.67,47.88,4692.14,4740.02,3303.65
2020-05-23,SP,Junqueirópolis,23,1,99,20886,3526001,7.3,168,100,68,2.5,2.5,0.0,2.5,0.0,-0.4167,-0.1389,,,,,,,0.01,0.006,8043.67,47.88,4740.02,4787.9,3255.77
2020-05-24,SP,Junqueirópolis,23,1,100,20886,3526001,7.3,168,101,67,3.5,3.17,0.0,3.17,0.333,-0.4167,-0.2222,,,,,,,0.0099,0.006,8043.67,47.88,4787.9,4835.78,3207.89
2020-05-25,SP,Junqueirópolis,23,1,103,20886,3526001,7.3,168,104,64,2.33,2.33,0.0,2.33,0.0,-0.4167,-0.3333,,,,,,,0.0096,0.006,8043.67,47.88,4931.53,4979.41,3064.25
2020-05-26,SP,Junqueirópolis,23,1,104,20886,3526001,7.3,168,105,63,2.33,2.0,0.0,2.0,0.333,-0.0278,-0.0833,,,,,,,0.0095,0.006,8043.67,47.88,4979.41,5027.29,3016.37
2020-05-27,SP,Junqueirópolis,25,1,113,20886,3526001,7.3,182,114,68,2.33,1.67,0.0,1.67,0.667,-0.5833,-0.4444,,,,,,,0.0088,0.0055,8713.97,47.88,5410.32,5458.2,3255.77
2020-05-28,SP,Junqueirópolis,25,1,112,20886,3526001,7.3,182,113,69,2.33,1.5,0.0,1.5,0.833,-0.3889,-0.3056,,,,,,,0.0088,0.0055,8713.97,47.88,5362.44,5410.32,3303.65
2020-05-29,SP,Junqueirópolis,25,1,111,20886,3526001,7.3,182,112,70,2.33,2.0,0.0,2.0,0.333,-0.3889,-0.2222,,,,,,,0.0089,0.0055,8713.97,47.88,5314.56,5362.44,3351.53
2020-05-30,SP,Junqueirópolis,25,1,110,20886,3526001,7.3,182,111,71,0.0,0.5,0.0,0.5,-0.5,-0.1667,0.0,,,,,,,0.009,0.0055,8713.97,47.88,5266.69,5314.56,3399.41
