Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-08,GO,Mimoso de Goiás,3,0,13,1,2623,5213053,6.8,20,13,7,,,,,,,,,,,,,,,0.0,7624.86,0.0,4956.16,4956.16,2668.7
2020-06-09,GO,Mimoso de Goiás,3,0,13,2,2623,5213053,6.8,20,13,7,,,,,,,,,,,,,,,0.0,7624.86,0.0,4956.16,4956.16,2668.7
2020-06-10,GO,Mimoso de Goiás,3,0,13,3,2623,5213053,6.8,20,13,7,,,,,,,,,,,,,,,0.0,7624.86,0.0,4956.16,4956.16,2668.7
2020-06-11,GO,Mimoso de Goiás,3,0,13,4,2623,5213053,6.8,20,13,7,,,,,,,,,,,,,,,0.0,7624.86,0.0,4956.16,4956.16,2668.7
2020-06-12,GO,Mimoso de Goiás,3,0,14,5,2623,5213053,6.8,20,14,6,0.143,1.0,0.857,0.0,0.857,0.143,,,,,,,,,0.0,7624.86,0.0,5337.4,5337.4,2287.46
2020-06-13,GO,Mimoso de Goiás,3,0,14,6,2623,5213053,6.8,20,14,6,0.143,1.0,0.857,0.0,0.857,0.143,,,,,,,,,0.0,7624.86,0.0,5337.4,5337.4,2287.46
2020-06-14,GO,Mimoso de Goiás,3,0,14,7,2623,5213053,6.8,20,14,6,0.143,1.0,0.857,0.0,0.857,0.143,,,,,,,,,0.0,7624.86,0.0,5337.4,5337.4,2287.46
2020-06-15,GO,Mimoso de Goiás,4,0,19,8,2623,5213053,6.8,27,19,8,0.143,1.0,0.857,0.0,0.857,0.143,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,10293.56,0.0,7243.61,7243.61,3049.94
2020-06-16,GO,Mimoso de Goiás,4,0,19,9,2623,5213053,6.8,27,19,8,0.143,1.0,0.714,0.0,0.714,0.286,0.0,-0.0286,0.0,-0.0286,0.0286,,,,0.0,10293.56,0.0,7243.61,7243.61,3049.94
2020-06-17,GO,Mimoso de Goiás,4,0,19,10,2623,5213053,6.8,27,19,8,0.143,1.0,0.714,0.0,0.714,0.286,-0.2,-0.1429,0.0,-0.1429,-0.0571,,,,0.0,10293.56,0.0,7243.61,7243.61,3049.94
2020-06-18,GO,Mimoso de Goiás,4,0,19,11,2623,5213053,6.8,27,19,8,0.143,1.0,0.714,0.0,0.714,0.286,-0.2,-0.1429,0.0,-0.1429,-0.0571,-0.04,,,0.0,10293.56,0.0,7243.61,7243.61,3049.94
2020-06-19,GO,Mimoso de Goiás,4,0,19,12,2623,5213053,6.8,27,19,8,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.2,-0.1143,0.0,-0.1143,-0.0857,-0.04,,,0.0,10293.56,0.0,7243.61,7243.61,3049.94
