Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-12,PA,Mojuí dos Campos,1,0,4,1,16084,16346,1504752,6.8,7,4,3,,,,,,,,,,,,,,,0.0,428.24,0.0,244.71,244.71,183.53
2020-05-13,PA,Mojuí dos Campos,1,0,4,2,16084,16346,1504752,6.8,7,4,3,,,,,,,,,,,,,,,0.0,428.24,0.0,244.71,244.71,183.53
2020-05-14,PA,Mojuí dos Campos,1,0,4,3,16084,16346,1504752,6.8,7,4,3,,,,,,,,,,,,,,,0.0,428.24,0.0,244.71,244.71,183.53
2020-05-15,PA,Mojuí dos Campos,3,0,11,4,16084,16346,1504752,6.8,20,11,9,,,,,,,,,,,,,,,0.0,1223.54,0.0,672.95,672.95,550.59
2020-05-16,PA,Mojuí dos Campos,4,0,15,5,16084,16346,1504752,6.8,27,15,12,,,,,,,,,,,,,,,0.0,1651.78,0.0,917.66,917.66,734.12
2020-05-17,PA,Mojuí dos Campos,5,0,20,6,16084,16346,1504752,6.8,34,20,14,,,,,,,,,,,,,,,0.0,2080.02,0.0,1223.54,1223.54,856.48
2020-05-18,PA,Mojuí dos Campos,5,0,20,7,16084,16346,1504752,6.8,34,20,14,,,,,,,,,,,,,,,0.0,2080.02,0.0,1223.54,1223.54,856.48
2020-05-20,PA,Mojuí dos Campos,6,1,24,8,16084,16346,1504752,6.8,41,25,16,,,,,,,,,,,,,,,0.04,2508.26,61.18,1468.25,1529.43,978.83
2020-05-21,PA,Mojuí dos Campos,6,1,24,9,16084,16346,1504752,6.8,41,25,16,,,,,,,,,,,,,,,0.04,2508.26,61.18,1468.25,1529.43,978.83
2020-05-22,PA,Mojuí dos Campos,6,1,24,10,16084,16346,1504752,6.8,41,25,16,,,,,,,,,,,,,,,0.04,2508.26,61.18,1468.25,1529.43,978.83
2020-05-23,PA,Mojuí dos Campos,6,1,24,11,16084,16346,1504752,6.8,41,25,16,,,,,,,,,,,,,,,0.04,2508.26,61.18,1468.25,1529.43,978.83
2020-05-24,PA,Mojuí dos Campos,6,1,24,12,16084,16346,1504752,6.8,41,25,16,1.0,6.71,4.43,0.0,4.43,2.29,,,,,,,,,0.04,2508.26,61.18,1468.25,1529.43,978.83
2020-05-25,PA,Mojuí dos Campos,13,1,54,13,16084,16346,1504752,6.8,88,55,33,1.14,7.71,4.86,0.0,4.86,2.86,,,,,,,,,0.0182,5383.58,61.18,3303.56,3364.74,2018.84
2020-05-26,PA,Mojuí dos Campos,13,1,54,14,16084,16346,1504752,6.8,88,55,33,1.29,8.71,5.43,0.143,5.57,3.14,,,,,,,,,0.0182,5383.58,61.18,3303.56,3364.74,2018.84
2020-05-27,PA,Mojuí dos Campos,13,1,55,15,16084,16346,1504752,6.8,88,56,32,1.29,8.71,5.29,0.143,5.43,3.29,-0.7429,-0.4571,0.0286,-0.4286,-0.3143,,,,0.0179,5383.58,61.18,3364.74,3425.91,1957.67
