Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-28,GO,Mutunópolis,1,0,4,1,3778,3802,5214101,6.8,7,4,3,,,,,,,,,,,,,,,0.0,1841.14,0.0,1052.08,1052.08,789.06
2020-05-29,GO,Mutunópolis,1,0,4,2,3778,3802,5214101,6.8,7,4,3,,,,,,,,,,,,,,,0.0,1841.14,0.0,1052.08,1052.08,789.06
2020-05-30,GO,Mutunópolis,1,0,4,3,3778,3802,5214101,6.8,7,4,3,,,,,,,,,,,,,,,0.0,1841.14,0.0,1052.08,1052.08,789.06
2020-05-31,GO,Mutunópolis,1,0,4,4,3778,3802,5214101,6.8,7,4,3,,,,,,,,,,,,,,,0.0,1841.14,0.0,1052.08,1052.08,789.06
2020-06-01,GO,Mutunópolis,1,0,4,5,3778,3802,5214101,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1841.14,0.0,1052.08,1052.08,789.06
2020-06-02,GO,Mutunópolis,1,0,4,6,3778,3802,5214101,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1841.14,0.0,1052.08,1052.08,789.06
2020-06-03,GO,Mutunópolis,1,0,4,7,3778,3802,5214101,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1841.14,0.0,1052.08,1052.08,789.06
2020-06-04,GO,Mutunópolis,1,0,4,8,3778,3802,5214101,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,0.371,0.257,0.0,0.257,0.114,,,,0.0,1841.14,0.0,1052.08,1052.08,789.06
2020-06-05,GO,Mutunópolis,1,0,4,9,3778,3802,5214101,6.8,7,4,3,0.0,0.0,0.143,0.0,0.143,-0.1429,0.371,0.257,0.0,0.257,0.114,,,,0.0,1841.14,0.0,1052.08,1052.08,789.06
2020-06-06,GO,Mutunópolis,1,0,4,10,3778,3802,5214101,6.8,7,4,3,0.286,1.86,1.29,0.0,1.29,0.571,0.371,0.257,0.0,0.257,0.114,,,,0.0,1841.14,0.0,1052.08,1052.08,789.06
