Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-15,GO,Nazário,3,0,18,1,9233,5214408,8.3,25,18,7,,,,,,,,,,,,,,,0.0,2707.68,0.0,1949.53,1949.53,758.15
2020-06-16,GO,Nazário,2,0,12,2,9233,5214408,8.3,17,12,5,,,,,,,,,,,,,,,0.0,1841.22,0.0,1299.69,1299.69,541.54
2020-06-17,GO,Nazário,3,0,18,3,9233,5214408,8.3,25,18,7,,,,,,,,,,,,,,,0.0,2707.68,0.0,1949.53,1949.53,758.15
2020-06-18,GO,Nazário,3,0,18,4,9233,5214408,8.3,25,18,7,,,,,,,,,,,,,,,0.0,2707.68,0.0,1949.53,1949.53,758.15
2020-06-19,GO,Nazário,3,0,18,5,9233,5214408,8.3,25,18,7,0.143,1.14,0.857,0.0,0.857,0.286,,,,,,,,,0.0,2707.68,0.0,1949.53,1949.53,758.15
2020-06-20,GO,Nazário,3,0,18,6,9233,5214408,8.3,25,18,7,0.286,2.29,1.71,0.0,1.71,0.571,,,,,,,,,0.0,2707.68,0.0,1949.53,1949.53,758.15
2020-06-21,GO,Nazário,3,0,18,7,9233,5214408,8.3,25,18,7,0.143,1.14,0.857,0.0,0.857,0.286,,,,,,,,,0.0,2707.68,0.0,1949.53,1949.53,758.15
2020-06-22,GO,Nazário,4,0,24,8,9233,5214408,8.3,33,24,9,0.286,2.43,1.71,0.0,1.71,0.714,0.714,0.514,0.0,0.514,0.2,,,,0.0,3574.14,0.0,2599.37,2599.37,974.76
2020-06-23,GO,Nazário,4,0,24,9,9233,5214408,8.3,33,24,9,0.571,4.71,3.43,0.0,3.43,1.29,0.486,0.371,0.0,0.371,0.114,,,,0.0,3574.14,0.0,2599.37,2599.37,974.76
2020-06-24,GO,Nazário,4,0,24,10,9233,5214408,8.3,33,24,9,0.571,4.71,3.43,0.0,3.43,1.29,0.486,0.371,0.0,0.371,0.114,,,,0.0,3574.14,0.0,2599.37,2599.37,974.76
2020-06-25,GO,Nazário,5,0,30,11,9233,5214408,8.3,42,30,12,0.571,4.71,3.57,0.0,3.57,1.14,0.229,0.2,0.0,0.2,0.0286,-0.24,,,0.0,4548.9,0.0,3249.21,3249.21,1299.69
2020-06-26,GO,Nazário,7,0,42,12,9233,5214408,8.3,58,42,16,0.429,3.57,2.71,0.0,2.71,0.857,-0.2286,-0.1429,0.0,-0.1429,-0.0857,-0.2857,,,0.0,6281.82,0.0,4548.9,4548.9,1732.91
2020-06-27,GO,Nazário,7,0,42,13,9233,5214408,8.3,58,42,16,0.429,3.57,2.71,0.0,2.71,0.857,-0.4857,-0.3143,0.0,-0.3143,-0.1714,-0.24,,,0.0,6281.82,0.0,4548.9,4548.9,1732.91
2020-06-28,GO,Nazário,7,0,43,14,9233,5214408,8.3,58,43,15,0.429,3.57,2.71,0.0,2.71,0.857,-0.9429,-0.6857,0.0,-0.6857,-0.2571,-0.1886,0.0583,,0.0,6281.82,0.0,4657.21,4657.21,1624.61
2020-06-29,GO,Nazário,7,0,43,15,9233,5214408,8.3,58,43,15,0.286,2.29,1.86,0.0,1.86,0.429,-0.7143,-0.5143,0.0,-0.5143,-0.2,-0.0971,0.104,,0.0,6281.82,0.0,4657.21,4657.21,1624.61
2020-06-30,GO,Nazário,7,0,43,16,9233,5214408,8.3,58,43,15,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.7143,-0.5143,0.0,-0.5143,-0.2,0.0514,0.153,,0.0,6281.82,0.0,4657.21,4657.21,1624.61
2020-07-01,GO,Nazário,7,0,43,17,9233,5214408,8.3,58,43,15,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.7143,-0.4857,0.0,-0.4857,-0.2286,0.234,0.143,0.0016,0.0,6281.82,0.0,4657.21,4657.21,1624.61
2020-07-02,GO,Nazário,7,0,43,18,9233,5214408,8.3,58,43,15,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.2286,-0.1429,0.0,-0.1429,-0.0857,0.526,0.125,,0.0,6281.82,0.0,4657.21,4657.21,1624.61
2020-07-03,GO,Nazário,7,0,43,19,9233,5214408,8.3,58,43,15,0.0,0.0,0.286,0.0,0.286,-0.2857,0.229,0.2,0.0,0.2,0.0286,0.526,0.0663,,0.0,6281.82,0.0,4657.21,4657.21,1624.61
2020-07-04,GO,Nazário,7,0,43,20,9233,5214408,8.3,58,43,15,0.143,1.14,1.14,0.0,1.14,0.0,1.91,1.49,0.0,1.49,0.429,0.526,,,0.0,6281.82,0.0,4657.21,4657.21,1624.61
2020-07-05,GO,Nazário,7,0,44,21,9233,5214408,8.3,58,44,14,0.143,1.14,1.14,0.0,1.14,0.0,1.91,1.49,0.0,1.49,0.429,0.383,,,0.0,6281.82,0.0,4765.52,4765.52,1516.3
2020-07-06,GO,Nazário,7,0,45,22,9233,5214408,8.3,58,45,13,1.14,9.57,7.57,0.0,7.57,2.0,1.91,1.49,0.0,1.49,0.429,,,,0.0,6281.82,0.0,4873.82,4873.82,1407.99
2020-07-07,GO,Nazário,8,0,51,23,9233,5214408,8.3,66,51,15,1.14,9.57,7.57,0.0,7.57,2.0,1.69,1.31,0.0,1.31,0.371,,,,0.0,7148.27,0.0,5523.67,5523.67,1624.61
2020-07-08,GO,Nazário,8,0,51,24,9233,5214408,8.3,66,51,15,1.14,9.57,7.71,0.0,7.71,1.86,,,,,,,,,0.0,7148.27,0.0,5523.67,5523.67,1624.61
2020-07-09,GO,Nazário,15,0,96,25,9233,5214408,8.3,125,96,29,1.14,9.57,7.71,0.0,7.71,1.86,,,,,,,,,0.0,13538.39,0.0,10397.49,10397.49,3140.91
2020-07-10,GO,Nazário,15,0,96,26,9233,5214408,8.3,125,96,29,,,,,,,,,,,,,,,0.0,13538.39,0.0,10397.49,10397.49,3140.91
2020-07-11,GO,Nazário,15,0,97,27,9233,5214408,8.3,125,97,28,,,,,,,,,,,,,,,0.0,13538.39,0.0,10505.79,10505.79,3032.6
2020-07-12,GO,Nazário,15,0,98,28,9233,5214408,8.3,125,98,27,,,,,,,,,,,,,,,0.0,13538.39,0.0,10614.1,10614.1,2924.29
