Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-18,PR,Nova Aurora,1,0,5,1,10577,4116703,8.3,8,5,3,,,,,,,,,,,,,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-19,PR,Nova Aurora,1,0,5,2,10577,4116703,8.3,8,5,3,,,,,,,,,,,,,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-20,PR,Nova Aurora,1,0,5,3,10577,4116703,8.3,8,5,3,,,,,,,,,,,,,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-21,PR,Nova Aurora,1,0,5,4,10577,4116703,8.3,8,5,3,,,,,,,,,,,,,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-22,PR,Nova Aurora,1,0,5,5,10577,4116703,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-23,PR,Nova Aurora,1,0,5,6,10577,4116703,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-24,PR,Nova Aurora,1,0,5,7,10577,4116703,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-25,PR,Nova Aurora,1,0,5,8,10577,4116703,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.143,0.0,0.143,0.114,,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-26,PR,Nova Aurora,1,0,5,9,10577,4116703,8.3,8,5,3,0.143,1.29,0.714,0.0,0.714,0.571,0.257,0.171,0.0,0.171,0.0857,,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-27,PR,Nova Aurora,1,0,5,10,10577,4116703,8.3,8,5,3,0.143,1.29,0.714,0.0,0.714,0.571,0.257,0.171,0.0,0.171,0.0857,,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-28,PR,Nova Aurora,1,0,5,11,10577,4116703,8.3,8,5,3,0.143,1.29,0.857,0.0,0.857,0.429,0.257,0.171,0.0,0.171,0.0857,-0.0514,,,0.0,756.36,0.0,472.72,472.72,283.63
2020-05-29,PR,Nova Aurora,2,0,10,12,10577,4116703,8.3,17,10,7,0.143,1.29,0.857,0.0,0.857,0.429,0.0,0.0286,0.0,0.0286,-0.0286,-0.1029,,,0.0,1607.26,0.0,945.45,945.45,661.81
2020-05-30,PR,Nova Aurora,2,0,10,13,10577,4116703,8.3,17,10,7,0.143,1.29,0.857,0.0,0.857,0.429,0.0,0.0286,0.0,0.0286,-0.0286,-0.1029,,,0.0,1607.26,0.0,945.45,945.45,661.81
2020-05-31,PR,Nova Aurora,2,0,11,14,10577,4116703,8.3,17,11,6,0.143,1.29,0.857,0.0,0.857,0.429,-0.2571,-0.1429,0.0,-0.1429,-0.1143,-0.1029,0.0,,0.0,1607.26,0.0,1039.99,1039.99,567.27
2020-06-01,PR,Nova Aurora,2,0,11,15,10577,4116703,8.3,17,11,6,0.143,1.29,0.857,0.0,0.857,0.429,-0.2571,-0.1429,0.0,-0.1429,-0.1143,-0.0514,0.04,,0.0,1607.26,0.0,1039.99,1039.99,567.27
2020-06-02,PR,Nova Aurora,2,0,11,16,10577,4116703,8.3,17,11,6,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.2571,-0.1714,0.0,-0.1714,-0.0857,-0.0514,0.04,,0.0,1607.26,0.0,1039.99,1039.99,567.27
2020-06-03,PR,Nova Aurora,2,0,11,17,10577,4116703,8.3,17,11,6,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.2571,-0.1714,0.0,-0.1714,-0.0857,0.0971,0.04,0.0059,0.0,1607.26,0.0,1039.99,1039.99,567.27
2020-06-04,PR,Nova Aurora,2,0,11,18,10577,4116703,8.3,17,11,6,0.0,0.0,0.0,0.0,0.0,0.0,-0.2571,-0.1714,0.0,-0.1714,-0.0857,0.0971,0.0297,-0.0137,0.0,1607.26,0.0,1039.99,1039.99,567.27
2020-06-05,PR,Nova Aurora,2,0,11,19,10577,4116703,8.3,17,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.143,0.0,0.143,0.0857,0.0971,0.0297,-0.0137,0.0,1607.26,0.0,1039.99,1039.99,567.27
2020-06-06,PR,Nova Aurora,2,0,11,20,10577,4116703,8.3,17,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.229,0.143,0.0,0.143,0.0857,0.0971,-0.0286,-0.0137,0.0,1607.26,0.0,1039.99,1039.99,567.27
2020-06-07,PR,Nova Aurora,2,0,11,21,10577,4116703,8.3,17,11,6,0.143,1.14,0.857,0.0,0.857,0.286,0.229,0.171,0.0,0.171,0.0571,0.0971,-0.0286,-0.0117,0.0,1607.26,0.0,1039.99,1039.99,567.27
