Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-28,RN,Nova Cruz,2,0,7,1,37716,2408300,6.8,14,7,7,,,,,,,,,,,,,,,0.0,371.2,0.0,185.6,185.6,185.6
2020-04-29,RN,Nova Cruz,2,0,7,2,37716,2408300,6.8,14,7,7,,,,,,,,,,,,,,,0.0,371.2,0.0,185.6,185.6,185.6
2020-04-30,RN,Nova Cruz,2,0,7,3,37716,2408300,6.8,14,7,7,,,,,,,,,,,,,,,0.0,371.2,0.0,185.6,185.6,185.6
2020-05-01,RN,Nova Cruz,2,0,7,4,37716,2408300,6.8,14,7,7,,,,,,,,,,,,,,,0.0,371.2,0.0,185.6,185.6,185.6
2020-05-02,RN,Nova Cruz,2,0,8,5,37716,2408300,6.8,14,8,6,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,371.2,0.0,212.11,212.11,159.08
2020-05-03,RN,Nova Cruz,2,0,8,6,37716,2408300,6.8,14,8,6,0.0,0.0,0.143,0.0,0.143,-0.1429,,,,,,,,,0.0,371.2,0.0,212.11,212.11,159.08
2020-05-04,RN,Nova Cruz,2,0,8,7,37716,2408300,6.8,14,8,6,,,,,,,,,,,,,,,0.0,371.2,0.0,212.11,212.11,159.08
2020-05-05,RN,Nova Cruz,2,0,8,8,37716,2408300,6.8,14,8,6,,,,,,,,,,,,,,,0.0,371.2,0.0,212.11,212.11,159.08
2020-05-06,RN,Nova Cruz,2,0,8,9,37716,2408300,6.8,14,8,6,,,,,,,,,,,,,,,0.0,371.2,0.0,212.11,212.11,159.08
2020-05-08,RN,Nova Cruz,4,0,15,10,37716,2408300,6.8,27,15,12,,,,,,,,,,,,,,,0.0,715.88,0.0,397.71,397.71,318.17
2020-05-10,RN,Nova Cruz,4,0,15,11,37716,2408300,6.8,27,15,12,,,,,,,,,,,,,,,0.0,715.88,0.0,397.71,397.71,318.17
2020-05-11,RN,Nova Cruz,4,0,16,12,37716,2408300,6.8,27,16,11,,,,,,,,,,,,,,,0.0,715.88,0.0,424.22,424.22,291.65
2020-05-12,RN,Nova Cruz,4,0,16,13,37716,2408300,6.8,27,16,11,,,,,,,,,,,,,,,0.0,715.88,0.0,424.22,424.22,291.65
2020-05-13,RN,Nova Cruz,5,0,20,14,37716,2408300,6.8,34,20,14,,,,,,,,,,,,,,,0.0,901.47,0.0,530.28,530.28,371.2
2020-05-14,RN,Nova Cruz,4,0,16,15,37716,2408300,6.8,27,16,11,,,,,,,,,,,,,,,0.0,715.88,0.0,424.22,424.22,291.65
2020-05-16,RN,Nova Cruz,4,0,15,16,37716,2408300,6.8,27,15,12,,,,,,,,,,,,,,,0.0,715.88,0.0,397.71,397.71,318.17
2020-05-17,RN,Nova Cruz,6,0,24,17,37716,2408300,6.8,41,24,17,,,,,,,,,,,,,,,0.0,1087.07,0.0,636.33,636.33,450.74
2020-05-18,RN,Nova Cruz,9,0,36,18,37716,2408300,6.8,61,36,25,,,,,,,,,,,,,,,0.0,1617.35,0.0,954.5,954.5,662.85
2020-05-19,RN,Nova Cruz,9,0,36,19,37716,2408300,6.8,61,36,25,,,,,,,,,,,,,,,0.0,1617.35,0.0,954.5,954.5,662.85
2020-05-20,RN,Nova Cruz,15,0,59,20,37716,2408300,6.8,102,59,43,,,,,,,,,,,,,,,0.0,2704.42,0.0,1564.32,1564.32,1140.1
2020-05-21,RN,Nova Cruz,15,0,59,21,37716,2408300,6.8,102,59,43,,,,,,,,,,,,,,,0.0,2704.42,0.0,1564.32,1564.32,1140.1
