Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-23,PI,Novo Santo Antônio,1,0,21,3021,2206951,36.0,36,21,15,,,,,,,,,,,,,,,0.0,0.0,11916.58,0.0,6951.34,6951.34,4965.24
2020-05-24,PI,Novo Santo Antônio,1,0,22,3021,2206951,36.0,36,22,14,,,,,,,,,,,,,,,0.0,0.0,11916.58,0.0,7282.36,7282.36,4634.23
2020-05-25,PI,Novo Santo Antônio,1,0,22,3021,2206951,36.0,36,22,14,,,,,,,,,,,,,,,0.0,0.0,11916.58,0.0,7282.36,7282.36,4634.23
2020-05-26,PI,Novo Santo Antônio,1,0,22,3021,2206951,36.0,36,22,14,,,,,,,,,,,,,,,0.0,0.0,11916.58,0.0,7282.36,7282.36,4634.23
2020-05-27,PI,Novo Santo Antônio,1,0,22,3021,2206951,36.0,36,22,14,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,11916.58,0.0,7282.36,7282.36,4634.23
2020-05-28,PI,Novo Santo Antônio,1,0,22,3021,2206951,36.0,36,22,14,0.143,5.14,3.29,,,,,,,,,,,,0.0,0.0,11916.58,0.0,7282.36,7282.36,4634.23
2020-05-29,PI,Novo Santo Antônio,1,0,22,3021,2206951,36.0,36,22,14,0.143,5.14,3.43,,,,,,,,,,,,0.0,0.0,11916.58,0.0,7282.36,7282.36,4634.23
2020-05-30,PI,Novo Santo Antônio,1,0,22,3021,2206951,36.0,36,22,14,0.143,5.14,3.43,,,,,0.657,,,,,,,0.0,0.0,11916.58,0.0,7282.36,7282.36,4634.23
2020-05-31,PI,Novo Santo Antônio,2,0,45,3021,2206951,36.0,72,45,27,0.143,5.14,3.43,,,,0.0,0.0286,,,,,,,0.0,0.0,23833.17,0.0,14895.73,14895.73,8937.44
2020-06-01,PI,Novo Santo Antônio,2,0,46,3021,2206951,36.0,72,46,26,0.143,5.14,3.43,,,,0.0,0.0,,,,,,,0.0,0.0,23833.17,0.0,15226.75,15226.75,8606.42
2020-06-02,PI,Novo Santo Antônio,2,0,46,3021,2206951,36.0,72,46,26,0.143,5.14,3.43,,,,-1.0286,-0.6286,,,,,,,0.0,0.0,23833.17,0.0,15226.75,15226.75,8606.42
2020-06-03,PI,Novo Santo Antônio,2,0,46,3021,2206951,36.0,72,46,26,0.143,5.14,3.43,,,,-1.0286,-0.6286,,,,,,,0.0,0.0,23833.17,0.0,15226.75,15226.75,8606.42
2020-06-04,PI,Novo Santo Antônio,2,0,46,3021,2206951,36.0,72,46,26,0.0,0.0,0.286,,,,-1.0286,-0.6286,,,,,,,0.0,0.0,23833.17,0.0,15226.75,15226.75,8606.42
