date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-12,MG,Paracatu,1,0,7,94090,3147006,16.5,16,7,9,,,,,,,,,,,,,,0.0,0.0,170.05,0.0,74.4,74.4,95.65
2020-04-13,MG,Paracatu,1,0,8,94090,3147006,16.5,16,8,8,,,,,,,,,,,,,,0.0,0.0,170.05,0.0,85.02,85.02,85.02
2020-04-14,MG,Paracatu,1,0,8,94090,3147006,16.5,16,8,8,,,,,,,,,,,,,,0.0,0.0,170.05,0.0,85.02,85.02,85.02
2020-04-15,MG,Paracatu,1,0,8,94090,3147006,16.5,16,8,8,8.33,4.17,,,,,,,,,,,,0.0,0.0,170.05,0.0,85.02,85.02,85.02
2020-04-16,MG,Paracatu,1,0,8,94090,3147006,16.5,16,8,8,19.33,9.67,,,,,,,,,,,,0.0,0.0,170.05,0.0,85.02,85.02,85.02
2020-04-17,MG,Paracatu,4,0,32,94090,3147006,16.5,66,32,34,19.33,10.0,,,,,,,,,,,,0.0,0.0,701.46,0.0,340.1,340.1,361.36
2020-04-18,MG,Paracatu,4,0,32,94090,3147006,16.5,66,32,34,19.33,10.33,,,,0.889,0.583,,,,,,,0.0,0.0,701.46,0.0,340.1,340.1,361.36
2020-04-19,MG,Paracatu,8,0,66,94090,3147006,16.5,132,66,66,19.33,10.5,,,,-2.3056,-1.0556,,,,,,,0.0,0.0,1402.91,0.0,701.46,701.46,701.46
2020-04-20,MG,Paracatu,8,0,68,94090,3147006,16.5,132,68,64,11.0,6.33,,,,-0.4722,-0.1667,,,,-0.3403,,,0.0,0.0,1402.91,0.0,722.71,722.71,680.2
2020-04-21,MG,Paracatu,8,0,70,94090,3147006,16.5,132,70,62,13.67,7.67,,,,-0.4722,-0.25,,,,,,,0.0,0.0,1402.91,0.0,743.97,743.97,658.94
2020-04-22,MG,Paracatu,8,0,71,94090,3147006,16.5,132,71,61,5.5,3.33,,,,-0.4722,-0.3333,,,,,,,0.0,0.0,1402.91,0.0,754.6,754.6,648.32
2020-04-23,MG,Paracatu,8,0,70,94090,3147006,16.5,132,70,62,16.5,9.0,,,,0.917,0.361,,,,,,,0.0,0.0,1402.91,0.0,743.97,743.97,658.94
2020-04-24,MG,Paracatu,9,0,78,94090,3147006,16.5,148,78,70,16.5,8.83,,,,0.5,0.111,,,,,,,0.0,0.0,1572.96,0.0,828.99,828.99,743.97
2020-04-25,MG,Paracatu,10,0,86,94090,3147006,16.5,165,86,79,16.5,8.5,,,,2.28,1.17,,,,-0.6875,,,0.0,0.0,1753.64,0.0,914.02,914.02,839.62
2020-04-26,MG,Paracatu,14,0,122,94090,3147006,16.5,231,122,109,16.5,8.5,,,,-1.8333,-0.9167,,,,-0.5833,,,0.0,0.0,2455.1,0.0,1296.63,1296.63,1158.47
2020-04-27,MG,Paracatu,14,0,123,94090,3147006,16.5,231,123,108,16.67,8.33,,,,-1.8333,-0.8056,,,,-1.0278,,,0.0,0.0,2455.1,0.0,1307.26,1307.26,1147.84
2020-04-28,MG,Paracatu,14,0,122,94090,3147006,16.5,231,122,109,19.17,10.33,,,,-1.8333,-0.7222,,,,,,,0.0,0.0,2455.1,0.0,1296.63,1296.63,1158.47
2020-04-29,MG,Paracatu,14,0,121,94090,3147006,16.5,231,121,110,5.5,3.5,,,,-1.8333,-0.6667,,,,,,,0.0,0.0,2455.1,0.0,1286.0,1286.0,1169.09
2020-04-30,MG,Paracatu,15,0,128,94090,3147006,16.5,248,128,120,5.5,4.0,,,,-1.8889,-0.6944,,,,,,,0.0,0.0,2635.77,0.0,1360.4,1360.4,1275.37
2020-05-01,MG,Paracatu,17,0,148,94090,3147006,16.5,280,148,132,5.5,4.17,,,,-3.1944,-1.5833,,,,,,,0.0,0.0,2975.87,0.0,1572.96,1572.96,1402.91
2020-05-02,MG,Paracatu,16,0,143,94090,3147006,16.5,264,143,121,5.5,4.5,,,,-0.4722,-0.3333,,,,,,,0.0,0.0,2805.82,0.0,1519.82,1519.82,1286.0
2020-05-03,MG,Paracatu,16,1,147,94090,3147006,16.5,264,148,116,5.33,4.17,,,,-0.4722,-0.4722,,,,,,,0.0068,0.0038,2805.82,10.63,1562.33,1572.96,1232.86
