Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-07,MG,Piumhi,1,0,6,1,35038,3151503,16.5,16,6,10,,,,,,,,,,,,,,,0.0,0.0,456.65,0.0,171.24,171.24,285.4
2020-04-08,MG,Piumhi,1,0,6,2,35038,3151503,16.5,16,6,10,,,,,,,,,,,,,,,0.0,0.0,456.65,0.0,171.24,171.24,285.4
2020-04-09,MG,Piumhi,1,0,6,3,35038,3151503,16.5,16,6,10,,,,,,,,,,,,,,,0.0,0.0,456.65,0.0,171.24,171.24,285.4
2020-04-10,MG,Piumhi,1,0,7,4,35038,3151503,16.5,16,7,9,,,,,,,,,,,,,,,0.0,0.0,456.65,0.0,199.78,199.78,256.86
2020-04-11,MG,Piumhi,1,0,7,5,35038,3151503,16.5,16,7,9,0.143,2.43,1.43,,,,,,,,,,,,0.0,0.0,456.65,0.0,199.78,199.78,256.86
2020-04-12,MG,Piumhi,1,0,7,6,35038,3151503,16.5,16,7,9,0.143,2.43,1.43,,,,,,,,,,,,0.0,0.0,456.65,0.0,199.78,199.78,256.86
2020-04-13,MG,Piumhi,1,0,8,7,35038,3151503,16.5,16,8,8,0.143,2.43,1.43,,,,,,,,,,,,0.0,0.0,456.65,0.0,228.32,228.32,228.32
2020-04-14,MG,Piumhi,2,0,16,8,35038,3151503,16.5,33,16,17,0.143,2.43,1.29,,,,0.0,0.0,,,,,,,0.0,0.0,941.83,0.0,456.65,456.65,485.19
2020-04-15,MG,Piumhi,2,1,16,9,35038,3151503,16.5,33,17,16,0.143,2.43,1.29,,,,0.0,-0.0286,,,,,,,0.0588,0.0303,941.83,28.54,456.65,485.19,456.65
2020-04-16,MG,Piumhi,2,1,16,10,35038,3151503,16.5,33,17,16,0.143,2.43,1.43,,,,-0.4857,-0.2571,,,,,,,0.0588,0.0303,941.83,28.54,456.65,485.19,456.65
