Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-07,PB,Pocinhos,1,0,4,1,18564,18895,2512002,6.8,7,4,3,,,,,,,,,,,,,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-08,PB,Pocinhos,1,0,4,2,18564,18895,2512002,6.8,7,4,3,,,,,,,,,,,,,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-09,PB,Pocinhos,1,0,4,3,18564,18895,2512002,6.8,7,4,3,,,,,,,,,,,,,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-10,PB,Pocinhos,1,0,4,4,18564,18895,2512002,6.8,7,4,3,,,,,,,,,,,,,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-11,PB,Pocinhos,1,0,4,5,18564,18895,2512002,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-12,PB,Pocinhos,1,0,4,6,18564,18895,2512002,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-13,PB,Pocinhos,1,0,4,7,18564,18895,2512002,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-14,PB,Pocinhos,1,0,4,8,18564,18895,2512002,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-15,PB,Pocinhos,1,0,4,9,18564,18895,2512002,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-16,PB,Pocinhos,1,0,4,10,18564,18895,2512002,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-17,PB,Pocinhos,1,0,4,11,18564,18895,2512002,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.771,0.457,0.0,0.457,0.314,0.0743,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-18,PB,Pocinhos,1,0,4,12,18564,18895,2512002,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.771,0.457,0.0,0.457,0.314,0.0743,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-19,PB,Pocinhos,1,0,4,13,18564,18895,2512002,6.8,7,4,3,0.571,3.86,2.29,0.0,2.29,1.57,0.371,0.229,0.0,0.229,0.143,0.114,,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-20,PB,Pocinhos,1,0,4,14,18564,18895,2512002,6.8,7,4,3,0.571,3.86,2.29,0.0,2.29,1.57,0.371,0.229,0.0,0.229,0.143,-0.1943,-0.0366,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-21,PB,Pocinhos,1,0,4,15,18564,18895,2512002,6.8,7,4,3,0.286,1.86,1.14,0.0,1.14,0.714,0.571,0.371,0.0,0.371,0.2,-0.1143,-0.0366,,0.0,370.47,0.0,211.7,211.7,158.77
2020-05-22,PB,Pocinhos,5,0,20,16,18564,18895,2512002,6.8,34,20,14,0.286,1.86,1.14,0.0,1.14,0.714,-0.2,-0.0857,0.0,-0.0857,-0.1143,-0.1086,-0.0366,,0.0,1799.42,0.0,1058.48,1058.48,740.94
2020-05-23,PB,Pocinhos,5,0,20,17,18564,18895,2512002,6.8,34,20,14,0.429,2.86,1.86,0.0,1.86,1.0,0.2,0.143,0.0,0.143,0.0571,-0.1086,0.056,0.0208,0.0,1799.42,0.0,1058.48,1058.48,740.94
2020-05-24,PB,Pocinhos,3,0,12,18,18564,18895,2512002,6.8,20,12,8,0.429,2.86,1.86,0.0,1.86,1.0,-0.1714,-0.0857,0.0,-0.0857,-0.0857,-0.0686,0.0229,0.0176,0.0,1058.48,0.0,635.09,635.09,423.39
2020-05-25,PB,Pocinhos,3,0,12,19,18564,18895,2512002,6.8,20,12,8,0.714,4.86,3.0,0.0,3.0,1.86,-0.1714,-0.0857,0.0,-0.0857,-0.0857,0.0857,0.0674,0.008,0.0,1058.48,0.0,635.09,635.09,423.39
2020-05-26,PB,Pocinhos,4,0,17,20,18564,18895,2512002,6.8,27,17,10,0.143,1.0,0.714,0.0,0.714,0.286,0.229,0.143,0.0,0.143,0.0857,0.0,0.0514,-0.0151,0.0,1428.95,0.0,899.71,899.71,529.24
2020-05-27,PB,Pocinhos,4,0,17,21,18564,18895,2512002,6.8,27,17,10,0.143,1.0,0.714,0.0,0.714,0.286,0.229,0.171,0.0,0.171,0.0571,0.229,0.0034,-0.0094,0.0,1428.95,0.0,899.71,899.71,529.24
2020-05-28,PB,Pocinhos,6,0,25,22,18564,18895,2512002,6.8,41,25,16,0.571,4.0,2.57,0.0,2.57,1.43,0.2,0.143,0.0,0.143,0.0571,0.149,-0.0194,-0.0336,0.0,2169.89,0.0,1323.1,1323.1,846.78
2020-05-29,PB,Pocinhos,6,0,25,23,18564,18895,2512002,6.8,41,25,16,0.571,4.0,2.71,0.0,2.71,1.29,0.971,0.6,0.0,0.6,0.371,-0.0514,-0.024,-0.0238,0.0,2169.89,0.0,1323.1,1323.1,846.78
2020-05-30,PB,Pocinhos,6,0,25,24,18564,18895,2512002,6.8,41,25,16,0.857,5.86,3.71,0.0,3.71,2.14,0.571,0.371,0.0,0.371,0.2,-0.0114,-0.1006,0.0016,0.0,2169.89,0.0,1323.1,1323.1,846.78
2020-05-31,PB,Pocinhos,7,0,30,25,18564,18895,2512002,6.8,48,30,18,0.857,5.86,3.71,0.0,3.71,2.14,-0.0286,0.0,0.0,0.0,-0.0286,-0.12,-0.0674,0.003,0.0,2540.35,0.0,1587.72,1587.72,952.63
2020-06-01,PB,Pocinhos,7,0,31,26,18564,18895,2512002,6.8,48,31,17,0.571,3.86,2.57,0.0,2.57,1.29,0.171,0.114,0.0,0.114,0.0571,-0.2743,0.0114,0.0206,0.0,2540.35,0.0,1640.65,1640.65,899.71
2020-06-02,PB,Pocinhos,10,0,43,27,18564,18895,2512002,6.8,68,43,25,0.571,3.86,2.57,0.0,2.57,1.29,-0.4,-0.2,0.0,-0.2,-0.2,-0.1886,-0.0046,0.0453,0.0,3598.84,0.0,2275.73,2275.73,1323.1
