Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-26,SP,Pompéia,1,0,4,1,22234,3540002,7.2,7,4,3,,,,,,,,,,,,,,,0.0,314.83,0.0,179.9,179.9,134.93
2020-05-27,SP,Pompéia,1,0,4,2,22234,3540002,7.2,7,4,3,,,,,,,,,,,,,,,0.0,314.83,0.0,179.9,179.9,134.93
2020-05-28,SP,Pompéia,1,0,4,3,22234,3540002,7.2,7,4,3,,,,,,,,,,,,,,,0.0,314.83,0.0,179.9,179.9,134.93
2020-05-29,SP,Pompéia,0,0,0,4,22234,3540002,7.2,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-30,SP,Pompéia,1,0,4,5,22234,3540002,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,314.83,0.0,179.9,179.9,134.93
2020-05-31,SP,Pompéia,1,0,4,6,22234,3540002,7.2,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,314.83,0.0,179.9,179.9,134.93
2020-06-01,SP,Pompéia,1,0,4,7,22234,3540002,7.2,7,4,3,0.143,1.0,0.714,0.143,0.857,0.143,,,,,,,,,0.0,314.83,0.0,179.9,179.9,134.93
2020-06-02,SP,Pompéia,1,0,4,8,22234,3540002,7.2,7,4,3,0.286,2.0,1.29,0.143,1.43,0.571,0.2,0.143,0.0286,0.171,0.0286,,,,0.0,314.83,0.0,179.9,179.9,134.93
2020-06-03,SP,Pompéia,1,0,4,9,22234,3540002,7.2,7,4,3,0.143,1.0,0.714,0.143,0.857,0.143,0.2,0.143,0.0286,0.171,0.0286,,,,0.0,314.83,0.0,179.9,179.9,134.93
2020-06-04,SP,Pompéia,2,1,9,10,22234,3540002,7.2,14,10,4,0.143,1.0,0.714,0.143,0.857,0.143,0.0,0.0,0.0,0.0,0.0,,,,0.1,629.67,44.98,404.79,449.76,179.9
2020-06-05,SP,Pompéia,2,1,9,11,22234,3540002,7.2,14,10,4,0.143,1.0,0.714,0.143,0.857,0.143,-0.2,-0.1143,0.0,-0.1143,-0.0857,-0.08,,,0.1,629.67,44.98,404.79,449.76,179.9
2020-06-06,SP,Pompéia,2,1,9,12,22234,3540002,7.2,14,10,4,0.143,1.0,0.714,0.143,0.857,0.143,-0.2,-0.1429,-0.0286,-0.1714,-0.0286,-0.08,,,0.1,629.67,44.98,404.79,449.76,179.9
2020-06-07,SP,Pompéia,2,1,9,13,22234,3540002,7.2,14,10,4,0.143,1.0,0.714,0.143,0.857,0.143,-0.2,-0.1429,-0.0286,-0.1714,-0.0286,-0.04,,,0.1,629.67,44.98,404.79,449.76,179.9
2020-06-08,SP,Pompéia,2,1,9,14,22234,3540002,7.2,14,10,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.1143,-0.0286,-0.1429,-0.0571,0.0,0.0411,,0.1,629.67,44.98,404.79,449.76,179.9
2020-06-09,SP,Pompéia,2,1,9,15,22234,3540002,7.2,14,10,4,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.1143,-0.0286,-0.1429,-0.0571,0.126,0.0411,,0.1,629.67,44.98,404.79,449.76,179.9
2020-06-10,SP,Pompéia,2,1,9,16,22234,3540002,7.2,14,10,4,0.0,0.0,0.143,0.0,0.143,-0.1429,-0.2,-0.1143,-0.0286,-0.1429,-0.0571,0.126,0.0331,,0.1,629.67,44.98,404.79,449.76,179.9
2020-06-11,SP,Pompéia,2,1,9,17,22234,3540002,7.2,14,10,4,0.0,0.0,0.143,0.0,0.143,-0.1429,0.429,0.343,0.0,0.343,0.0857,0.126,0.0171,-0.0183,0.1,629.67,44.98,404.79,449.76,179.9
2020-06-12,SP,Pompéia,2,1,9,18,22234,3540002,7.2,14,10,4,0.0,0.0,0.143,0.0,0.143,-0.1429,0.429,0.343,0.0,0.343,0.0857,0.126,-0.0503,-0.0217,0.1,629.67,44.98,404.79,449.76,179.9
2020-06-13,SP,Pompéia,2,1,10,19,22234,3540002,7.2,14,11,3,0.286,2.14,1.71,0.0,1.71,0.429,0.429,0.314,0.0,0.314,0.114,0.0857,-0.0503,-0.0169,0.0909,629.67,44.98,449.76,494.74,134.93
2020-06-14,SP,Pompéia,2,1,10,20,22234,3540002,7.2,14,11,3,0.286,2.14,1.71,0.0,1.71,0.429,0.429,0.286,0.0,0.286,0.143,-0.1257,-0.0674,-0.0073,0.0909,629.67,44.98,449.76,494.74,134.93
