Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-06-15,RS,Presidente Lucena,1,0,5,1,2930,4315149,6.8,7,5,2,,,,,,,,,,,,,,,0.0,2389.08,0.0,1706.48,1706.48,682.59
2020-06-16,RS,Presidente Lucena,2,0,10,2,2930,4315149,6.8,14,10,4,,,,,,,,,,,,,,,0.0,4778.16,0.0,3412.97,3412.97,1365.19
2020-06-17,RS,Presidente Lucena,3,0,14,3,2930,4315149,6.8,20,14,6,,,,,,,,,,,,,,,0.0,6825.94,0.0,4778.16,4778.16,2047.78
2020-06-18,RS,Presidente Lucena,6,0,29,4,2930,4315149,6.8,41,29,12,,,,,,,,,,,,,,,0.0,13993.17,0.0,9897.61,9897.61,4095.56
2020-06-19,RS,Presidente Lucena,6,0,29,5,2930,4315149,6.8,41,29,12,1.57,10.71,7.86,0.0,7.86,2.86,,,,,,,,,0.0,13993.17,0.0,9897.61,9897.61,4095.56
2020-06-20,RS,Presidente Lucena,10,0,48,6,2930,4315149,6.8,68,48,20,2.0,13.57,9.86,0.0,9.86,3.71,,,,,,,,,0.0,23208.19,0.0,16382.25,16382.25,6825.94
2020-06-21,RS,Presidente Lucena,11,0,54,7,2930,4315149,6.8,75,54,21,2.86,19.43,14.14,0.0,14.14,5.29,,,,,,,,,0.0,25597.27,0.0,18430.03,18430.03,7167.24
2020-06-22,RS,Presidente Lucena,12,0,60,8,2930,4315149,6.8,82,60,22,3.14,21.29,15.57,0.0,15.57,5.71,1.34,1.0,0.0,1.0,0.343,,,,0.0,27986.35,0.0,20477.82,20477.82,7508.53
2020-06-23,RS,Presidente Lucena,16,0,79,9,2930,4315149,6.8,109,79,30,3.14,21.29,15.43,0.0,15.43,5.86,0.571,0.457,0.0,0.457,0.114,,,,0.0,37201.37,0.0,26962.46,26962.46,10238.91
2020-06-24,RS,Presidente Lucena,23,0,113,10,2930,4315149,6.8,156,113,43,2.57,17.43,12.86,0.0,12.86,4.57,0.371,0.343,0.0,0.343,0.0286,,,,0.0,53242.32,0.0,38566.55,38566.55,14675.77
2020-06-25,RS,Presidente Lucena,28,0,138,11,2930,4315149,6.8,190,138,52,2.43,16.43,12.14,0.0,12.14,4.29,-0.7714,-0.4571,0.0,-0.4571,-0.3143,-0.6114,,,0.0,64846.42,0.0,47098.98,47098.98,17747.44
2020-06-26,RS,Presidente Lucena,28,0,137,12,2930,4315149,6.8,190,137,53,3.14,21.29,15.86,0.0,15.86,5.43,-1.7143,-1.1143,0.0,-1.1143,-0.6,-0.3829,,,0.0,64846.42,0.0,46757.68,46757.68,18088.74
2020-06-27,RS,Presidente Lucena,28,0,138,13,2930,4315149,6.8,190,138,52,2.57,17.43,13.29,0.0,13.29,4.14,-1.7143,-1.1714,0.0,-1.1714,-0.5429,-0.4971,,,0.0,64846.42,0.0,47098.98,47098.98,17747.44
2020-06-28,RS,Presidente Lucena,28,0,139,14,2930,4315149,6.8,190,139,51,1.86,12.71,9.86,0.0,9.86,2.86,-1.3429,-0.8571,0.0,-0.8571,-0.4857,-0.1143,0.159,,0.0,64846.42,0.0,47440.27,47440.27,17406.14
2020-06-29,RS,Presidente Lucena,34,0,171,15,2930,4315149,6.8,231,171,60,1.29,8.86,7.0,0.0,7.0,1.86,-2.1143,-1.4571,0.0,-1.4571,-0.6571,0.0286,0.0994,,0.0,78839.59,0.0,58361.77,58361.77,20477.82
2020-06-30,RS,Presidente Lucena,34,0,172,16,2930,4315149,6.8,231,172,59,1.43,9.71,7.86,0.0,7.86,1.86,-1.3429,-0.8857,0.0,-0.8857,-0.4571,0.183,0.144,,0.0,78839.59,0.0,58703.07,58703.07,20136.52
2020-07-01,RS,Presidente Lucena,36,0,182,17,2930,4315149,6.8,245,182,63,1.57,10.71,8.57,0.0,8.57,2.14,-1.5714,-1.0286,0.0,-1.0286,-0.5429,0.114,0.0297,-0.0327,0.0,83617.75,0.0,62116.04,62116.04,21501.71
2020-07-02,RS,Presidente Lucena,37,0,187,18,2930,4315149,6.8,252,187,65,1.57,10.71,8.86,0.0,8.86,1.86,-0.8,-0.4857,0.0,-0.4857,-0.3143,0.223,0.0571,-0.0199,0.0,86006.83,0.0,63822.53,63822.53,22184.3
2020-07-03,RS,Presidente Lucena,38,0,192,19,2930,4315149,6.8,258,192,66,0.714,4.86,4.71,0.0,4.71,0.143,-0.7714,-0.4857,0.0,-0.4857,-0.2857,0.0343,-0.0046,-0.0233,0.0,88054.61,0.0,65529.01,65529.01,22525.6
2020-07-04,RS,Presidente Lucena,39,0,198,20,2930,4315149,6.8,265,198,67,0.714,4.86,4.57,0.0,4.57,0.286,-1.0,-0.6286,0.0,-0.6286,-0.3714,0.314,0.0,0.005,0.0,90443.69,0.0,67576.79,67576.79,22866.89
2020-07-05,RS,Presidente Lucena,39,0,201,21,2930,4315149,6.8,265,201,64,0.857,5.86,5.43,0.0,5.43,0.429,-1.1714,-0.8286,0.0,-0.8286,-0.3429,0.16,0.0274,-0.0192,0.0,90443.69,0.0,68600.68,68600.68,21843.0
2020-07-06,RS,Presidente Lucena,39,0,204,22,2930,4315149,6.8,265,204,61,0.857,5.71,5.43,0.0,5.43,0.286,0.0,0.0,0.0,0.0,0.0,0.114,0.0549,-0.0007,0.0,90443.69,0.0,69624.57,69624.57,20819.11
2020-07-07,RS,Presidente Lucena,39,0,204,23,2930,4315149,6.8,265,204,61,0.714,4.86,4.71,0.0,4.71,0.143,0.0,0.0286,0.0,0.0286,-0.0286,0.36,-0.0389,0.0002,0.0,90443.69,0.0,69624.57,69624.57,20819.11
2020-07-08,RS,Presidente Lucena,42,0,220,24,2930,4315149,6.8,286,220,66,0.714,4.86,4.71,0.0,4.71,0.143,-0.2,-0.1429,0.0,-0.1429,-0.0571,0.309,-0.008,-0.0309,0.0,97610.92,0.0,75085.32,75085.32,22525.6
2020-07-09,RS,Presidente Lucena,43,0,225,25,2930,4315149,6.8,292,225,67,0.714,4.86,4.71,0.0,4.71,0.143,0.8,0.629,0.0,0.629,0.171,0.12,0.0011,-0.0261,0.0,99658.7,0.0,76791.81,76791.81,22866.89
2020-07-10,RS,Presidente Lucena,43,0,225,26,2930,4315149,6.8,292,225,67,0.714,4.86,4.71,0.0,4.71,0.143,0.371,0.343,0.0,0.343,0.0286,0.12,-0.1269,-0.0096,0.0,99658.7,0.0,76791.81,76791.81,22866.89
2020-07-11,RS,Presidente Lucena,44,0,231,27,2930,4315149,6.8,299,231,68,1.43,9.71,8.57,0.0,8.57,1.14,0.6,0.514,0.0,0.514,0.0857,0.12,-0.0754,-0.0158,0.0,102047.78,0.0,78839.59,78839.59,23208.19
2020-07-12,RS,Presidente Lucena,44,0,234,28,2930,4315149,6.8,299,234,65,1.0,6.71,6.43,0.0,6.43,0.286,0.6,0.571,0.0,0.571,0.0286,-0.2743,-0.0869,-0.0146,0.0,102047.78,0.0,79863.48,79863.48,22184.3
2020-07-13,RS,Presidente Lucena,44,0,237,29,2930,4315149,6.8,299,237,62,1.14,7.86,7.29,0.0,7.29,0.571,0.4,0.457,0.0,0.457,-0.0571,-0.0686,-0.0869,0.0345,0.0,102047.78,0.0,80887.37,80887.37,21160.41
2020-07-14,RS,Presidente Lucena,49,0,264,30,2930,4315149,6.8,333,264,69,1.14,7.86,7.57,0.0,7.57,0.286,-0.5714,-0.3429,0.0,-0.3429,-0.2286,-0.3143,-0.072,0.0112,0.0,113651.88,0.0,90102.39,90102.39,23549.49
2020-07-15,RS,Presidente Lucena,49,0,265,31,2930,4315149,6.8,333,265,68,1.0,6.86,7.0,0.0,7.0,-0.1429,0.0286,0.0857,0.0,0.0857,-0.0571,-0.3143,0.0457,0.0375,0.0,113651.88,0.0,90443.69,90443.69,23208.19
2020-07-16,RS,Presidente Lucena,51,0,276,32,2930,4315149,6.8,347,276,71,1.0,6.86,6.86,0.0,6.86,0.0,-0.9714,-0.6857,0.0,-0.6857,-0.2857,-0.24,-0.0194,0.0375,0.0,118430.03,0.0,94197.95,94197.95,24232.08
2020-07-17,RS,Presidente Lucena,51,0,278,33,2930,4315149,6.8,347,278,69,1.0,6.86,6.86,0.0,6.86,0.0,-0.9714,-0.8857,0.0,-0.8857,-0.0857,-0.0457,0.101,0.0304,0.0,118430.03,0.0,94880.55,94880.55,23549.49
