Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-16,PA,Primavera,1,0,4,1,10933,1506104,8.3,8,4,4,,,,,,,,,,,,,,,0.0,731.73,0.0,365.86,365.86,365.86
2020-04-17,PA,Primavera,1,0,4,2,10933,1506104,8.3,8,4,4,,,,,,,,,,,,,,,0.0,731.73,0.0,365.86,365.86,365.86
2020-04-18,PA,Primavera,1,0,4,3,10933,1506104,8.3,8,4,4,,,,,,,,,,,,,,,0.0,731.73,0.0,365.86,365.86,365.86
2020-04-19,PA,Primavera,1,0,4,4,10933,1506104,8.3,8,4,4,,,,,,,,,,,,,,,0.0,731.73,0.0,365.86,365.86,365.86
2020-04-20,PA,Primavera,1,0,4,5,10933,1506104,8.3,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,731.73,0.0,365.86,365.86,365.86
2020-04-21,PA,Primavera,1,0,4,6,10933,1506104,8.3,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,731.73,0.0,365.86,365.86,365.86
2020-04-22,PA,Primavera,1,0,4,7,10933,1506104,8.3,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,731.73,0.0,365.86,365.86,365.86
2020-04-23,PA,Primavera,1,0,4,8,10933,1506104,8.3,8,4,4,0.143,1.29,0.714,0.0,0.714,0.571,0.257,0.143,0.0,0.143,0.114,,,,0.0,731.73,0.0,365.86,365.86,365.86
2020-04-24,PA,Primavera,1,0,4,9,10933,1506104,8.3,8,4,4,0.143,1.29,0.714,0.0,0.714,0.571,0.257,0.143,0.0,0.143,0.114,,,,0.0,731.73,0.0,365.86,365.86,365.86
2020-04-25,PA,Primavera,1,0,4,10,10933,1506104,8.3,8,4,4,0.143,1.29,0.714,0.0,0.714,0.571,0.257,0.143,0.0,0.143,0.114,,,,0.0,731.73,0.0,365.86,365.86,365.86
2020-04-26,PA,Primavera,2,0,9,11,10933,1506104,8.3,17,9,8,0.143,1.29,0.714,0.0,0.714,0.571,0.0,0.0,0.0,0.0,0.0,-0.1029,,,0.0,1554.93,0.0,823.2,823.2,731.73
2020-04-27,PA,Primavera,2,0,9,12,10933,1506104,8.3,17,9,8,0.143,1.29,0.714,0.0,0.714,0.571,0.0,0.0,0.0,0.0,0.0,-0.1029,,,0.0,1554.93,0.0,823.2,823.2,731.73
