Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-08,TO,Pugmil,1,0,4,1,2715,1718451,8.3,8,4,4,,,,,,,,,,,,,,,0.0,2946.59,0.0,1473.3,1473.3,1473.3
2020-05-09,TO,Pugmil,3,0,14,2,2715,1718451,8.3,25,14,11,,,,,,,,,,,,,,,0.0,9208.1,0.0,5156.54,5156.54,4051.57
2020-05-10,TO,Pugmil,3,0,14,3,2715,1718451,8.3,25,14,11,,,,,,,,,,,,,,,0.0,9208.1,0.0,5156.54,5156.54,4051.57
2020-05-11,TO,Pugmil,3,0,14,4,2715,1718451,8.3,25,14,11,,,,,,,,,,,,,,,0.0,9208.1,0.0,5156.54,5156.54,4051.57
2020-05-12,TO,Pugmil,3,0,15,5,2715,1718451,8.3,25,15,10,0.571,4.86,2.86,0.0,2.86,2.0,,,,,,,,,0.0,9208.1,0.0,5524.86,5524.86,3683.24
2020-05-13,TO,Pugmil,5,0,24,6,2715,1718451,8.3,42,24,18,,,,,,,,,,,,,,,0.0,15469.61,0.0,8839.78,8839.78,6629.83
2020-05-14,TO,Pugmil,5,0,24,7,2715,1718451,8.3,42,24,18,,,,,,,,,,,,,,,0.0,15469.61,0.0,8839.78,8839.78,6629.83
2020-05-15,TO,Pugmil,5,0,24,8,2715,1718451,8.3,42,24,18,,,,,,,,,,,,,,,0.0,15469.61,0.0,8839.78,8839.78,6629.83
2020-05-17,TO,Pugmil,5,0,25,9,2715,1718451,8.3,42,25,17,,,,,,,,,,,,,,,0.0,15469.61,0.0,9208.1,9208.1,6261.51
2020-05-18,TO,Pugmil,5,0,25,10,2715,1718451,8.3,42,25,17,,,,,,,,,,,,,,,0.0,15469.61,0.0,9208.1,9208.1,6261.51
2020-05-19,TO,Pugmil,5,0,25,11,2715,1718451,8.3,42,25,17,,,,,,,,,,,,,,,0.0,15469.61,0.0,9208.1,9208.1,6261.51
2020-05-20,TO,Pugmil,5,0,25,12,2715,1718451,8.3,42,25,17,,,,,,,,,,,,,,,0.0,15469.61,0.0,9208.1,9208.1,6261.51
2020-05-21,TO,Pugmil,5,0,25,13,2715,1718451,8.3,42,25,17,,,,,,,,,,,,,,,0.0,15469.61,0.0,9208.1,9208.1,6261.51
2020-05-22,TO,Pugmil,5,0,24,14,2715,1718451,8.3,42,24,18,,,,,,,,,,,,,,,0.0,15469.61,0.0,8839.78,8839.78,6629.83
2020-05-23,TO,Pugmil,5,0,25,15,2715,1718451,8.3,42,25,17,,,,,,,,,,,,,,,0.0,15469.61,0.0,9208.1,9208.1,6261.51
2020-05-25,TO,Pugmil,5,0,26,16,2715,1718451,8.3,42,26,16,,,,,,,,,,,,,,,0.0,15469.61,0.0,9576.43,9576.43,5893.19
2020-05-26,TO,Pugmil,5,0,26,17,2715,1718451,8.3,42,26,16,,,,,,,,,,,,,,,0.0,15469.61,0.0,9576.43,9576.43,5893.19
2020-05-28,TO,Pugmil,5,0,26,18,2715,1718451,8.3,42,26,16,,,,,,,,,,,,,,,0.0,15469.61,0.0,9576.43,9576.43,5893.19
2020-05-29,TO,Pugmil,5,0,26,19,2715,1718451,8.3,42,26,16,,,,,,,,,,,,,,,0.0,15469.61,0.0,9576.43,9576.43,5893.19
2020-05-30,TO,Pugmil,5,0,25,20,2715,1718451,8.3,42,25,17,,,,,,,,,,,,,,,0.0,15469.61,0.0,9208.1,9208.1,6261.51
2020-05-31,TO,Pugmil,5,0,26,21,2715,1718451,8.3,42,26,16,,,,,,,,,,,,,,,0.0,15469.61,0.0,9576.43,9576.43,5893.19
2020-06-01,TO,Pugmil,5,0,27,22,2715,1718451,8.3,42,27,15,,,,,,,,,,,,,,,0.0,15469.61,0.0,9944.75,9944.75,5524.86
2020-06-02,TO,Pugmil,5,0,27,23,2715,1718451,8.3,42,27,15,,,,,,,,,,,,,,,0.0,15469.61,0.0,9944.75,9944.75,5524.86
2020-06-03,TO,Pugmil,5,0,27,24,2715,1718451,8.3,42,27,15,,,,,,,,,,,,,,,0.0,15469.61,0.0,9944.75,9944.75,5524.86
2020-06-05,TO,Pugmil,6,0,32,25,2715,1718451,8.3,50,32,18,,,,,,,,,,,,,,,0.0,18416.21,0.0,11786.37,11786.37,6629.83
2020-06-06,TO,Pugmil,6,0,32,26,2715,1718451,8.3,50,32,18,,,,,,,,,,,,,,,0.0,18416.21,0.0,11786.37,11786.37,6629.83
2020-06-07,TO,Pugmil,6,0,33,27,2715,1718451,8.3,50,33,17,,,,,,,,,,,,,,,0.0,18416.21,0.0,12154.7,12154.7,6261.51
