Date,State,City,Confirmed,Deaths,Recovered,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-09,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,,,,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-10,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,,,,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-11,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,,,,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-12,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,,,,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-13,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-14,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-15,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-16,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-17,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-18,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,0.143,2.43,1.43,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-19,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,0.143,2.43,1.43,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
2020-05-20,MG,Recreio,1,0,9,10622,3154101,16.5,16,9,7,0.143,2.43,1.43,,,,,,,,,,,,0.0,0.0,1506.31,0.0,847.3,847.3,659.01
