Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-03,PI,Regeneração,1,0,4,1,18158,2208809,6.8,7,4,3,,,,,,,,,,,,,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-04,PI,Regeneração,1,0,4,2,18158,2208809,6.8,7,4,3,,,,,,,,,,,,,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-05,PI,Regeneração,1,0,4,3,18158,2208809,6.8,7,4,3,,,,,,,,,,,,,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-06,PI,Regeneração,1,0,4,4,18158,2208809,6.8,7,4,3,,,,,,,,,,,,,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-07,PI,Regeneração,1,0,4,5,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-08,PI,Regeneração,1,0,4,6,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-09,PI,Regeneração,1,0,4,7,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-10,PI,Regeneração,1,0,4,8,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-11,PI,Regeneração,1,0,4,9,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-12,PI,Regeneração,1,0,4,10,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-13,PI,Regeneração,1,0,4,11,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-14,PI,Regeneração,1,0,4,12,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-15,PI,Regeneração,1,0,4,13,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-16,PI,Regeneração,1,0,4,14,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-17,PI,Regeneração,1,0,4,15,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-18,PI,Regeneração,1,0,4,16,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-19,PI,Regeneração,1,0,4,17,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-20,PI,Regeneração,1,0,4,18,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-21,PI,Regeneração,1,0,4,19,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-22,PI,Regeneração,1,0,4,20,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-23,PI,Regeneração,1,0,4,21,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0046,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-24,PI,Regeneração,1,0,4,22,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.003,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-25,PI,Regeneração,1,0,4,23,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0229,0.003,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-26,PI,Regeneração,1,0,4,24,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0149,-0.0034,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-27,PI,Regeneração,1,0,4,25,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.143,0.0,0.143,0.0571,0.114,0.0149,-0.0034,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-28,PI,Regeneração,1,0,4,26,18158,2208809,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.143,0.0,0.143,0.0571,0.0743,-0.0091,-0.0137,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-29,PI,Regeneração,1,0,4,27,18158,2208809,6.8,7,4,3,0.143,1.0,0.714,0.0,0.714,0.286,0.571,0.371,0.0,0.371,0.2,0.0743,-0.0091,-0.0073,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-30,PI,Regeneração,1,0,4,28,18158,2208809,6.8,7,4,3,0.143,1.0,0.714,0.0,0.714,0.286,0.371,0.257,0.0,0.257,0.114,-0.0057,-0.0457,-0.0103,0.0,385.51,0.0,220.29,220.29,165.22
2020-05-31,PI,Regeneração,1,0,4,29,18158,2208809,6.8,7,4,3,0.429,2.86,1.86,0.0,1.86,1.0,0.371,0.257,0.0,0.257,0.114,-0.0057,-0.0217,0.0009,0.0,385.51,0.0,220.29,220.29,165.22
2020-06-01,PI,Regeneração,2,0,9,30,18158,2208809,6.8,14,9,5,0.286,1.86,1.29,0.0,1.29,0.571,0.171,0.114,0.0,0.114,0.0571,-0.1143,-0.0366,0.0041,0.0,771.01,0.0,495.65,495.65,275.36
2020-06-02,PI,Regeneração,2,0,9,31,18158,2208809,6.8,14,9,5,0.286,1.86,1.29,0.0,1.29,0.571,0.171,0.114,0.0,0.114,0.0571,-0.0343,-0.0046,0.0107,0.0,771.01,0.0,495.65,495.65,275.36
2020-06-03,PI,Regeneração,4,0,17,32,18158,2208809,6.8,27,17,10,0.286,1.86,1.29,0.0,1.29,0.571,0.0,0.0286,0.0,0.0286,-0.0286,-0.1086,0.0114,0.0011,0.0,1486.95,0.0,936.23,936.23,550.72
2020-06-04,PI,Regeneração,3,0,13,33,18158,2208809,6.8,20,13,7,0.286,1.86,1.29,0.0,1.29,0.571,0.2,0.143,0.0,0.143,0.0571,-0.0286,0.008,0.0098,0.0,1101.44,0.0,715.94,715.94,385.51
2020-06-05,PI,Regeneração,3,0,13,34,18158,2208809,6.8,20,13,7,0.429,2.86,2.0,0.0,2.0,0.857,-0.1714,-0.0857,0.0,-0.0857,-0.0857,0.0514,-0.016,-0.003,0.0,1101.44,0.0,715.94,715.94,385.51
