date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-29,PB,Riacho dos Cavalos,1,0,4,8611,2512804,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,929.04,0.0,464.52,464.52,464.52
2020-04-30,PB,Riacho dos Cavalos,1,0,4,8611,2512804,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,929.04,0.0,464.52,464.52,464.52
2020-05-01,PB,Riacho dos Cavalos,1,0,4,8611,2512804,8.3,8,4,4,,,,,,,,,,,,,,0.0,0.0,929.04,0.0,464.52,464.52,464.52
2020-05-02,PB,Riacho dos Cavalos,1,0,4,8611,2512804,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,929.04,0.0,464.52,464.52,464.52
2020-05-03,PB,Riacho dos Cavalos,1,0,4,8611,2512804,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,929.04,0.0,464.52,464.52,464.52
2020-05-04,PB,Riacho dos Cavalos,1,0,4,8611,2512804,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,929.04,0.0,464.52,464.52,464.52
2020-05-05,PB,Riacho dos Cavalos,1,0,4,8611,2512804,8.3,8,4,4,0.0,0.0,,,,,,,,,,,,0.0,0.0,929.04,0.0,464.52,464.52,464.52
2020-05-06,PB,Riacho dos Cavalos,1,0,4,8611,2512804,8.3,8,4,4,1.5,0.833,,,,,,,,,,,,0.0,0.0,929.04,0.0,464.52,464.52,464.52
2020-05-07,PB,Riacho dos Cavalos,1,0,4,8611,2512804,8.3,8,4,4,1.5,1.0,,,,,,,,,,,,0.0,0.0,929.04,0.0,464.52,464.52,464.52
2020-05-08,PB,Riacho dos Cavalos,1,0,4,8611,2512804,8.3,8,4,4,1.5,1.0,,,,,,,,,,,,0.0,0.0,929.04,0.0,464.52,464.52,464.52
2020-05-09,PB,Riacho dos Cavalos,2,0,9,8611,2512804,8.3,17,9,8,1.5,1.0,,,,-0.25,-0.1111,,,,,,,0.0,0.0,1974.22,0.0,1045.17,1045.17,929.04
2020-05-10,PB,Riacho dos Cavalos,2,0,10,8611,2512804,8.3,17,10,7,1.5,1.0,,,,-0.25,-0.1667,,,,,,,0.0,0.0,1974.22,0.0,1161.31,1161.31,812.91
2020-05-11,PB,Riacho dos Cavalos,2,0,10,8611,2512804,8.3,17,10,7,1.5,1.0,,,,-0.25,-0.1667,,,,,,,0.0,0.0,1974.22,0.0,1161.31,1161.31,812.91
2020-05-12,PB,Riacho dos Cavalos,2,0,10,8611,2512804,8.3,17,10,7,0.0,0.167,,,,-0.25,-0.1667,,,,,,,0.0,0.0,1974.22,0.0,1161.31,1161.31,812.91
2020-05-13,PB,Riacho dos Cavalos,2,0,10,8611,2512804,8.3,17,10,7,0.0,0.0,,,,-0.25,-0.1667,,,,,,,0.0,0.0,1974.22,0.0,1161.31,1161.31,812.91
2020-05-14,PB,Riacho dos Cavalos,2,0,10,8611,2512804,8.3,17,10,7,0.0,0.0,,,,-0.25,-0.1667,,,,,,,0.0,0.0,1974.22,0.0,1161.31,1161.31,812.91
2020-05-15,PB,Riacho dos Cavalos,2,0,10,8611,2512804,8.3,17,10,7,0.0,0.0,,,,,-0.0278,,,,,,,0.0,0.0,1974.22,0.0,1161.31,1161.31,812.91
2020-05-16,PB,Riacho dos Cavalos,2,0,10,8611,2512804,8.3,17,10,7,0.0,0.0,,,,,,,,,,,,0.0,0.0,1974.22,0.0,1161.31,1161.31,812.91
2020-05-17,PB,Riacho dos Cavalos,2,0,10,8611,2512804,8.3,17,10,7,0.0,0.0,,,,,,,,,,,,0.0,0.0,1974.22,0.0,1161.31,1161.31,812.91
2020-05-18,PB,Riacho dos Cavalos,2,0,10,8611,2512804,8.3,17,10,7,0.0,0.0,,,,,,,,,,,,0.0,0.0,1974.22,0.0,1161.31,1161.31,812.91
2020-05-19,PB,Riacho dos Cavalos,2,0,10,8611,2512804,8.3,17,10,7,0.0,0.0,,,,,,,,,,,,0.0,0.0,1974.22,0.0,1161.31,1161.31,812.91
