Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-20,GO,Rianápolis,1,0,5,1,4849,5218706,8.3,8,5,3,,,,,,,,,,,,,,,0.0,1649.82,0.0,1031.14,1031.14,618.68
2020-05-21,GO,Rianápolis,1,0,5,2,4849,5218706,8.3,8,5,3,,,,,,,,,,,,,,,0.0,1649.82,0.0,1031.14,1031.14,618.68
2020-05-22,GO,Rianápolis,1,0,5,3,4849,5218706,8.3,8,5,3,,,,,,,,,,,,,,,0.0,1649.82,0.0,1031.14,1031.14,618.68
2020-05-23,GO,Rianápolis,1,0,5,4,4849,5218706,8.3,8,5,3,,,,,,,,,,,,,,,0.0,1649.82,0.0,1031.14,1031.14,618.68
2020-05-24,GO,Rianápolis,1,0,5,5,4849,5218706,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1649.82,0.0,1031.14,1031.14,618.68
2020-05-25,GO,Rianápolis,1,0,5,6,4849,5218706,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1649.82,0.0,1031.14,1031.14,618.68
2020-05-26,GO,Rianápolis,1,0,5,7,4849,5218706,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1649.82,0.0,1031.14,1031.14,618.68
2020-05-27,GO,Rianápolis,1,0,5,8,4849,5218706,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1649.82,0.0,1031.14,1031.14,618.68
2020-05-28,GO,Rianápolis,1,0,5,9,4849,5218706,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1649.82,0.0,1031.14,1031.14,618.68
2020-05-29,GO,Rianápolis,1,0,5,10,4849,5218706,8.3,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1649.82,0.0,1031.14,1031.14,618.68
