Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-20,RN,Ruy Barbosa,2,0,10,1,3636,2411106,8.3,17,10,7,,,,,,,,,,,,,,,0.0,4675.47,0.0,2750.28,2750.28,1925.19
2020-05-21,RN,Ruy Barbosa,2,0,10,2,3636,2411106,8.3,17,10,7,,,,,,,,,,,,,,,0.0,4675.47,0.0,2750.28,2750.28,1925.19
2020-05-22,RN,Ruy Barbosa,2,0,10,3,3636,2411106,8.3,17,10,7,,,,,,,,,,,,,,,0.0,4675.47,0.0,2750.28,2750.28,1925.19
2020-05-24,RN,Ruy Barbosa,2,0,10,4,3636,2411106,8.3,17,10,7,,,,,,,,,,,,,,,0.0,4675.47,0.0,2750.28,2750.28,1925.19
2020-05-25,RN,Ruy Barbosa,3,0,15,5,3636,2411106,8.3,25,15,10,,,,,,,,,,,,,,,0.0,6875.69,0.0,4125.41,4125.41,2750.28
2020-05-26,RN,Ruy Barbosa,3,0,16,6,3636,2411106,8.3,25,16,9,,,,,,,,,,,,,,,0.0,6875.69,0.0,4400.44,4400.44,2475.25
2020-05-28,RN,Ruy Barbosa,5,0,26,7,3636,2411106,8.3,42,26,16,,,,,,,,,,,,,,,0.0,11551.16,0.0,7150.72,7150.72,4400.44
2020-05-29,RN,Ruy Barbosa,6,0,31,8,3636,2411106,8.3,50,31,19,,,,,,,,,,,,,,,0.0,13751.38,0.0,8525.85,8525.85,5225.52
2020-05-31,RN,Ruy Barbosa,6,0,31,9,3636,2411106,8.3,50,31,19,,,,,,,,,,,,,,,0.0,13751.38,0.0,8525.85,8525.85,5225.52
2020-06-01,RN,Ruy Barbosa,6,0,32,10,3636,2411106,8.3,50,32,18,,,,,,,,,,,,,,,0.0,13751.38,0.0,8800.88,8800.88,4950.5
2020-06-02,RN,Ruy Barbosa,7,0,37,11,3636,2411106,8.3,58,37,21,,,,,,,,,,,,,,,0.0,15951.6,0.0,10176.02,10176.02,5775.58
2020-06-03,RN,Ruy Barbosa,7,0,37,12,3636,2411106,8.3,58,37,21,,,,,,,,,,,,,,,0.0,15951.6,0.0,10176.02,10176.02,5775.58
2020-06-04,RN,Ruy Barbosa,7,0,37,13,3636,2411106,8.3,58,37,21,,,,,,,,,,,,,,,0.0,15951.6,0.0,10176.02,10176.02,5775.58
2020-06-05,RN,Ruy Barbosa,7,0,37,14,3636,2411106,8.3,58,37,21,,,,,,,,,,,,,,,0.0,15951.6,0.0,10176.02,10176.02,5775.58
2020-06-07,RN,Ruy Barbosa,7,0,38,15,3636,2411106,8.3,58,38,20,,,,,,,,,,,,,,,0.0,15951.6,0.0,10451.05,10451.05,5500.55
2020-06-08,RN,Ruy Barbosa,11,0,61,16,3636,2411106,8.3,91,61,30,,,,,,,,,,,,,,,0.0,25027.5,0.0,16776.68,16776.68,8250.83
2020-06-09,RN,Ruy Barbosa,11,0,61,17,3636,2411106,8.3,91,61,30,,,,,,,,,,,,,,,0.0,25027.5,0.0,16776.68,16776.68,8250.83
2020-06-10,RN,Ruy Barbosa,12,0,67,18,3636,2411106,8.3,100,67,33,,,,,,,,,,,,,,,0.0,27502.75,0.0,18426.84,18426.84,9075.91
2020-06-11,RN,Ruy Barbosa,13,0,72,19,3636,2411106,8.3,108,72,36,,,,,,,,,,,,,,,0.0,29702.97,0.0,19801.98,19801.98,9900.99
2020-06-12,RN,Ruy Barbosa,14,0,79,20,3636,2411106,8.3,116,79,37,,,,,,,,,,,,,,,0.0,31903.19,0.0,21727.17,21727.17,10176.02
2020-06-14,RN,Ruy Barbosa,14,0,81,21,3636,2411106,8.3,116,81,35,,,,,,,,,,,,,,,0.0,31903.19,0.0,22277.23,22277.23,9625.96
2020-06-15,RN,Ruy Barbosa,15,0,89,22,3636,2411106,8.3,125,89,36,,,,,,,,,,,,,,,0.0,34378.44,0.0,24477.45,24477.45,9900.99
2020-06-16,RN,Ruy Barbosa,16,0,94,23,3636,2411106,8.3,133,94,39,,,,,,,,,,,,,,,0.0,36578.66,0.0,25852.59,25852.59,10726.07
2020-06-17,RN,Ruy Barbosa,16,0,94,24,3636,2411106,8.3,133,94,39,,,,,,,,,,,,,,,0.0,36578.66,0.0,25852.59,25852.59,10726.07
