date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-05-14,PB,Salgado de São Félix,2,0,10,12261,2513109,8.3,17,10,7,,,,,,,,,,,,,,0.0,0.0,1386.51,0.0,815.59,815.59,570.92
2020-05-15,PB,Salgado de São Félix,4,0,19,12261,2513109,8.3,33,19,14,,,,,,,,,,,,,,0.0,0.0,2691.46,0.0,1549.63,1549.63,1141.83
2020-05-16,PB,Salgado de São Félix,4,0,19,12261,2513109,8.3,33,19,14,,,,,,,,,,,,,,0.0,0.0,2691.46,0.0,1549.63,1549.63,1141.83
2020-05-17,PB,Salgado de São Félix,4,0,20,12261,2513109,8.3,33,20,13,2.67,1.5,,,,,,,,,,,,0.0,0.0,2691.46,0.0,1631.19,1631.19,1060.27
2020-05-18,PB,Salgado de São Félix,4,0,20,12261,2513109,8.3,33,20,13,11.17,6.5,,,,,,,,,,,,0.0,0.0,2691.46,0.0,1631.19,1631.19,1060.27
2020-05-19,PB,Salgado de São Félix,4,0,19,12261,2513109,8.3,33,19,14,11.17,6.5,,,,,,,,,,,,0.0,0.0,2691.46,0.0,1549.63,1549.63,1141.83
2020-05-20,PB,Salgado de São Félix,4,0,19,12261,2513109,8.3,33,19,14,12.5,7.33,,,,3.94,2.53,,,,,,,0.0,0.0,2691.46,0.0,1549.63,1549.63,1141.83
2020-05-21,PB,Salgado de São Félix,12,0,58,12261,2513109,8.3,100,58,42,12.5,7.5,,,,0.667,0.611,,,,,,,0.0,0.0,8155.94,0.0,4730.45,4730.45,3425.5
2020-05-22,PB,Salgado de São Félix,12,0,58,12261,2513109,8.3,100,58,42,12.5,7.83,,,,1.14,0.861,,,,-0.8125,,,0.0,0.0,8155.94,0.0,4730.45,4730.45,3425.5
2020-05-23,PB,Salgado de São Félix,13,0,64,12261,2513109,8.3,108,64,44,26.33,16.67,,,,0.444,0.389,,,,0.0069,,,0.0,0.0,8808.42,0.0,5219.8,5219.8,3588.61
2020-05-24,PB,Salgado de São Félix,13,0,65,12261,2513109,8.3,108,65,43,15.17,10.17,,,,0.694,0.417,,,,-1.2083,,,0.0,0.0,8808.42,0.0,5301.36,5301.36,3507.05
2020-05-25,PB,Salgado de São Félix,13,0,66,12261,2513109,8.3,108,66,42,18.0,11.67,,,,0.694,0.444,,,,-0.3958,-0.0295,,0.0,0.0,8808.42,0.0,5382.92,5382.92,3425.5
2020-05-26,PB,Salgado de São Félix,23,0,119,12261,2513109,8.3,191,119,72,15.17,9.67,,,,-3.6944,-2.25,,,,-0.6944,,,0.0,0.0,15577.85,0.0,9705.57,9705.57,5872.28
2020-05-27,PB,Salgado de São Félix,23,0,119,12261,2513109,8.3,191,119,72,16.67,10.0,,,,-1.1389,-0.75,,,,-0.1111,,,0.0,0.0,15577.85,0.0,9705.57,9705.57,5872.28
2020-05-28,PB,Salgado de São Félix,25,0,128,12261,2513109,8.3,208,128,80,16.67,10.5,,,,-2.0833,-1.25,,,,,,,0.0,0.0,16964.36,0.0,10439.61,10439.61,6524.75
2020-05-29,PB,Salgado de São Félix,24,0,122,12261,2513109,8.3,199,122,77,4.17,3.17,,,,0.25,0.25,,,,,,,0.0,0.0,16230.32,0.0,9950.25,9950.25,6280.08
2020-05-30,PB,Salgado de São Félix,25,0,125,12261,2513109,8.3,208,125,83,8.33,5.67,,,,-0.25,0.139,,,,,,,0.0,0.0,16964.36,0.0,10194.93,10194.93,6769.43
2020-05-31,PB,Salgado de São Félix,25,0,129,12261,2513109,8.3,208,129,79,5.5,4.17,,,,0.194,0.25,,,,0.104,,,0.0,0.0,16964.36,0.0,10521.16,10521.16,6443.19
2020-06-01,PB,Salgado de São Félix,26,0,138,12261,2513109,8.3,216,138,78,16.67,11.17,,,,2.06,1.36,,,,,,,0.0,0.0,17616.83,0.0,11255.2,11255.2,6361.63
2020-06-02,PB,Salgado de São Félix,29,0,153,12261,2513109,8.3,241,153,88,15.17,10.83,,,,0.667,0.667,,,,-0.5139,-0.1667,,0.0,0.0,19655.82,0.0,12478.59,12478.59,7177.23
2020-06-03,PB,Salgado de São Félix,29,0,153,12261,2513109,8.3,241,153,88,17.83,12.0,,,,1.61,1.22,,,,-0.7431,,,0.0,0.0,19655.82,0.0,12478.59,12478.59,7177.23
2020-06-04,PB,Salgado de São Félix,36,0,189,12261,2513109,8.3,299,189,110,16.5,11.33,,,,-1.8611,-0.9444,,,,-0.5625,,,0.0,0.0,24386.27,0.0,15414.73,15414.73,8971.54
2020-06-05,PB,Salgado de São Félix,36,0,190,12261,2513109,8.3,299,190,109,12.33,9.67,,,,-0.9167,-0.4444,,,,-0.7431,,,0.0,0.0,24386.27,0.0,15496.29,15496.29,8889.98
2020-06-06,PB,Salgado de São Félix,38,0,201,12261,2513109,8.3,315,201,114,15.17,11.5,,,,-1.5833,-0.7222,,,,,,,0.0,0.0,25691.22,0.0,16393.44,16393.44,9297.77
2020-06-07,PB,Salgado de São Félix,38,0,206,12261,2513109,8.3,315,206,109,5.5,5.5,,,,-1.3611,-0.6389,,,,,,,0.0,0.0,25691.22,0.0,16801.24,16801.24,8889.98
2020-06-08,PB,Salgado de São Félix,38,0,211,12261,2513109,8.3,315,211,104,9.67,8.17,,,,,,,,,,,,0.0,0.0,25691.22,0.0,17209.04,17209.04,8482.18
2020-06-09,PB,Salgado de São Félix,40,0,222,12261,2513109,8.3,332,222,110,8.33,7.67,,,,,,,,,,,,0.0,0.0,27077.73,0.0,18106.19,18106.19,8971.54
2020-06-10,PB,Salgado de São Félix,40,0,222,12261,2513109,8.3,332,222,110,8.33,7.5,,,,,,,,,,,,0.0,0.0,27077.73,0.0,18106.19,18106.19,8971.54
2020-06-11,PB,Salgado de São Félix,43,0,239,12261,2513109,8.3,357,239,118,,,,,,,,,,,,,,0.0,0.0,29116.71,0.0,19492.7,19492.7,9624.01
2020-06-12,PB,Salgado de São Félix,44,0,247,12261,2513109,8.3,365,247,118,,,,,,,,,,,,,,0.0,0.0,29769.19,0.0,20145.18,20145.18,9624.01
2020-06-13,PB,Salgado de São Félix,44,0,251,12261,2513109,8.3,365,251,114,,,,,,,,,,,,,,0.0,0.0,29769.19,0.0,20471.41,20471.41,9297.77
