date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-25,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,,,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-04-26,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,,,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-04-27,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,,,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-04-28,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-04-29,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-04-30,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-05-01,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-05-02,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,0.0,0.0,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-05-03,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,2.5,1.33,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-05-04,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,2.5,1.33,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-05-05,SP,Santa Cruz da Conceição,1,0,4,4548,3546207,7.3,7,4,3,2.5,1.33,,,,,,,,,,,,0.0,0.0,1539.14,0.0,879.51,879.51,659.63
2020-05-06,SP,Santa Cruz da Conceição,3,0,12,4548,3546207,7.3,22,12,10,2.5,1.33,,,,-0.4167,-0.1944,,,,,,,0.0,0.0,4837.29,0.0,2638.52,2638.52,2198.77
2020-05-07,SP,Santa Cruz da Conceição,3,0,12,4548,3546207,7.3,22,12,10,2.5,1.33,,,,-0.4167,-0.1944,,,,,,,0.0,0.0,4837.29,0.0,2638.52,2638.52,2198.77
2020-05-08,SP,Santa Cruz da Conceição,3,0,12,4548,3546207,7.3,22,12,10,2.5,1.5,,,,-0.4167,-0.1944,,,,,,,0.0,0.0,4837.29,0.0,2638.52,2638.52,2198.77
2020-05-09,SP,Santa Cruz da Conceição,3,0,12,4548,3546207,7.3,22,12,10,0.0,0.167,,,,-0.4167,-0.1944,,,,,,,0.0,0.0,4837.29,0.0,2638.52,2638.52,2198.77
2020-05-10,SP,Santa Cruz da Conceição,3,0,12,4548,3546207,7.3,22,12,10,0.0,0.167,,,,-0.4167,-0.1944,,,,,,,0.0,0.0,4837.29,0.0,2638.52,2638.52,2198.77
2020-05-11,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,0.0,0.167,,,,-0.4167,-0.25,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-12,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,0.0,0.167,,,,,-0.0278,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-13,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,0.0,0.167,,,,,-0.0278,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-14,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,0.0,0.0,,,,,-0.0278,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-15,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,0.0,0.0,,,,,-0.0278,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-16,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,0.0,0.0,,,,,-0.0278,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-17,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,0.0,0.0,,,,,,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-18,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,0.0,0.0,,,,,,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-19,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,0.0,0.0,,,,,,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-20,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,1.17,0.667,,,,,,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-21,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,1.17,0.667,,,,,,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-22,SP,Santa Cruz da Conceição,3,0,13,4548,3546207,7.3,22,13,9,1.17,0.833,,,,,,,,,,,,0.0,0.0,4837.29,0.0,2858.4,2858.4,1978.89
2020-05-23,SP,Santa Cruz da Conceição,4,0,17,4548,3546207,7.3,29,17,12,1.17,0.833,,,,0.0,0.0278,,,,,,,0.0,0.0,6376.43,0.0,3737.91,3737.91,2638.52
2020-05-24,SP,Santa Cruz da Conceição,4,0,17,4548,3546207,7.3,29,17,12,2.33,1.5,,,,0.0,0.0278,,,,,,,0.0,0.0,6376.43,0.0,3737.91,3737.91,2638.52
2020-05-25,SP,Santa Cruz da Conceição,4,0,18,4548,3546207,7.3,29,18,11,2.33,1.5,,,,0.0,-0.0278,,,,,,,0.0,0.0,6376.43,0.0,3957.78,3957.78,2418.65
2020-05-26,SP,Santa Cruz da Conceição,4,0,18,4548,3546207,7.3,29,18,11,1.17,0.833,,,,0.0,0.0,,,,,,,0.0,0.0,6376.43,0.0,3957.78,3957.78,2418.65
2020-05-27,SP,Santa Cruz da Conceição,5,0,22,4548,3546207,7.3,36,22,14,1.17,0.833,,,,-0.3889,-0.2222,,,,,,,0.0,0.0,7915.57,0.0,4837.29,4837.29,3078.28
2020-05-28,SP,Santa Cruz da Conceição,5,0,22,4548,3546207,7.3,36,22,14,1.17,0.667,,,,-0.3889,-0.2222,,,,,,,0.0,0.0,7915.57,0.0,4837.29,4837.29,3078.28
2020-05-29,SP,Santa Cruz da Conceição,5,0,22,4548,3546207,7.3,36,22,14,1.17,0.833,,,,-0.1944,-0.1111,,,,,,,0.0,0.0,7915.57,0.0,4837.29,4837.29,3078.28
2020-05-30,SP,Santa Cruz da Conceição,5,0,22,4548,3546207,7.3,36,22,14,0.0,0.167,,,,-0.1944,-0.1111,,,,,,,0.0,0.0,7915.57,0.0,4837.29,4837.29,3078.28
2020-05-31,SP,Santa Cruz da Conceição,5,0,22,4548,3546207,7.3,36,22,14,0.0,0.167,,,,-0.1944,-0.0833,,,,,,,0.0,0.0,7915.57,0.0,4837.29,4837.29,3078.28
2020-06-01,SP,Santa Cruz da Conceição,5,0,23,4548,3546207,7.3,36,23,13,0.0,0.167,,,,-0.1944,-0.1111,,,,,,,0.0,0.0,7915.57,0.0,5057.17,5057.17,2858.4
2020-06-02,SP,Santa Cruz da Conceição,5,0,23,4548,3546207,7.3,36,23,13,0.0,0.167,,,,,0.0,,,,,,,0.0,0.0,7915.57,0.0,5057.17,5057.17,2858.4
2020-06-03,SP,Santa Cruz da Conceição,5,0,23,4548,3546207,7.3,36,23,13,0.0,0.167,,,,,0.0,,,,,,,0.0,0.0,7915.57,0.0,5057.17,5057.17,2858.4
2020-06-04,SP,Santa Cruz da Conceição,5,0,23,4548,3546207,7.3,36,23,13,0.0,0.167,,,,,0.139,,,,,,,0.0,0.0,7915.57,0.0,5057.17,5057.17,2858.4
2020-06-05,SP,Santa Cruz da Conceição,5,0,23,4548,3546207,7.3,36,23,13,0.0,0.167,,,,,0.278,,,,,,,0.0,0.0,7915.57,0.0,5057.17,5057.17,2858.4
2020-06-06,SP,Santa Cruz da Conceição,5,0,23,4548,3546207,7.3,36,23,13,0.0,0.167,,,,,0.306,,,,,,,0.0,0.0,7915.57,0.0,5057.17,5057.17,2858.4
2020-06-07,SP,Santa Cruz da Conceição,5,0,24,4548,3546207,7.3,36,24,12,1.33,1.0,,,,,0.278,,,,,,,0.0,0.0,7915.57,0.0,5277.04,5277.04,2638.52
2020-06-08,SP,Santa Cruz da Conceição,5,0,24,4548,3546207,7.3,36,24,12,2.5,1.83,,,,,0.306,,,,,,,0.0,0.0,7915.57,0.0,5277.04,5277.04,2638.52
2020-06-09,SP,Santa Cruz da Conceição,5,0,24,4548,3546207,7.3,36,24,12,2.5,2.0,,,,,0.306,,,,,,,0.0,0.0,7915.57,0.0,5277.04,5277.04,2638.52
2020-06-10,SP,Santa Cruz da Conceição,6,0,29,4548,3546207,7.3,44,29,15,2.5,1.83,,,,-0.0278,0.0278,,,,,,,0.0,0.0,9674.58,0.0,6376.43,6376.43,3298.15
2020-06-11,SP,Santa Cruz da Conceição,7,0,34,4548,3546207,7.3,51,34,17,2.5,2.0,,,,-0.4167,-0.25,,,,,,,0.0,0.0,11213.72,0.0,7475.81,7475.81,3737.91
2020-06-12,SP,Santa Cruz da Conceição,7,0,35,4548,3546207,7.3,51,35,16,2.5,2.0,,,,-0.2222,-0.1389,,,,,,,0.0,0.0,11213.72,0.0,7695.69,7695.69,3518.03
2020-06-13,SP,Santa Cruz da Conceição,7,0,35,4548,3546207,7.3,51,35,16,1.17,1.17,,,,0.0,0.0,,,,,,,0.0,0.0,11213.72,0.0,7695.69,7695.69,3518.03
2020-06-14,SP,Santa Cruz da Conceição,7,0,36,4548,3546207,7.3,51,36,15,0.0,0.333,,,,0.0,-0.0278,,,,,,,0.0,0.0,11213.72,0.0,7915.57,7915.57,3298.15
2020-06-15,SP,Santa Cruz da Conceição,7,0,36,4548,3546207,7.3,51,36,15,1.17,1.17,,,,0.389,0.278,,,,,,,0.0,0.0,11213.72,0.0,7915.57,7915.57,3298.15
