Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-23,SP,Santa Rita do Passa Quatro,1,1,5,1,27833,3547502,9.7,10,6,4,,,,,,,,,,,,,,,0.167,359.29,35.93,179.64,215.57,143.71
2020-04-24,SP,Santa Rita do Passa Quatro,1,1,5,2,27833,3547502,9.7,10,6,4,,,,,,,,,,,,,,,0.167,359.29,35.93,179.64,215.57,143.71
2020-04-25,SP,Santa Rita do Passa Quatro,1,1,5,3,27833,3547502,9.7,10,6,4,,,,,,,,,,,,,,,0.167,359.29,35.93,179.64,215.57,143.71
2020-04-26,SP,Santa Rita do Passa Quatro,1,1,5,4,27833,3547502,9.7,10,6,4,,,,,,,,,,,,,,,0.167,359.29,35.93,179.64,215.57,143.71
2020-04-27,SP,Santa Rita do Passa Quatro,1,1,5,5,27833,3547502,9.7,10,6,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.167,359.29,35.93,179.64,215.57,143.71
2020-04-28,SP,Santa Rita do Passa Quatro,1,1,5,6,27833,3547502,9.7,10,6,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.167,359.29,35.93,179.64,215.57,143.71
2020-04-29,SP,Santa Rita do Passa Quatro,1,1,5,7,27833,3547502,9.7,10,6,4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.167,359.29,35.93,179.64,215.57,143.71
2020-04-30,SP,Santa Rita do Passa Quatro,1,1,5,8,27833,3547502,9.7,10,6,4,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0286,0.0,0.0286,-0.0286,,,,0.167,359.29,35.93,179.64,215.57,143.71
2020-05-01,SP,Santa Rita do Passa Quatro,1,1,5,9,27833,3547502,9.7,10,6,4,0.0,0.0,0.143,0.0,0.143,-0.1429,0.0,0.0,0.0,0.0,0.0,,,,0.167,359.29,35.93,179.64,215.57,143.71
2020-05-02,SP,Santa Rita do Passa Quatro,1,1,5,10,27833,3547502,9.7,10,6,4,0.0,0.0,0.143,0.0,0.143,-0.1429,0.257,0.143,0.0,0.143,0.114,,,,0.167,359.29,35.93,179.64,215.57,143.71
2020-05-03,SP,Santa Rita do Passa Quatro,1,1,6,11,27833,3547502,9.7,10,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.114,0.0,0.114,0.143,0.0514,,,0.143,359.29,35.93,215.57,251.5,107.79
2020-05-04,SP,Santa Rita do Passa Quatro,1,1,6,12,27833,3547502,9.7,10,7,3,0.143,1.29,0.714,0.0,0.714,0.571,0.257,0.114,0.0,0.114,0.143,0.0514,,,0.143,359.29,35.93,215.57,251.5,107.79
2020-05-05,SP,Santa Rita do Passa Quatro,1,1,6,13,27833,3547502,9.7,10,7,3,0.143,1.29,0.714,0.0,0.714,0.571,0.257,0.114,0.0,0.114,0.143,-0.0514,,,0.143,359.29,35.93,215.57,251.5,107.79
