date,state,city,confirmed,deaths,recovered,estimated_population,city_ibge_code,infected_per_confirmed,infected,closed,active,diff_infected,diff_recovered,diff_deaths,diff_closed,diff_active,diff2_infected,diff2_recovered,diff2_deaths,diff2_closed,diff2_active,diff3_infected,diff4_infected,diff5_infected,μ_closed,μ_infected,infected_per_1mi,deaths_per_1mi,recovered_per_1mi,closed_per_1mi,active_per_1mi
2020-04-30,SE,Santo Amaro das Brotas,3,0,13,12223,2806602,8.3,25,13,12,,,,,,,,,,,,,,0.0,0.0,2045.32,0.0,1063.57,1063.57,981.76
2020-05-01,SE,Santo Amaro das Brotas,4,0,17,12223,2806602,8.3,33,17,16,,,,,,,,,,,,,,0.0,0.0,2699.83,0.0,1390.82,1390.82,1309.01
2020-05-02,SE,Santo Amaro das Brotas,5,0,23,12223,2806602,8.3,42,23,19,,,,,,,,,,,,,,0.0,0.0,3436.14,0.0,1881.7,1881.7,1554.45
2020-05-03,SE,Santo Amaro das Brotas,6,0,28,12223,2806602,8.3,50,28,22,4.17,2.33,,,,,,,,,,,,0.0,0.0,4090.65,0.0,2290.76,2290.76,1799.89
2020-05-04,SE,Santo Amaro das Brotas,6,0,28,12223,2806602,8.3,50,28,22,2.83,1.67,,,,,,,,,,,,0.0,0.0,4090.65,0.0,2290.76,2290.76,1799.89
2020-05-05,SE,Santo Amaro das Brotas,6,0,28,12223,2806602,8.3,50,28,22,1.33,0.667,,,,,,,,,,,,0.0,0.0,4090.65,0.0,2290.76,2290.76,1799.89
2020-05-06,SE,Santo Amaro das Brotas,6,0,27,12223,2806602,8.3,50,27,23,0.0,-0.1667,,,,-0.6944,-0.3333,,,,,,,0.0,0.0,4090.65,0.0,2208.95,2208.95,1881.7
2020-05-07,SE,Santo Amaro das Brotas,6,0,27,12223,2806602,8.3,50,27,23,0.0,0.0,,,,-0.4722,-0.2222,,,,,,,0.0,0.0,4090.65,0.0,2208.95,2208.95,1881.7
2020-05-08,SE,Santo Amaro das Brotas,6,0,27,12223,2806602,8.3,50,27,23,0.0,0.167,,,,-0.2222,-0.0556,,,,,,,0.0,0.0,4090.65,0.0,2208.95,2208.95,1881.7
2020-05-09,SE,Santo Amaro das Brotas,6,0,27,12223,2806602,8.3,50,27,23,0.0,0.333,,,,,,,,,,,,0.0,0.0,4090.65,0.0,2208.95,2208.95,1881.7
