Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-22,MG,Simão Pereira,1,0,9,1,2641,3167509,16.5,16,9,7,,,,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3407.8,3407.8,2650.51
2020-05-23,MG,Simão Pereira,1,0,9,2,2641,3167509,16.5,16,9,7,,,,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3407.8,3407.8,2650.51
2020-05-24,MG,Simão Pereira,1,0,10,3,2641,3167509,16.5,16,10,6,,,,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-05-25,MG,Simão Pereira,1,0,10,4,2641,3167509,16.5,16,10,6,,,,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-05-26,MG,Simão Pereira,1,0,10,5,2641,3167509,16.5,16,10,6,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-05-27,MG,Simão Pereira,1,0,10,6,2641,3167509,16.5,16,10,6,0.0,0.0,0.143,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-05-28,MG,Simão Pereira,1,0,10,7,2641,3167509,16.5,16,10,6,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-05-29,MG,Simão Pereira,1,0,10,8,2641,3167509,16.5,16,10,6,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-05-30,MG,Simão Pereira,1,0,10,9,2641,3167509,16.5,16,10,6,0.0,0.0,0.0,,,,,-0.0286,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-05-31,MG,Simão Pereira,1,0,10,10,2641,3167509,16.5,16,10,6,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-06-01,MG,Simão Pereira,1,0,10,11,2641,3167509,16.5,16,10,6,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-06-02,MG,Simão Pereira,1,0,10,12,2641,3167509,16.5,16,10,6,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-06-03,MG,Simão Pereira,1,0,10,13,2641,3167509,16.5,16,10,6,0.143,2.43,1.57,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
2020-06-04,MG,Simão Pereira,1,0,10,14,2641,3167509,16.5,16,10,6,0.143,2.43,1.71,,,,,,,,,,,,0.0,0.0,6058.31,0.0,3786.44,3786.44,2271.87
