Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,μ infected,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-05-09,TO,São Bento do Tocantins,1,0,4,1,5377,1720101,8.3,8,4,4,,,,,,,,,,,,,,,0.0,0.0,1487.82,0.0,743.91,743.91,743.91
2020-05-10,TO,São Bento do Tocantins,1,0,5,2,5377,1720101,8.3,8,5,3,,,,,,,,,,,,,,,0.0,0.0,1487.82,0.0,929.89,929.89,557.93
2020-05-11,TO,São Bento do Tocantins,1,0,5,3,5377,1720101,8.3,8,5,3,,,,,,,,,,,,,,,0.0,0.0,1487.82,0.0,929.89,929.89,557.93
2020-05-12,TO,São Bento do Tocantins,2,0,10,4,5377,1720101,8.3,17,10,7,,,,,,,,,,,,,,,0.0,0.0,3161.61,0.0,1859.77,1859.77,1301.84
2020-05-13,TO,São Bento do Tocantins,2,0,10,5,5377,1720101,8.3,17,10,7,,,,,,,,,,,,,,,0.0,0.0,3161.61,0.0,1859.77,1859.77,1301.84
2020-05-14,TO,São Bento do Tocantins,3,0,14,6,5377,1720101,8.3,25,14,11,,,,,,,,,,,,,,,0.0,0.0,4649.43,0.0,2603.68,2603.68,2045.75
2020-05-15,TO,São Bento do Tocantins,3,0,14,7,5377,1720101,8.3,25,14,11,,,,,,,,,,,,,,,0.0,0.0,4649.43,0.0,2603.68,2603.68,2045.75
2020-05-17,TO,São Bento do Tocantins,3,0,15,8,5377,1720101,8.3,25,15,10,,,,,,,,,,,,,,,0.0,0.0,4649.43,0.0,2789.66,2789.66,1859.77
2020-05-18,TO,São Bento do Tocantins,4,0,20,9,5377,1720101,8.3,33,20,13,,,,,,,,,,,,,,,0.0,0.0,6137.25,0.0,3719.55,3719.55,2417.71
2020-05-19,TO,São Bento do Tocantins,4,0,19,10,5377,1720101,8.3,33,19,14,,,,,,,,,,,,,,,0.0,0.0,6137.25,0.0,3533.57,3533.57,2603.68
2020-05-20,TO,São Bento do Tocantins,5,0,25,11,5377,1720101,8.3,42,25,17,,,,,,,,,,,,,,,0.0,0.0,7811.05,0.0,4649.43,4649.43,3161.61
2020-05-21,TO,São Bento do Tocantins,7,0,34,12,5377,1720101,8.3,58,34,24,,,,,,,,,,,,,,,0.0,0.0,10786.68,0.0,6323.23,6323.23,4463.46
2020-05-22,TO,São Bento do Tocantins,7,0,34,13,5377,1720101,8.3,58,34,24,,,,,,,,,,,,,,,0.0,0.0,10786.68,0.0,6323.23,6323.23,4463.46
2020-05-23,TO,São Bento do Tocantins,7,0,34,14,5377,1720101,8.3,58,34,24,,,,,,,,,,,,,,,0.0,0.0,10786.68,0.0,6323.23,6323.23,4463.46
2020-05-25,TO,São Bento do Tocantins,0,0,0,15,5377,1720101,8.3,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2020-05-26,TO,São Bento do Tocantins,9,0,47,16,5377,1720101,8.3,75,47,28,,,,,,,,,,,,,,,0.0,0.0,13948.3,0.0,8740.93,8740.93,5207.36
2020-05-28,TO,São Bento do Tocantins,9,0,46,17,5377,1720101,8.3,75,46,29,,,,,,,,,,,,,,,0.0,0.0,13948.3,0.0,8554.96,8554.96,5393.34
2020-05-29,TO,São Bento do Tocantins,9,0,46,18,5377,1720101,8.3,75,46,29,,,,,,,,,,,,,,,0.0,0.0,13948.3,0.0,8554.96,8554.96,5393.34
2020-05-30,TO,São Bento do Tocantins,10,0,50,19,5377,1720101,8.3,83,50,33,,,,,,,,,,,,,,,0.0,0.0,15436.12,0.0,9298.87,9298.87,6137.25
2020-05-31,TO,São Bento do Tocantins,10,0,51,20,5377,1720101,8.3,83,51,32,,,,,,,,,,,,,,,0.0,0.0,15436.12,0.0,9484.84,9484.84,5951.27
2020-06-01,TO,São Bento do Tocantins,11,0,58,21,5377,1720101,8.3,91,58,33,,,,,,,,,,,,,,,0.0,0.0,16923.94,0.0,10786.68,10786.68,6137.25
2020-06-02,TO,São Bento do Tocantins,11,0,58,22,5377,1720101,8.3,91,58,33,,,,,,,,,,,,,,,0.0,0.0,16923.94,0.0,10786.68,10786.68,6137.25
2020-06-03,TO,São Bento do Tocantins,11,0,58,23,5377,1720101,8.3,91,58,33,,,,,,,,,,,,,,,0.0,0.0,16923.94,0.0,10786.68,10786.68,6137.25
2020-06-05,TO,São Bento do Tocantins,11,0,58,24,5377,1720101,8.3,91,58,33,,,,,,,,,,,,,,,0.0,0.0,16923.94,0.0,10786.68,10786.68,6137.25
2020-06-06,TO,São Bento do Tocantins,11,0,58,25,5377,1720101,8.3,91,58,33,,,,,,,,,,,,,,,0.0,0.0,16923.94,0.0,10786.68,10786.68,6137.25
2020-06-07,TO,São Bento do Tocantins,11,0,59,26,5377,1720101,8.3,91,59,32,,,,,,,,,,,,,,,0.0,0.0,16923.94,0.0,10972.66,10972.66,5951.27
2020-06-08,TO,São Bento do Tocantins,13,0,72,27,5377,1720101,8.3,108,72,36,,,,,,,,,,,,,,,0.0,0.0,20085.55,0.0,13390.37,13390.37,6695.18
2020-06-09,TO,São Bento do Tocantins,13,0,72,28,5377,1720101,8.3,108,72,36,,,,,,,,,,,,,,,0.0,0.0,20085.55,0.0,13390.37,13390.37,6695.18
2020-06-10,TO,São Bento do Tocantins,13,0,72,29,5377,1720101,8.3,108,72,36,,,,,,,,,,,,,,,0.0,0.0,20085.55,0.0,13390.37,13390.37,6695.18
2020-06-11,TO,São Bento do Tocantins,16,0,89,30,5377,1720101,8.3,133,89,44,,,,,,,,,,,,,,,0.0,0.0,24734.98,0.0,16551.98,16551.98,8183.0
2020-06-14,TO,São Bento do Tocantins,17,0,99,31,5377,1720101,8.3,141,99,42,,,,,,,,,,,,,,,0.0,0.0,26222.8,0.0,18411.75,18411.75,7811.05
2020-06-15,TO,São Bento do Tocantins,17,0,100,32,5377,1720101,8.3,141,100,41,,,,,,,,,,,,,,,0.0,0.0,26222.8,0.0,18597.73,18597.73,7625.07
2020-06-16,TO,São Bento do Tocantins,17,0,100,33,5377,1720101,8.3,141,100,41,,,,,,,,,,,,,,,0.0,0.0,26222.8,0.0,18597.73,18597.73,7625.07
2020-06-17,TO,São Bento do Tocantins,18,0,106,34,5377,1720101,8.3,149,106,43,,,,,,,,,,,,,,,0.0,0.0,27710.62,0.0,19713.59,19713.59,7997.02
2020-06-18,TO,São Bento do Tocantins,18,0,107,35,5377,1720101,8.3,149,107,42,,,,,,,,,,,,,,,0.0,0.0,27710.62,0.0,19899.57,19899.57,7811.05
2020-06-20,TO,São Bento do Tocantins,18,0,105,36,5377,1720101,8.3,149,105,44,,,,,,,,,,,,,,,0.0,0.0,27710.62,0.0,19527.62,19527.62,8183.0
2020-06-21,TO,São Bento do Tocantins,24,0,144,37,5377,1720101,8.3,199,144,55,,,,,,,,,,,,,,,0.0,0.0,37009.48,0.0,26780.73,26780.73,10228.75
2020-06-22,TO,São Bento do Tocantins,24,0,146,38,5377,1720101,8.3,199,146,53,,,,,,,,,,,,,,,0.0,0.0,37009.48,0.0,27152.69,27152.69,9856.8
2020-06-23,TO,São Bento do Tocantins,24,0,145,39,5377,1720101,8.3,199,145,54,,,,,,,,,,,,,,,0.0,0.0,37009.48,0.0,26966.71,26966.71,10042.77
2020-06-24,TO,São Bento do Tocantins,24,0,144,40,5377,1720101,8.3,199,144,55,1.14,9.57,7.43,,,,,,,,,,,,0.0,0.0,37009.48,0.0,26780.73,26780.73,10228.75
2020-06-25,TO,São Bento do Tocantins,24,0,145,41,5377,1720101,8.3,199,145,54,0.429,3.57,2.86,,,,,,,,,,,,0.0,0.0,37009.48,0.0,26966.71,26966.71,10042.77
2020-06-26,TO,São Bento do Tocantins,27,0,162,42,5377,1720101,8.3,224,162,62,0.429,3.57,3.0,,,,,,,,,,,,0.0,0.0,41658.92,0.0,30128.32,30128.32,11530.59
2020-06-27,TO,São Bento do Tocantins,26,0,157,43,5377,1720101,8.3,216,157,59,0.429,3.57,3.14,,,,-1.2,-0.8857,,,,,,,0.0,0.0,40171.1,0.0,29198.44,29198.44,10972.66
2020-06-28,TO,São Bento do Tocantins,27,0,164,44,5377,1720101,8.3,224,164,60,0.429,3.57,3.29,,,,-0.7143,-0.4286,,,,,,,0.0,0.0,41658.92,0.0,30500.28,30500.28,11158.64
2020-06-29,TO,São Bento do Tocantins,27,0,167,45,5377,1720101,8.3,224,167,57,0.429,3.57,3.0,,,,,,,,,,,,0.0,0.0,41658.92,0.0,31058.21,31058.21,10600.71
