Date,State,City,Confirmed,Deaths,Recovered,Order For Place,Estimated Population 2019,Estimated Population,City Ibge Code,Infected Per Confirmed,Infected,Closed,Active,Diff Confirmed,Diff Infected,Diff Recovered,Diff Deaths,Diff Closed,Diff Active,Diff2 Infected,Diff2 Recovered,Diff2 Deaths,Diff2 Closed,Diff2 Active,Diff3 Infected,Diff4 Infected,Diff5 Infected,μ closed,Infected Per 1Mi,Deaths Per 1Mi,Recovered Per 1Mi,Closed Per 1Mi,Active Per 1Mi
2020-04-29,SC,São Bernardino,1,0,4,1,2336,2310,4215752,6.8,7,4,3,,,,,,,,,,,,,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-04-30,SC,São Bernardino,1,0,4,2,2336,2310,4215752,6.8,7,4,3,,,,,,,,,,,,,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-01,SC,São Bernardino,1,0,4,3,2336,2310,4215752,6.8,7,4,3,,,,,,,,,,,,,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-02,SC,São Bernardino,1,0,4,4,2336,2310,4215752,6.8,7,4,3,,,,,,,,,,,,,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-03,SC,São Bernardino,1,0,4,5,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-04,SC,São Bernardino,1,0,4,6,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-05,SC,São Bernardino,1,0,4,7,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-06,SC,São Bernardino,1,0,4,8,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-07,SC,São Bernardino,1,0,4,9,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-08,SC,São Bernardino,1,0,4,10,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-09,SC,São Bernardino,1,0,4,11,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-10,SC,São Bernardino,1,0,4,12,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-11,SC,São Bernardino,1,0,4,13,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-12,SC,São Bernardino,1,0,4,14,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-13,SC,São Bernardino,1,0,4,15,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-14,SC,São Bernardino,1,0,4,16,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-15,SC,São Bernardino,1,0,4,17,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3030.3,0.0,1731.6,1731.6,1298.7
2020-05-16,SC,São Bernardino,1,0,4,18,2336,2310,4215752,6.8,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3030.3,0.0,1731.6,1731.6,1298.7
